"ligand" "ligand_cell" "receptor" "associated_genes" "receptor_cell" "pathway" "score"
"32" "Vegfa" "EC_WT" "Itga9" "Actb,Emd,Lmna,Tnf" "FAP_WT" "mmu05410" "0.61568896966122"
"33" "Vegfa" "EC_WT" "Itga9" "Prkab2,Prkag2,Ace,Igf1" "FAP_WT" "mmu05410" "0.646403597232196"
"34" "Vegfa" "FAP_WT" "Itga9" "Itga6,Itga9,Adcy9" "EC_WT" "mmu05414" "0.709600198717933"
"35" "Vegfa" "FAP_WT" "Itga9" "Itga6,Itga9,Adcy9" "FAP_WT" "mmu05414" "0.621745308935838"
"36" "Vegfa" "EC_WT" "Itga9" "Emd,Lmna,Tnf" "EC_WT" "mmu05414" "0.650466101793891"
"37" "Vegfa" "EC_WT" "Itga9" "Emd,Lmna,Tnf" "FAP_WT" "mmu05414" "0.641924895925196"
"38" "Vegfa" "EC_WT" "Itgb1" "Adcy3,Apbb1ip,Pik3cd" "EC_WT" "mmu04015" "0.625780678803058"
"39" "Vegfa" "FAP_WT" "Itgb1" "Adcy9,Rapgef1,Sipa1,Sipa1l2,Id1" "EC_WT" "mmu04015" "0.670800114512009"
"40" "Vegfa" "EC_WT" "Itgb1" "H2-Q1,Gm11127,Gm7030,Rab5c,Tfrc,Tuba4a,Tuba1a,Tuba1c,Tuba1b,Tubb4b,Tubb6,Tubb5,Sec61a1,Tap2,Calr,Itga5,Scarb1" "FAP_WT" "mmu04145" "0.699061072250981"
"41" "Vegfa" "EC_WT" "Itgb1" "H2-Q10,H2-Aa,H2-Ab1,H2-Eb1,H2-DMa,Atp6v1b2,Atp6v0d1,Ctss,Fcgr3,C3,Itgb5,Tlr2,Cd14" "EC_WT" "mmu04145" "0.617408115933297"
"42" "Vegfa" "EC_WT" "Itgb1" "Vegfa,Pgf,Nras,Tlr2,Syk,Itgav" "EC_WT" "mmu04151" "0.729988588175611"
"43" "Vegfa" "FAP_WT" "Itgb1" "Lamb2,Tnxb,Itga6,Itga9,Myl9,Ppp1r12b,Ppp1r12c,Pik3r1,Fyn,Ccnd2" "FAP_WT" "mmu04510" "0.627562459210138"
"44" "Vegfa" "FAP_WT" "Itgb1" "Vegfb,Ppp1ca,Akt2,Pik3r2" "EC_WT" "mmu04510" "0.643342844572376"
"45" "Vegfa" "EC_WT" "Itgb1" "Rhoa,Myl12b,Mylpf,Bcl2" "FAP_WT" "mmu04510" "0.604418765105813"
"46" "Vegfa" "EC_WT" "Itgb1" "Col1a1,Col1a2,Col6a2,Col6a1,Col6a3,Lama4,Lamb1,Lamc1,Comp,Thbs2,Thbs3,Thbs4,Fn1,Tnc,Itgb1,Dag1" "EC_WT" "mmu04512" "0.661264007002498"
"47" "Vegfa" "FAP_WT" "Itgb1" "Lamb2,Tnxb,Itga6,Itga9" "EC_WT" "mmu04512" "0.615845183372817"
"48" "Vegfa" "FAP_WT" "Itgb1" "Lamb2,Tnxb,Itga6,Itga9" "FAP_WT" "mmu04512" "0.623807629883228"
"49" "Vegfa" "EC_WT" "Itgb1" "Pvr,Sdc4,Itgav,Vcan" "EC_WT" "mmu04514" "0.63438241453484"
"50" "Vegfa" "EC_WT" "Itgb1" "Orai1,Apbb1ip,Adcy3,Pik3cd,Syk,Fcer1g" "EC_WT" "mmu04611" "0.655074383080874"
"51" "Vegfa" "EC_WT" "Itgb1" "Itpr2,Plcb3,Lyn" "EC_WT" "mmu04611" "0.669858212597685"
"52" "Vegfa" "EC_WT" "Itgb1" "Ezr,Pik3cd,Cyba,Cxcr4" "EC_WT" "mmu04670" "0.629525595583949"
"53" "Vegfa" "EC_WT" "Itgb1" "Pik3r2,Myl12b,Mylpf" "FAP_WT" "mmu04670" "0.693606224348917"
"54" "Vegfa" "EC_WT" "Itgb1" "Vav3,Mylpf,Tmsb4x" "FAP_WT" "mmu04810" "0.61704900561618"
"55" "Vegfa" "FAP_WT" "Itgb1" "Wasf2,Dnm2,Ilk" "EC_WT" "mmu05100" "0.601506660450157"
"56" "Vegfa" "EC_WT" "Itgb1" "Pycard,Il1b,C1qa,C1qc,Cd14,Ticam1,Tnf" "EC_WT" "mmu05133" "0.714104720485084"
"57" "Vegfa" "EC_WT" "Itgb1" "Tlr2,Il1b,Tnf,C3,Fcgr3,Ptgs2,Ifngr2,H2-Aa,H2-Ab1,H2-Eb1,H2-DMa,Marcksl1" "EC_WT" "mmu05140" "0.672620886871133"
"58" "Vegfa" "EC_WT" "Itgb1" "H2-Aa,H2-Ab1,H2-Eb1,H2-DMa,Tnf,Pik3cd,Ppif" "EC_WT" "mmu05145" "0.610806364847025"
"59" "Vegfa" "EC_WT" "Itgb1" "Cxcr4,Adcy3,Pik3cd,Stat5a,Runx1,Cebpa,Csf2ra,Bid" "EC_WT" "mmu05200" "0.625328704208876"
"60" "Vegfa" "FAP_WT" "Itgb1" "Adcy9,Lamb2,Bcl2l1,Mtor" "EC_WT" "mmu05200" "0.761377396562304"
"61" "Vegfa" "EC_WT" "Itgb1" "Mras,Gab1,Itpr2,Mmp2,Fas,Fn1,Fzd1,Fzd5,Plcg1,Col1a1,Col1a2" "EC_WT" "mmu05205" "0.655081567507548"
"62" "Vegfa" "EC_WT" "Itgb1" "Pik3cd,Cd63,Tnf,Itgb5" "EC_WT" "mmu05205" "0.640762419550593"
"63" "Vegfa" "FAP_WT" "Itgb1" "Ppp1r12c,Cdkn1a,Vegfa" "FAP_WT" "mmu05205" "0.850797284292234"
"64" "Vegfa" "FAP_WT" "Itgb1" "Bcl2,Lamb2,Bcl2l1" "EC_WT" "mmu05222" "0.672161780823955"
"65" "Vegfa" "EC_WT" "Itgb1" "Cycs,Cdk4,Ccnd1,Cks1b,Cks2,Skp2,Ccne1,E2f1" "FAP_WT" "mmu05222" "0.641003002966326"
"66" "Vegfa" "FAP_WT" "Itgb1" "Casp9,Pik3r2,Akt2" "EC_WT" "mmu05222" "0.614618187375865"
"67" "Vegfa" "EC_WT" "Itgb1" "Actb,Emd,Lmna,Tnf" "FAP_WT" "mmu05410" "0.61568896966122"
"68" "Vegfa" "EC_WT" "Itgb1" "Prkab2,Prkag2,Ace,Igf1" "FAP_WT" "mmu05410" "0.646403597232196"
"69" "Vegfa" "FAP_WT" "Itgb1" "Itga6,Itga9,Adcy9" "EC_WT" "mmu05414" "0.709600198717933"
"70" "Vegfa" "FAP_WT" "Itgb1" "Itga6,Itga9,Adcy9" "FAP_WT" "mmu05414" "0.621745308935838"
"71" "Vegfa" "EC_WT" "Itgb1" "Emd,Lmna,Tnf" "EC_WT" "mmu05414" "0.650466101793891"
"72" "Vegfa" "EC_WT" "Itgb1" "Emd,Lmna,Tnf" "FAP_WT" "mmu05414" "0.641924895925196"
"73" "Vegfa" "FAP_WT" "Kdr" "Vegfb,Gnb5,Gng5,Gng10,Pik3r2,Akt2,Pla2g12a" "EC_WT" "mmu04014" "0.610663434476358"
"74" "Vegfa" "EC_WT" "Kdr" "Adcy3,Apbb1ip,Pik3cd" "EC_WT" "mmu04015" "0.625780678803058"
"75" "Vegfa" "FAP_WT" "Kdr" "Adcy9,Rapgef1,Sipa1,Sipa1l2,Id1" "EC_WT" "mmu04015" "0.670800114512009"
"76" "Vegfa" "EC_WT" "Kdr" "Ccl11,Vegfa,Bmp2,Il1r2" "EC_WT" "mmu04060" "0.686745026657797"
"77" "Vegfa" "FAP_WT" "Kdr" "Ccl11,Vegfa,Bmp2,Il1r2" "FAP_WT" "mmu04060" "0.633878838698141"
"78" "Vegfa" "EC_WT" "Kdr" "Snx5,Rab31,Arap1" "EC_WT" "mmu04144" "0.62325227073704"
"79" "Vegfa" "EC_WT" "Kdr" "Vegfa,Pgf,Nras,Tlr2,Syk,Itgav" "EC_WT" "mmu04151" "0.729988588175611"
"80" "Vegfa" "EC_WT" "Kdr" "Vegfa,Nras,Ptgs2" "EC_WT" "mmu04370" "0.739558299421816"
"81" "Vegfa" "FAP_WT" "Kdr" "Pik3r2,Akt2,Casp9" "EC_WT" "mmu04370" "0.614618187375865"
"82" "Vegfa" "FAP_WT" "Kdr" "Lamb2,Tnxb,Itga6,Itga9,Myl9,Ppp1r12b,Ppp1r12c,Pik3r1,Fyn,Ccnd2" "FAP_WT" "mmu04510" "0.627562459210138"
"83" "Vegfa" "FAP_WT" "Kdr" "Vegfb,Ppp1ca,Akt2,Pik3r2" "EC_WT" "mmu04510" "0.643342844572376"
"84" "Vegfa" "EC_WT" "Kdr" "Rhoa,Myl12b,Mylpf,Bcl2" "FAP_WT" "mmu04510" "0.604418765105813"
"85" "Vegfa" "EC_WT" "Kdr" "Mras,Gab1,Itpr2,Mmp2,Fas,Fn1,Fzd1,Fzd5,Plcg1,Col1a1,Col1a2" "EC_WT" "mmu05205" "0.655081567507548"
"86" "Vegfa" "EC_WT" "Kdr" "Pik3cd,Cd63,Tnf,Itgb5" "EC_WT" "mmu05205" "0.640762419550593"
"87" "Vegfa" "FAP_WT" "Kdr" "Ppp1r12c,Cdkn1a,Vegfa" "FAP_WT" "mmu05205" "0.850797284292234"
"88" "Vegfa" "FAP_WT" "Nrp1" "Slc2a1,Ccnd2,Cdkn1a,Dvl1,Bcl2l1,Adcy9" "EC_WT" "mmu05166" "0.682003367107159"
"89" "Vegfa" "EC_WT" "Vtn" "Vegfa,Pgf,Nras,Tlr2,Syk,Itgav" "EC_WT" "mmu04151" "0.729988588175611"
"90" "Vegfa" "FAP_WT" "Vtn" "Lamb2,Tnxb,Itga6,Itga9,Myl9,Ppp1r12b,Ppp1r12c,Pik3r1,Fyn,Ccnd2" "FAP_WT" "mmu04510" "0.627562459210138"
"91" "Vegfa" "FAP_WT" "Vtn" "Vegfb,Ppp1ca,Akt2,Pik3r2" "EC_WT" "mmu04510" "0.643342844572376"
"92" "Vegfa" "EC_WT" "Vtn" "Rhoa,Myl12b,Mylpf,Bcl2" "FAP_WT" "mmu04510" "0.604418765105813"
"93" "Vegfa" "EC_WT" "Vtn" "Col1a1,Col1a2,Col6a2,Col6a1,Col6a3,Lama4,Lamb1,Lamc1,Comp,Thbs2,Thbs3,Thbs4,Fn1,Tnc,Itgb1,Dag1" "EC_WT" "mmu04512" "0.661264007002498"
"94" "Vegfa" "FAP_WT" "Vtn" "Lamb2,Tnxb,Itga6,Itga9" "EC_WT" "mmu04512" "0.615845183372817"
"95" "Vegfa" "FAP_WT" "Vtn" "Lamb2,Tnxb,Itga6,Itga9" "FAP_WT" "mmu04512" "0.623807629883228"
"96" "Vegfa" "EC_WT" "Vtn" "Cfb,C3,C1qa,C1qc" "EC_WT" "mmu04610" "0.6074445398747"
"97" "Vegfa" "EC_WT" "Vtn" "Mras,Gab1,Itpr2,Mmp2,Fas,Fn1,Fzd1,Fzd5,Plcg1,Col1a1,Col1a2" "EC_WT" "mmu05205" "0.655081567507548"
"98" "Vegfa" "EC_WT" "Vtn" "Pik3cd,Cd63,Tnf,Itgb5" "EC_WT" "mmu05205" "0.640762419550593"
"99" "Vegfa" "FAP_WT" "Vtn" "Ppp1r12c,Cdkn1a,Vegfa" "FAP_WT" "mmu05205" "0.850797284292234"
"100" "Pdap1" "EC_WT" "Pdgfa" "Nras,Raf1,Mapk1,Myc,Rac1,Casp3,Traf6,Map4k4,Mapk14,Nfatc3" "FAP_WT" "mmu04010" "0.679694950225475"
"101" "Pdap1" "EC_WT" "Pdgfa" "Pdgfa,Pdgfrb,Shc1,Ralgds,Rgl1" "EC_WT" "mmu04014" "0.639750228101166"
"102" "Pdap1" "FAP_WT" "Pdgfa" "Pdgfa,Pdgfrb,Shc1,Ralgds,Rgl1" "FAP_WT" "mmu04014" "0.67114764860148"
"103" "Pdap1" "EC_WT" "Pdgfa" "Calm1,Rras2,Rala,Cdc42" "EC_WT" "mmu04014" "0.668205272406807"
"104" "Pdap1" "EC_WT" "Pdgfa" "Nras,Rassf1,Raf1,Rel,Abl2" "FAP_WT" "mmu04014" "0.632364699564289"
"105" "Pdap1" "FAP_WT" "Pdgfa" "Calm3,Pfn1,Pard6a,Map2k2,Akt1" "FAP_WT" "mmu04015" "0.637534177778153"
"106" "Pdap1" "EC_WT" "Pdgfa" "Kitl,Thbs1,Ralb,Vasp,Actg1,Raf1,Map2k1,Map2k3,Nras" "FAP_WT" "mmu04015" "0.614193703825132"
"107" "Pdap1" "FAP_WT" "Pdgfa" "Pdgfa,Tnfsf9,Ifngr2" "FAP_WT" "mmu04060" "0.668165791385807"
"108" "Pdap1" "FAP_WT" "Pdgfa" "Tgfb3,Lifr,Ifnar1,Ifngr1,Tgfbr2,Acvr1" "FAP_WT" "mmu04060" "0.693861748962164"
"109" "Pdap1" "FAP_WT" "Pdgfa" "Pdgfrb,Insr,Gab2,Sos1,Sos2,Pik3ca,Pik3r1,Akt3,Plcg1,Fyn,Pld1,Raf1,Pip5k1a,Dgka,Dgkh,Dgkd,F2r,Cyth3,Gnas" "FAP_WT" "mmu04072" "0.620747231651038"
"110" "Pdap1" "FAP_WT" "Pdgfa" "Igf1,Comp,Lpar6,Tsc1,Cdkn1b,Foxo3,Creb3l2" "FAP_WT" "mmu04151" "0.635168437534194"
"111" "Pdap1" "FAP_WT" "Pdgfa" "Fgfr1,Ifnar1,Col1a1,Col1a2,Col6a2,Col6a1,Col6a3,Lama4,Lamb1,Lamc1,Thbs2,Thbs3,Thbs4,Fn1,Vtn,Tnc,F2r,Gnb4,Gng11,Eif4b,Ppp2r5a,Rbl2,Creb3,Ikbkg,Ikbkb" "FAP_WT" "mmu04151" "0.633010225767254"
"112" "Pdap1" "FAP_WT" "Pdgfa" "Itga9,Mtor,Ccnd1,Bcl2l1" "FAP_WT" "mmu04151" "0.605927488876314"
"113" "Pdap1" "EC_WT" "Pdgfa" "Gng10,Gngt2,Akt2,Them4" "FAP_WT" "mmu04151" "0.620866733093027"
"114" "Pdap1" "FAP_WT" "Pdgfa" "Col1a1,Col1a2,Col6a2,Col6a1,Col6a3,Lama4,Lamb1,Lamc1,Thbs2,Thbs3,Thbs4,Fn1,Tnc,Ppp1cc,Parva,Vav3,Rap1b,Mapk9,Birc2" "FAP_WT" "mmu04510" "0.657640125709512"
"115" "Pdap1" "FAP_WT" "Pdgfa" "Comp,Igf1,Jun" "FAP_WT" "mmu04510" "0.718796732166218"
"116" "Pdap1" "FAP_WT" "Pdgfa" "Vtn,Itga7,Pdgfa,Pdgfrb,Shc1" "FAP_WT" "mmu04510" "0.600669951354921"
"117" "Pdap1" "EC_WT" "Pdgfa" "Gnai2,Grb2,Mapk3,Mapk7,Adcy4" "EC_WT" "mmu04540" "0.628919395892586"
"118" "Pdap1" "FAP_WT" "Pdgfa" "Map2k2,Tuba4a,Tuba1a,Tuba1c,Tuba1b,Tubb4b,Tubb6,Tubb5,Cdk1" "FAP_WT" "mmu04540" "0.653872635042849"
"119" "Pdap1" "FAP_WT" "Pdgfa" "Cd14,Pik3cd,Map2k2,Pak4,Ppp1ca,Limk1,Arpc4,Pfn1,Iqgap3" "FAP_WT" "mmu04810" "0.632630886636067"
"120" "Pdap1" "EC_WT" "Pdgfa" "Itga5,Gna12,Vav2,Mapk3,Arhgef1,Git1,Slc9a1,Pip5k1c,Baiap2,Arpc1b,Actb,Pxn,Cfl1,Ssh3" "EC_WT" "mmu04810" "0.629128504425879"
"121" "Pdap1" "FAP_WT" "Pdgfa" "Vav3,Mylpf,Tmsb4x" "FAP_WT" "mmu04810" "0.634319019639949"
"122" "Pdap1" "EC_WT" "Pdgfa" "Myc,Jak1,Anapc1,Pdgfa,Pdgfrb,Ets2" "FAP_WT" "mmu05166" "0.65942433876335"
"123" "Pdap1" "FAP_WT" "Pdgfa" "Ran,H2-T10,Calr,Fdps,Rras2,Vdac1,Slc25a4,Slc25a5,Vdac2,Vdac3,Vac14,Ranbp1,Mad2l1,Bub1b,Bub3,Cdc20,Anapc7,Pcna,Pold3,Pole2,Pole3,Pole4,Ccnd1,Cdk4,E2f1,Kat2a,Cdkn2c,Mybl2,Chek2,Ccnb2" "FAP_WT" "mmu05166" "0.627076898477964"
"124" "Pdap1" "EC_WT" "Pdgfa" "H2-T23,Dvl3,Adcy4,Crtc1,Crtc2,Crtc3" "EC_WT" "mmu05166" "0.641554732488492"
"125" "Pdap1" "FAP_WT" "Pdgfa" "Casp9,Tcf7l2,Adcy7,Gng2,Ikbkb,Igf1,Smad3,Arnt" "FAP_WT" "mmu05200" "0.653656990242377"
"126" "Pdap1" "EC_WT" "Pdgfa" "Myc,Gna13,Itgav,Nfkbia,Ptgs2,Birc3,Traf3,Cbl,Cblb,Jak1,Stat3,Nras,Ccdc6,Hif1a" "FAP_WT" "mmu05200" "0.703626802941596"
"127" "Pdap1" "EC_WT" "Pdgfa" "Gng11,Gngt2,Bcl2,Rala" "EC_WT" "mmu05200" "0.652500113661298"
"128" "Pdap1" "EC_WT" "Pdgfa" "Ncor1,Aff1,Ccnt1,Dot1l,Bmp2k,Igf1r,Pdgfa,Nr4a3,Nfkb1" "FAP_WT" "mmu05202" "0.636662718870191"
"129" "Pdap1" "FAP_WT" "Pdgfa" "Ccnd1,Mtor,Slc7a1,Abcb1b" "FAP_WT" "mmu05206" "0.707990939651729"
"130" "Pdap1" "EC_WT" "Pdgfa" "Pim1,Mcl1,Zeb2,Rassf1,Ccng1,Nras,Notch2,Thbs1,Ptgs2,Mdm2,Raf1" "FAP_WT" "mmu05206" "0.609377343714583"
"131" "Pdap1" "EC_WT" "Pdgfa" "Dnmt3a,Crebbp,Abl1,Bmf,Stat3,Notch1,Shc1,Pdgfa,Pdgfrb" "EC_WT" "mmu05206" "0.63080481131931"
"132" "Pdap1" "FAP_WT" "Pdgfa" "Pdgfa,Pdgfrb,Plcg1,Camk2g,Shc1,Sos1,Sos2,Kras,Araf,Braf,Raf1,Pik3ca,Pik3r1,Akt3,Pten" "FAP_WT" "mmu05214" "0.633096921680169"
"133" "Pdap1" "EC_WT" "Pdgfa" "Calml4,Pik3r2,Akt2" "FAP_WT" "mmu05214" "0.619746089000119"
"134" "Pdap1" "EC_WT" "Pdgfa" "Map2k1,Mapk1,E2f3" "FAP_WT" "mmu05214" "0.606291614045996"
"135" "Pdap1" "FAP_WT" "Pdgfa" "Cdkn1b,Fgfr1,Pik3ca,Pik3r1,Pten,Pdpk1,Akt3,Gsk3b,Creb1,Creb3l2,Ctnnb1,Ep300,Sos1,Sos2,Kras,Araf,Braf" "FAP_WT" "mmu05215" "0.615320982026118"
"136" "Pdap1" "EC_WT" "Pdgfa" "Cdk2,E2f3,Mdm2,Atf4,Chuk,Nfkbia,Nfkb1,Nras,Raf1,Map2k1,Mapk1,Hsp90aa1,Hsp90ab1,Hsp90b1" "FAP_WT" "mmu05215" "0.605453299936012"
"137" "Pdap1" "FAP_WT" "Pdgfa" "Ccne1,E2f1,Akt1,Akt2,Bad,Map2k2,Gstp1" "FAP_WT" "mmu05215" "0.712401923650036"
"138" "Pdap1" "EC_WT" "Pdgfa" "Trp53,Rela,Mapk3" "EC_WT" "mmu05215" "0.758805407651332"
"139" "Pdap1" "FAP_WT" "Pdgfa" "Trp53,Rela,Mapk3" "EC_WT" "mmu05215" "0.60995759331301"
"140" "Pdap1" "FAP_WT" "Pdgfa" "Fgfr1,Kras,Araf,Braf,Pik3r1,Akt3,Pten" "FAP_WT" "mmu05218" "0.634858711632849"
"141" "Pdap1" "FAP_WT" "Pdgfa" "Map2k2,Cdk4,Pik3cd,Akt1,Bad,Trp53,E2f1" "FAP_WT" "mmu05218" "0.638997386687196"
"142" "Pdap1" "FAP_WT" "Pdgfa" "Sos1,Sos2,Kras,Mapk8,Mapk9,Pik3ca,Pik3r1,Pdpk1,Akt3,Tsc1,Rheb,Rps6kb1,Wasl,Sp1,Pld1,Slc44a2,Chkb,Jun,Fos,Plcg1,Dgka,Dgkq,Dgkd,Gpcpd1" "FAP_WT" "mmu05231" "0.613960472518348"
"143" "Pdap1" "EC_WT" "Pdgfa" "Mapk3,Ralgds,Tsc2,Rps6kb2,Pld2" "EC_WT" "mmu05231" "0.734039851507227"
"144" "BC096441" "FAP_WT" "Fas" "Map2k1,Mknk2,Elk1,Gadd45b,Gadd45g,Map4k2,Nr4a1,Nfkb1" "EC_WT" "mmu04010" "0.688939342917873"
"145" "BC096441" "FAP_WT" "Fas" "Map2k1,Mknk2,Elk1,Gadd45b,Gadd45g,Map4k2,Nr4a1,Nfkb1" "FAP_WT" "mmu04010" "0.602715176689636"
"146" "BC096441" "EC_WT" "Fas" "Tnf,Il1b,Il1r2,Cd14,Taok3,Arrb2,Mapkapk3,Dusp10" "EC_WT" "mmu04010" "0.65534464802099"
"147" "BC096441" "EC_WT" "Fas" "Ccl11,Vegfa,Bmp2,Il1r2" "EC_WT" "mmu04060" "0.669736831521355"
"148" "BC096441" "FAP_WT" "Fas" "Il6,Kitl,Il13ra1,Il15ra,Tnfrsf12a,Fas,Tgfbr1,Acvr2a,Bmpr2" "FAP_WT" "mmu04060" "0.647229088465433"
"149" "BC096441" "FAP_WT" "Fas" "Pdgfa,Tnfsf9,Ifngr2" "EC_WT" "mmu04060" "0.623793219761517"
"150" "BC096441" "EC_WT" "Fas" "Tnfsf13,Cxcr4,Tnfrsf14" "EC_WT" "mmu04060" "0.678408145424642"
"151" "BC096441" "EC_WT" "Fas" "Tnf,Ctsb,Ctsc,Ctsd,Ctsh,Ctss,Ctsz,Bcl2l11,Pmaip1,Pik3cd" "EC_WT" "mmu04210" "0.674592663244087"
"152" "BC096441" "FAP_WT" "Fas" "Actg1,Atf4,Nfkbia,Nfkb1,Nras,Raf1,Map2k1" "FAP_WT" "mmu04210" "0.760203773022108"
"153" "BC096441" "FAP_WT" "Fas" "Icam1,Nras,Araf,Raf1,Ifngr2" "FAP_WT" "mmu04650" "0.624847016692152"
"154" "BC096441" "EC_WT" "Fas" "Map2k2,Tnf,Tyrobp,Fcer1g,Syk,Sh3bp2,Pik3cd,Bid" "EC_WT" "mmu04650" "0.619376836203797"
"155" "BC096441" "FAP_WT" "Fas" "Birc3,Map2k3,Nfkbia,Ripk3,Ccl2,Cxcl1,Cxcl2,Cxcl10,Csf1,Il1b,Il6,Tnfaip3,Ptgs2,Traf3" "FAP_WT" "mmu04668" "0.634403075729001"
"156" "BC096441" "FAP_WT" "Fas" "Tab1,Pik3r2,Akt2" "FAP_WT" "mmu04668" "0.80478789677385"
"157" "BC096441" "FAP_WT" "Fas" "Il6,Socs3,Nfkb1,Adipor1,Atf4,Ndufs1" "FAP_WT" "mmu04932" "0.765891878844873"
"158" "BC096441" "FAP_WT" "Fas" "Psenen,Psen2,Cox7a2l,Apoe,Calml4,Casp9,Cdk5" "FAP_WT" "mmu05010" "0.610456877382925"
"159" "BC096441" "EC_WT" "Fas" "Tlr2,Ifngr2,C3" "EC_WT" "mmu05142" "0.671860781632179"
