"receptor" "pathway_id" "genes_in_cluster"
"Il6st" "mmu04550" "Map2k2,Mapk3,Akt1,Tcf3"
"Il6st" "mmu04550" "Pik3cd"
"Il6st" "mmu04550" "Pik3r2,Akt2,Pcgf1"
"Il6st" "mmu04550" "Smad2,Smad1,Mapk14"
"Il6st" "mmu04550" "Bmp2"
"Il6st" "mmu04550" "Id1,Dvl2"
"Il6st" "mmu04550" "Id2"
"Il6st" "mmu04630" "Il6,Il15ra,Socs3,Socs5,Socs6,Mcl1,Stam,Ptpn2,Ptpn11,Raf1"
"Il6st" "mmu04630" "Tslp,Ifnar2,Stat5b,Pias1,Pik3r2"
"Il6st" "mmu04630" "Il2rg,Il3ra,Crlf2,Csf2ra,Stat5a,Pik3cd,Akt1"
"Il6st" "mmu04630" "Il4ra,Ifngr2,Pim1"
"Il6st" "mmu04630" "Il10rb,Il11ra1,Bcl2"
"Il6st" "mmu04630" "Il13ra1,Il6st,Ifnar1,Jak1,Jak2,Stat1,Stat2,Stat3,Myc,Stam2,Irf9"
"Il6st" "mmu04630" "Ifngr1,Lifr,Socs2,Socs4,Ep300,Pias2,Fhl1,Sos1,Sos2,Pik3ca,Pik3r1,Akt3"
"Il6st" "mmu04630" "Tyk2,Crebbp,Pias3,Grb2"
"Il6st" "mmu04630" "Stat6,Socs7,Bcl2l1,Ccnd1,Ccnd2,Mtor"
"Il6st" "mmu04630" "Cish,Socs1,Ccnd3,Cdkn1a,Pias4"
"Il6st" "mmu04630" "Akt2"
"Il6st" "mmu05203" "Kras,Creb1,Atf2,Atf4,Ywhaz,Pik3ca,Pik3r1,Nfkb1,Hnrnpk,Ddx3x,Usp7,Mdm2,Gtf2h1,Ep300,Ccnd2,Ube3a,Dlg1,Rbl2,Kat2b,Rasa2"
"Il6st" "mmu05203" "Nras,Ywhag,Rel,Traf3,Nfkbia"
"Il6st" "mmu05203" "Mapk1,Creb3l2,Ddb1,Ywhab,Jak1,Stat3,Casp3,Cdk2,Egr2,Eif2ak2,Prkacb,Crebbp,Ubr4,Chd4,Hdac4,Rac1,Actn4,Actn1,Il6st,Mapkapk2,H2-D1,H2-K1,H2-Q4"
"Il6st" "mmu05203" "Mapk3,Atf6b,Ltbr,Bax,Grb2,Tradd,Ccnd3,Traf2,Traf5,Scrib,Pxn,Hdac5,Hdac7,Hdac10,Srf,Bad,H2-Q1,H2-T22,H2-T23,Gm11127,Gm7030"
"Il6st" "mmu05203" "Creb3,Creb3l1"
"Il6st" "mmu05203" "Ywhaq,Tbp,Tbpl1,Snw1,Gtf2h2,Gtf2e2,Gtf2b,Rb1,Hdac2,Gtf2a2,Ikbkg,Cdc42,Rhoa,Polb"
"Il6st" "mmu05203" "Ywhae,Ywhah,Ccne1,Vdac3,Cdk1,Gtf2e1,Ccnd1,Ccna2,Skp2,Psmc1,Rbl1,Hdac1,Cdk4,Cdc20,Mad1l1,Ranbp1"
"Il6st" "mmu05203" "Stat5a,Pik3cd,Rela,Nfkb2,Trp53,Prkaca,Gtf2h4,Snd1,Mrps18b,Syk,Atp6v0d1,Bak1,Pkm,Kat2a,Vac14,Irf7,H2-Q10,H2-Q7,H2-T10"
"Il6st" "mmu05203" "Stat5b,Pik3r2,Hist1h2bc"
"Il6st" "mmu05203" "Sp100,Lyn,Hdac3,Hdac6,Irf9,Casp8,H2-T24,H2-T9"
"Il6st" "mmu05203" "Cdkn1a,Gsn"
"Il6st" "mmu05203" "Hist1h2bg,Hist1h4i"
"Il6st" "mmu05203" "Hist1h2bk,Hist1h2bl,Irf3,H2-M3"
"Il6st" "mmu05203" "Rbpj,Dnaja3,Gtf2a1"
"Il6st" "mmu05203" "Gtf2h3,Hdac8"
"Il6st" "mmu05203" "Cdkn1b,Jun"
"Il6st" "mmu05203" "Pmaip1,C3"
"Lifr" "mmu04060" "Cxcl1,Csf1,Il1rap"
"Lifr" "mmu04060" "Cxcl2,Cxcl10,Cxcl16,Cxcl14,Ccl2,Ccl4,Ccl3,Ccl7,Ccl5,Ccl8,Ccl9,Clcf1,Tnf,Il1b,Il4ra,Csf2ra,Il2rg,Tnfrsf10b,Tnfrsf1b,Tnfrsf1a,Il17ra"
"Lifr" "mmu04060" "Cxcl12,Il6st,Pdgfrb,Acvr1b"
"Lifr" "mmu04060" "Ccl11,Vegfa,Bmp2,Il1r2"
"Lifr" "mmu04060" "Ccl27a,Vegfb,Flt3l,Tgfb1,Il11ra1,Ifnar2,Il10rb,Tnfrsf21"
"Lifr" "mmu04060" "Il6,Kitl,Il13ra1,Il15ra,Tnfrsf12a,Fas,Tgfbr1,Acvr2a,Bmpr2"
"Lifr" "mmu04060" "Tslp"
"Lifr" "mmu04060" "Pdgfa,Tnfsf9,Ifngr2"
"Lifr" "mmu04060" "Tnfsf12,Il3ra,Crlf2,Ltbr"
"Lifr" "mmu04060" "Tnfsf13,Cxcr4,Tnfrsf14"
"Lifr" "mmu04060" "Tgfb3,Lifr,Ifnar1,Ifngr1,Tgfbr2,Acvr1"
"Lifr" "mmu04550" "Lifr,Smad3,Acvr1,Fzd7,Dvl3,Igf1,Jarid2,Pcgf2"
"Lifr" "mmu04550" "Il6st,Stat3,Klf4,Pik3ca,Pik3r1,Akt3,Acvr1b,Acvr2a,Bmpr2,Smad5,Smad4,Fzd1,Fzd5,Gsk3b,Apc,Ctnnb1,Fgfr1,Kras,Igf1r,Skil,Smarcad1,Kat6a,Rest,Rif1,Pcgf3,Bmi1"
"Lifr" "mmu04550" "Jak1,Jak2,Myc,Mapk1,Nras,Raf1,Setdb1,Pcgf5,Pcgf6"
"Lifr" "mmu04550" "Grb2"
"Lifr" "mmu04550" "Map2k1,Id3,Dvl1,Axin1"
"Lifr" "mmu04550" "Map2k2,Mapk3,Akt1,Tcf3"
"Lifr" "mmu04550" "Pik3cd"
"Lifr" "mmu04550" "Pik3r2,Akt2,Pcgf1"
"Lifr" "mmu04550" "Smad2,Smad1,Mapk14"
"Lifr" "mmu04550" "Bmp2"
"Lifr" "mmu04550" "Id1,Dvl2"
"Lifr" "mmu04550" "Id2"
"Lifr" "mmu04630" "Il6,Il15ra,Socs3,Socs5,Socs6,Mcl1,Stam,Ptpn2,Ptpn11,Raf1"
"Lifr" "mmu04630" "Tslp,Ifnar2,Stat5b,Pias1,Pik3r2"
"Lifr" "mmu04630" "Il2rg,Il3ra,Crlf2,Csf2ra,Stat5a,Pik3cd,Akt1"
"Lifr" "mmu04630" "Il4ra,Ifngr2,Pim1"
"Lifr" "mmu04630" "Il10rb,Il11ra1,Bcl2"
"Lifr" "mmu04630" "Il13ra1,Il6st,Ifnar1,Jak1,Jak2,Stat1,Stat2,Stat3,Myc,Stam2,Irf9"
"Lifr" "mmu04630" "Ifngr1,Lifr,Socs2,Socs4,Ep300,Pias2,Fhl1,Sos1,Sos2,Pik3ca,Pik3r1,Akt3"
"Lifr" "mmu04630" "Tyk2,Crebbp,Pias3,Grb2"
"Lifr" "mmu04630" "Stat6,Socs7,Bcl2l1,Ccnd1,Ccnd2,Mtor"
"Lifr" "mmu04630" "Cish,Socs1,Ccnd3,Cdkn1a,Pias4"
"Lifr" "mmu04630" "Akt2"
"Osmr" "mmu04060" "Cxcl1,Csf1,Il1rap"
"Osmr" "mmu04060" "Cxcl2,Cxcl10,Cxcl16,Cxcl14,Ccl2,Ccl4,Ccl3,Ccl7,Ccl5,Ccl8,Ccl9,Clcf1,Tnf,Il1b,Il4ra,Csf2ra,Il2rg,Tnfrsf10b,Tnfrsf1b,Tnfrsf1a,Il17ra"
"Osmr" "mmu04060" "Cxcl12,Il6st,Pdgfrb,Acvr1b"
"Osmr" "mmu04060" "Ccl11,Vegfa,Bmp2,Il1r2"
"Osmr" "mmu04060" "Ccl27a,Vegfb,Flt3l,Tgfb1,Il11ra1,Ifnar2,Il10rb,Tnfrsf21"
"Osmr" "mmu04060" "Il6,Kitl,Il13ra1,Il15ra,Tnfrsf12a,Fas,Tgfbr1,Acvr2a,Bmpr2"
"Osmr" "mmu04060" "Tslp"
"Osmr" "mmu04060" "Pdgfa,Tnfsf9,Ifngr2"
"Osmr" "mmu04060" "Tnfsf12,Il3ra,Crlf2,Ltbr"
"Osmr" "mmu04060" "Tnfsf13,Cxcr4,Tnfrsf14"
"Osmr" "mmu04060" "Tgfb3,Lifr,Ifnar1,Ifngr1,Tgfbr2,Acvr1"
"Osmr" "mmu04151" "Igf1,Comp,Lpar6,Tsc1,Cdkn1b,Foxo3,Creb3l2"
"Osmr" "mmu04151" "Pdgfa,Pdgfrb,Itga7"
"Osmr" "mmu04151" "Csf1,Ywhag"
"Osmr" "mmu04151" "Kitl,Insr,Sos1,Sos2,Kras,Raf1,Map2k1,Mapk1,Tlr4,Rac1,Il6,Jak2,Col4a1,Col4a2,Thbs1,Itga6,Itgb1,Ptk2,Gnb1,Gng12,Pdpk1,Prkaa1,Rps6kb1,Pkn2,Sgk1,Akt3,Pten,Ppp2cb,Hsp90aa1,Hsp90ab1,Hsp90b1,Crtc2,Phlpp1,Phlpp2,Gsk3b,Ccnd2,Ywhaz,Ywhab,Creb1,Atf2,Atf4,Nr4a1,Chuk,Nfkb1,Mdm2,Pik3ca,Pik3r1"
"Osmr" "mmu04151" "Vegfa,Pgf,Nras,Tlr2,Syk,Itgav"
"Osmr" "mmu04151" "Vegfb,Gnb5,Gng5,Creb3l1,Pik3r2"
"Osmr" "mmu04151" "Fgfr1,Ifnar1,Col1a1,Col1a2,Col6a2,Col6a1,Col6a3,Lama4,Lamb1,Lamc1,Thbs2,Thbs3,Thbs4,Fn1,Vtn,Tnc,F2r,Gnb4,Gng11,Eif4b,Ppp2r5a,Rbl2,Creb3,Ikbkg,Ikbkb"
"Osmr" "mmu04151" "Igf1r"
"Osmr" "mmu04151" "Grb2,Map2k2,Mapk3,Il3ra,Gnb2,Stk11,Ddit4,Rptor,Eif4ebp1,Pkn1,Akt1,Ppp2r5b,G6pc3,Cdkn1a,Ccnd3,Bad,Atf6b,Rxra,Rela"
"Osmr" "mmu04151" "Il2rg,Spp1,Itgb5,Gng2,Bcl2l11,Casp9"
"Osmr" "mmu04151" "Il4ra,Jak1,Itga5,Ppp2r1a,Ppp2r1b,Ppp2r5c,Myc,Cdk2,Cdk4,Ccne1,Trp53"
"Osmr" "mmu04151" "Ifnar2,Mlst8,Eif4e2,Rps6,Ppp2r5d,Cdc37,Gys1,Pck2,Ywhae,Pik3cd"
"Osmr" "mmu04151" "Lamb2,Tnxb,Ppp2r3d"
"Osmr" "mmu04151" "Itga9,Mtor,Ccnd1,Bcl2l1"
"Osmr" "mmu04151" "Gng10,Gngt2,Akt2,Them4"
"Osmr" "mmu04151" "Tsc2,Rps6kb2"
"Osmr" "mmu04151" "Rheb,Eif4e,Ppp2ca,Ppp2r2d,Ppp2r2a,Ppp2r3c,Ppp2r5e,Mtcp1,Ywhaq,Ywhah,Bcl2,Mcl1"
"Osmr" "mmu04151" "Sgk3"
"Osmr" "mmu04630" "Il6,Il15ra,Socs3,Socs5,Socs6,Mcl1,Stam,Ptpn2,Ptpn11,Raf1"
"Osmr" "mmu04630" "Tslp,Ifnar2,Stat5b,Pias1,Pik3r2"
"Osmr" "mmu04630" "Il2rg,Il3ra,Crlf2,Csf2ra,Stat5a,Pik3cd,Akt1"
"Osmr" "mmu04630" "Il4ra,Ifngr2,Pim1"
"Osmr" "mmu04630" "Il10rb,Il11ra1,Bcl2"
"Osmr" "mmu04630" "Il13ra1,Il6st,Ifnar1,Jak1,Jak2,Stat1,Stat2,Stat3,Myc,Stam2,Irf9"
"Osmr" "mmu04630" "Ifngr1,Lifr,Socs2,Socs4,Ep300,Pias2,Fhl1,Sos1,Sos2,Pik3ca,Pik3r1,Akt3"
"Osmr" "mmu04630" "Tyk2,Crebbp,Pias3,Grb2"
"Osmr" "mmu04630" "Stat6,Socs7,Bcl2l1,Ccnd1,Ccnd2,Mtor"
"Osmr" "mmu04630" "Cish,Socs1,Ccnd3,Cdkn1a,Pias4"
"Osmr" "mmu04630" "Akt2"
"Ccr1" "mmu04060" "Cxcl1,Csf1,Il1rap"
"Ccr1" "mmu04060" "Cxcl2,Cxcl10,Cxcl16,Cxcl14,Ccl2,Ccl4,Ccl3,Ccl7,Ccl5,Ccl8,Ccl9,Clcf1,Tnf,Il1b,Il4ra,Csf2ra,Il2rg,Tnfrsf10b,Tnfrsf1b,Tnfrsf1a,Il17ra"
"Ccr1" "mmu04060" "Cxcl12,Il6st,Pdgfrb,Acvr1b"
"Ccr1" "mmu04060" "Ccl11,Vegfa,Bmp2,Il1r2"
"Ccr1" "mmu04060" "Ccl27a,Vegfb,Flt3l,Tgfb1,Il11ra1,Ifnar2,Il10rb,Tnfrsf21"
"Ccr1" "mmu04060" "Il6,Kitl,Il13ra1,Il15ra,Tnfrsf12a,Fas,Tgfbr1,Acvr2a,Bmpr2"
"Ccr1" "mmu04060" "Tslp"
"Ccr1" "mmu04060" "Pdgfa,Tnfsf9,Ifngr2"
"Ccr1" "mmu04060" "Tnfsf12,Il3ra,Crlf2,Ltbr"
"Ccr1" "mmu04060" "Tnfsf13,Cxcr4,Tnfrsf14"
"Ccr1" "mmu04060" "Tgfb3,Lifr,Ifnar1,Ifngr1,Tgfbr2,Acvr1"
"Ccr1" "mmu04062" "Cxcl1,Cxcl2,Ccl2,Ccl7,Nras,Nfkbia,Adrbk1"
"Ccr1" "mmu04062" "Cxcl10,Cxcl12,Jak2,Stat3,Gnai2,Raf1,Map2k1,Nfkb1,Gnb1"
"Ccr1" "mmu04062" "Cxcl16,Ccl3,Ccl4,Ccl5,Ccl9,Ccl8,Cxcr4,Adcy3,Pik3cd,Nfkbib,Prkcd,Arrb2"
"Ccr1" "mmu04062" "Cxcl14,Adcy7,Gng2"
"Ccr1" "mmu04062" "Ccl11,Gnai3,Prkacb,Sos1,Sos2,Kras,Braf,Mapk1,Pik3r1,Pik3ca,Akt3,Chuk,Gsk3b,Rac1,Wasl,Rock1,Rock2,Gng12,Ptk2,Crk,Crkl,Rap1a,Rap1b"
"Ccr1" "mmu04062" "Ccl27a"
"Ccr1" "mmu04062" "Stat1,Stat2,Prkaca,Lyn,Vav2,Prex1,Plcb3"
"Ccr1" "mmu04062" "Stat5b,Adcy9,Arrb1"
"Ccr1" "mmu04062" "Adcy4,Shc1,Grb2,Foxo3"
"Ccr1" "mmu04062" "Mapk3,Akt1,Rela,Gsk3a,Gnb2,Pxn,Grk6"
"Ccr1" "mmu04062" "Pik3r2,Gnb5,Gng5,Gng10"
"Ccr1" "mmu04062" "Akt2,Gngt2"
"Ccr1" "mmu04062" "Ikbkb,Ikbkg,Rhoa,Grk5"
"Ccr1" "mmu04062" "Vav3,Gnb4,Gng11"
"Ccr1" "mmu04062" "Cdc42"
"Ccr3" "mmu04060" "Cxcl1,Csf1,Il1rap"
"Ccr3" "mmu04060" "Cxcl2,Cxcl10,Cxcl16,Cxcl14,Ccl2,Ccl4,Ccl3,Ccl7,Ccl5,Ccl8,Ccl9,Clcf1,Tnf,Il1b,Il4ra,Csf2ra,Il2rg,Tnfrsf10b,Tnfrsf1b,Tnfrsf1a,Il17ra"
"Ccr3" "mmu04060" "Cxcl12,Il6st,Pdgfrb,Acvr1b"
"Ccr3" "mmu04060" "Ccl11,Vegfa,Bmp2,Il1r2"
"Ccr3" "mmu04060" "Ccl27a,Vegfb,Flt3l,Tgfb1,Il11ra1,Ifnar2,Il10rb,Tnfrsf21"
"Ccr3" "mmu04060" "Il6,Kitl,Il13ra1,Il15ra,Tnfrsf12a,Fas,Tgfbr1,Acvr2a,Bmpr2"
"Ccr3" "mmu04060" "Tslp"
"Ccr3" "mmu04060" "Pdgfa,Tnfsf9,Ifngr2"
"Ccr3" "mmu04060" "Tnfsf12,Il3ra,Crlf2,Ltbr"
"Ccr3" "mmu04060" "Tnfsf13,Cxcr4,Tnfrsf14"
"Ccr3" "mmu04060" "Tgfb3,Lifr,Ifnar1,Ifngr1,Tgfbr2,Acvr1"
"Ccr3" "mmu04062" "Cxcl1,Cxcl2,Ccl2,Ccl7,Nras,Nfkbia,Adrbk1"
"Ccr3" "mmu04062" "Cxcl10,Cxcl12,Jak2,Stat3,Gnai2,Raf1,Map2k1,Nfkb1,Gnb1"
"Ccr3" "mmu04062" "Cxcl16,Ccl3,Ccl4,Ccl5,Ccl9,Ccl8,Cxcr4,Adcy3,Pik3cd,Nfkbib,Prkcd,Arrb2"
"Ccr3" "mmu04062" "Cxcl14,Adcy7,Gng2"
"Ccr3" "mmu04062" "Ccl11,Gnai3,Prkacb,Sos1,Sos2,Kras,Braf,Mapk1,Pik3r1,Pik3ca,Akt3,Chuk,Gsk3b,Rac1,Wasl,Rock1,Rock2,Gng12,Ptk2,Crk,Crkl,Rap1a,Rap1b"
"Ccr3" "mmu04062" "Ccl27a"
"Ccr3" "mmu04062" "Stat1,Stat2,Prkaca,Lyn,Vav2,Prex1,Plcb3"
"Ccr3" "mmu04062" "Stat5b,Adcy9,Arrb1"
"Ccr3" "mmu04062" "Adcy4,Shc1,Grb2,Foxo3"
"Ccr3" "mmu04062" "Mapk3,Akt1,Rela,Gsk3a,Gnb2,Pxn,Grk6"
"Ccr3" "mmu04062" "Pik3r2,Gnb5,Gng5,Gng10"
"Ccr3" "mmu04062" "Akt2,Gngt2"
"Ccr3" "mmu04062" "Ikbkb,Ikbkg,Rhoa,Grk5"
"Ccr3" "mmu04062" "Vav3,Gnb4,Gng11"
"Ccr3" "mmu04062" "Cdc42"
"Ccr3" "mmu05203" "Kras,Creb1,Atf2,Atf4,Ywhaz,Pik3ca,Pik3r1,Nfkb1,Hnrnpk,Ddx3x,Usp7,Mdm2,Gtf2h1,Ep300,Ccnd2,Ube3a,Dlg1,Rbl2,Kat2b,Rasa2"
"Ccr3" "mmu05203" "Nras,Ywhag,Rel,Traf3,Nfkbia"
"Ccr3" "mmu05203" "Mapk1,Creb3l2,Ddb1,Ywhab,Jak1,Stat3,Casp3,Cdk2,Egr2,Eif2ak2,Prkacb,Crebbp,Ubr4,Chd4,Hdac4,Rac1,Actn4,Actn1,Il6st,Mapkapk2,H2-D1,H2-K1,H2-Q4"
"Ccr3" "mmu05203" "Mapk3,Atf6b,Ltbr,Bax,Grb2,Tradd,Ccnd3,Traf2,Traf5,Scrib,Pxn,Hdac5,Hdac7,Hdac10,Srf,Bad,H2-Q1,H2-T22,H2-T23,Gm11127,Gm7030"
"Ccr3" "mmu05203" "Creb3,Creb3l1"
"Ccr3" "mmu05203" "Ywhaq,Tbp,Tbpl1,Snw1,Gtf2h2,Gtf2e2,Gtf2b,Rb1,Hdac2,Gtf2a2,Ikbkg,Cdc42,Rhoa,Polb"
"Ccr3" "mmu05203" "Ywhae,Ywhah,Ccne1,Vdac3,Cdk1,Gtf2e1,Ccnd1,Ccna2,Skp2,Psmc1,Rbl1,Hdac1,Cdk4,Cdc20,Mad1l1,Ranbp1"
