tracking_id	Endothelium.D0.NTX	Endothelium.1D.NTX	Endothelium.2D.NTX	Endothelium.3D.NTX	Endtoehlium.5D.NTX	Endothelium.6D.NTX	Endothelium.7D.NTX	Endothelium.10D.NTX
1110034G24Rik	6.40962	4.35621	4.99142	2.56602	2.59605	3.44608	6.18206	3.72838
1110035M17Rik	1.03832	0.001	1.81339	2.54257	0.351139	0.918158	2.44105	0.660074
1110036E04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110037F02Rik	3.21182	7.37714	7.88186	6.39605	9.601	10.7565	2.47014	11.6548
1110038B12Rik	59.4852	31.9259	43.0514	53.7754	39.3783	55.3669	116.008	40.9666
1110038F14Rik	68.8394	44.4037	34.4285	33.7261	17.8897	23.5505	61.6345	25.6109
1110046J04Rik	4.27956	1.15533	3.09756	2.19398	1.91923	2.30696	5.8335	1.39621
1110051M20Rik	3.19644	4.46415	4.42037	7.08506	3.44985	4.95666	5.35952	4.28747
1110054M08Rik	11.0993	3.49524	3.34304	5.66456	3.03014	4.6374	10.7949	2.78348
1110057K04Rik	4.31858	11.9426	10.796	10.0575	8.72464	14.1475	4.1229	12.414
1110058L19Rik	31.5315	12.9911	26.6714	14.4822	11.1827	23.2206	37.604	14.0061
1110059E24Rik	25.7488	11.6342	27.4173	9.33547	23.2313	36.8671	21.1646	25.4706
1110059G10Rik	8.36789	1.78455	4.72403	1.76229	3.18118	4.38004	6.20482	4.08344
1110059M19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110065P20Rik	17.5416	17.1854	10.4319	15.9471	8.30734	7.676	25.1027	6.89756
1190002F15Rik	2.25563	0.429509	3.88643	1.83661	3.75813	14.2146	29.1298	4.0296
1190002N15Rik	23.444	7.34556	16.749	13.3544	13.1546	5.6346	3.63782	8.13653
1190003J15Rik	0.001	0.001	0.001	0.001	0.001	0.136999	0.394779	0.001
1190003K10Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1190005I06Rik	0.0978228	0.207548	0.237875	0.308252	0.22939	0.001	3.97823	0.352377
1190007I07Rik	6.85504	5.11987	5.09484	3.6327	1.79876	2.08527	10.6062	1.94917
1200011I18Rik	4.07377	5.9199	7.05749	3.9215	8.46181	9.11613	4.54815	10.7057
1200014J11Rik	3.42572	4.05705	5.8714	3.55347	6.36839	7.93993	5.82833	7.2018
1300002E11Rik	28.8488	5.32548	14.6077	4.45409	8.12096	9.64754	6.70363	8.56437
1300002K09Rik	0.001	0.001	0.001	0.001	0.0378797	0.0214273	0.960439	0.105407
1300015D01Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1300017J02Rik	0.001	0.0547554	0.001	0.001	0.001	0.001	0.0712354	0.001
1300018J18Rik	3.33709	6.26163	4.14978	4.93071	3.08835	3.10696	0.981446	4.30357
1500002O10Rik	0.001	0.001	0.001	0.001	0.001	0.0982912	0.0693973	0.001
1500004A13Rik	0.314429	0.444424	0.877018	0.734783	1.08118	1.13208	0.3079	1.53677
1500009C09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.0364933	0.001
1500009L16Rik	5.01325	0.679383	2.37399	1.4635	0.507004	0.630662	3.65742	0.347051
1500011B03Rik	9.58074	5.50194	4.9042	5.94272	4.76666	7.48616	12.7812	6.44828
1500011K16Rik	58.4464	30.8746	23.9024	16.5207	8.48434	8.65646	83.3419	5.84676
1500012F01Rik	94.4308	33.6901	58.3473	81.3088	60.1354	84.4631	233.068	67.2899
1500012K07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1500015A07Rik	2.25232	1.05606	2.23951	0.780552	0.613915	1.71892	1.09149	0.605799
1500015L24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1500015O10Rik	3.24476	0.0811456	1.12467	0.56353	2.52653	1.08263	39.5419	2.02744
1500016L03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1500017E21Rik	0.316078	0.0231059	0.0544563	0.0921607	0.365439	0.117684	0.160483	0.14489
1500032L24Rik	316.745	201.647	145.352	158.331	75.2467	110.83	366.122	76.2795
1600002D24Rik	0.166586	0.001	0.48273	0.102418	0.154388	0.129668	0.409448	0.121867
1600002H07Rik	1.85072	3.68177	2.40521	2.91216	2.90004	3.25709	2.65989	2.18962
1600002K03Rik	9.02254	10.2587	10.5722	7.24387	6.17871	10.1764	11.0852	5.94243
1600010M07Rik	0.001	0.001	0.299641	0.130347	0.289526	0.153685	9.15902	0.110019
1600012H06Rik	10.6744	8.5277	11.5325	6.25499	9.91875	15.228	7.95221	14.8429
1600014C10Rik	3.57644	6.8246	5.95081	9.59734	6.34037	7.31551	13.944	8.1537
1600014C23Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.142976	0.001
1600014K23Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600015I10Rik	0.0729087	0.124462	0.29315	1.04234	0.112429	0.001	0.0216023	0.0222717
1600016N20Rik	0.001	0.0307243	0.001	0.0612328	0.001	0.001	0.001	0.001
1600019K03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600020E01Rik	25.5421	2.1422	10.9854	5.77812	10.5729	9.10454	10.6829	11.3657
1600023N17Rik	0.265525	0.001	0.001	0.001	0.154749	0.001	0.11913	0.120451
1600025M17Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600029D21Rik	0.20085	0.0688701	0.161674	0.102909	0.001	0.0868485	0.626141	0.001
1600029I14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600029O15Rik	0.034224	0.001	0.001	0.0701611	0.0793082	0.0665731	0.0152443	0.0312892
1700001C02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001C19Rik	0.191099	0.0494766	0.231091	0.39379	0.332964	0.19982	0.46959	0.741443
1700001D01Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001F09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001G11Rik	0.001	0.001	0.224168	0.001	0.001	0.001	0.0832559	0.166355
1700001G17Rik	0.001	0.162062	0.001	0.0803912	0.180217	0.294873	0.0693973	0.139636
1700001J03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0820009
1700001J11Rik	0.001	0.001	0.001	0.001	0.001	0.0477958	0.001	0.0112124
1700001K19Rik	0.0708704	0.0742104	0.343666	0.147337	0.165352	0.001	0.001	0.0642301
1700001K23Rik	0.001	0.001	0.001	0.001	0.001	0.208873	0.001	0.001
1700001L05Rik	0.135485	0.157514	0.16317	0.176906	0.15627	0.152155	0.00857405	0.293695
1700001L19Rik	0.0342447	0.001	0.001	0.001	0.0793564	0.0444086	0.001	0.001
1700001O22Rik	0.141194	1.29238	0.520346	0.146756	0.540845	0.259273	0.264493	0.319968
1700001P01Rik	0.001	0.25916	0.294458	0.128017	0.001	0.302376	0.001	0.216387
1700003C15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003D09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003E16Rik	0.179222	0.0613499	0.216314	0.0305674	0.0691635	0.001	0.159505	0.001
1700003F12Rik	0.001	0.001	0.001	0.102936	0.001	0.001	1.06274	0.0882433
1700003F17Rik	5.94967	1.89914	6.603	2.59417	3.19315	2.01929	1.35578	3.25922
1700003G13Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003G18Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003H04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003L19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003M02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003M07Rik	0.001	0.001	0.001	0.001	0.0717468	0.001	0.055159	0.0283449
1700003P14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006A11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006E09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006F04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006H21Rik	0.001	0.001	0.001	0.001	0.001	0.151804	0.001	0.001
1700007B14Rik	0.0599574	0.0307854	0.28948	0.001	0.001	0.001	0.001	0.0274336
1700007F19Rik	0.001	0.001	0.001	0.001	0.088281	0.001	0.033943	0.001
1700007G11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700007J10Rik	0.001	0.555049	0.143418	0.245156	0.827298	0.836131	0.106116	0.753547
1700007K09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.394002	0.001
1700007K13Rik	0.785371	0.1842	0.42391	0.0912846	0.001	0.221432	0.157347	0.001
1700007L15Rik	1.0524	0.101388	0.930369	0.803268	0.897031	2.17747	3.28395	0.948219
1700007P06Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.229173	0.001
1700008A04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008F21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008I05Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008J07Rik	2.08807	1.73179	2.33894	2.15814	1.03508	1.22978	0.928135	0.797209
1700008K24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008O03Rik	0.001	0.392931	0.001	0.001	0.001	0.001	0.001	0.001
1700008P02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700009C05Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700009J07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700009N14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700009P17Rik	0.708582	0.001	0.001	0.935115	0.300227	0.164995	2.65771	0.292352
1700010B08Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700010D01Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700010I02Rik	2.30802	0.001	0.001	0.001	0.0301369	0.016302	0.001	0.001
1700010I14Rik	0.001	0.0337854	0.0793301	0.001	0.228336	0.255772	0.146291	0.150228
1700010J16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700010K23Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011A15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011B04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011E24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011H14Rik	0.001	0.001	0.13543	0.001	0.001	0.0719008	0.001	0.001
1700011I03Rik	0.488146	0.001	0.001	0.144913	0.001	0.001	0.001	0.001
1700011J10Rik	3.25327	1.12807	2.34904	2.30159	0.664117	1.17307	5.97951	1.7126
1700011L22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011M02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700012A03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700012B07Rik	0.001	0.001	0.001	0.001	0.001	0.0922044	0.236921	0.001
1700012B09Rik	0.001	0.001	0.001	0.563281	0.001	0.001	0.580713	0.001
1700012B15Rik	9.62182	3.21508	4.03373	4.0888	3.8788	3.24228	7.15957	3.75344
1700012D01Rik	3.14684	0.001	1.5316	0.110483	1.47779	1.32136	1.70907	0.377222
1700012D14Rik	0.478061	0.001	0.001	0.253204	0.5628	0.001	0.65127	0.214166
1700012I11Rik	0.001	0.001	0.155187	0.001	0.001	0.001	0.001	0.0581446
1700012L04Rik	0.001	0.001	0.001	0.001	0.001	0.0189232	0.001	0.001
1700012P22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700013D24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700013F07Rik	0.001	0.001	0.001	0.137877	0.30583	0.001	0.001	0.001
1700013G23Rik	2.27261	0.164998	0.741142	0.487547	0.358871	1.12397	0.415858	1.07794
1700013G24Rik	0.001	0.20126	0.001	0.001	0.001	0.001	0.001	0.001
1700013H16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700015E13Rik	0.001	0.001	0.001	0.106774	0.001	0.001	0.001	0.0913334
1700015F17Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700015G11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016C15Rik	0.001	0.001	0.2318	0.001	0.001	0.001	0.001	0.001
1700016D06Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016G22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016H13Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016K19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016L04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016L21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016P04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700017B05Rik	1.44478	6.4999	4.65061	5.99421	6.36776	3.14691	14.6646	2.87369
1700017D01Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700017G19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700017J07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700017N19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018A04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018B08Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018B24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018C11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018F24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018G05Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018L02Rik	0.62215	5.75643	0.250896	5.29661	0.120537	0.266976	0.37096	0.613613
1700019A02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019B03Rik	0.001	0.001	0.001	0.0398677	0.001	0.001	0.001	0.0354579
1700019B21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019D03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019E08Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019G17Rik	0.001	0.158516	0.0935055	0.0197638	0.134428	0.0759042	0.180786	0.270304
1700019G24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019L03Rik	0.0372422	0.153514	0.179942	0.19109	0.0863504	0.144706	0.531195	0.034024
1700019M22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019N19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019O17Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700020A23Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700020D05Rik	0.196607	0.001	0.317613	0.271934	0.611013	0.167784	0.293974	0.356822
1700020G17Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700020I14Rik	24.4004	13.9493	31.635	12.4396	25.6804	29.5307	17.7169	38.102
1700020L24Rik	4.81618	5.73664	5.66303	15.3348	5.45034	3.53883	6.29537	8.46108
1700020M21Rik	0.001	0.001	0.001	0.001	0.273717	0.001	0.001	0.001
1700020N01Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700020N15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700020N18Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700021F05Rik	34.9068	8.08128	8.5054	10.8762	9.43405	10.9765	30.5695	8.14048
1700021F07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700021K19Rik	4.62176	17.5399	12.0088	11.8599	12.8733	10.877	3.5011	16.2386
1700021N21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700022A21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700022A22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700022E09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700022H16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700022I11Rik	0.001	0.0161694	0.0382008	0.001	0.0366028	0.001	0.001	0.0291079
1700022P22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700023A16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700023C21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700023E05Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700023F02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700023F06Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.104338	0.001
1700023L04Rik	0.001	0.001	0.274292	0.707971	0.001	0.001	0.204097	0.201976
1700024B18Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700024F13Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.099877	0.001
1700024G13Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700024P03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700024P04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700024P16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.0505698	0.001
1700025B11Rik	0.001	0.15476	0.348748	0.001	0.337503	0.35416	0.130316	0.254373
1700025C18Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700025E21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.0507419	0.0515352
1700025F22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700025F24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700025G04Rik	7.27518	3.55024	4.7411	3.92214	5.32755	5.27653	2.81825	6.94089
1700025K24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700025M24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700025N23Rik	0.303229	0.159137	0.001	0.0789503	0.177034	0.193265	0.204504	0.205872
1700026D08Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.177737	0.001
1700026D11Rik	0.001	0.001	0.001	0.0427143	0.001	0.001	0.001	0.001
1700026F02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700026L06Rik	0.001	0.001	0.001	0.463387	0.001	0.001	1.79064	0.197166
1700027A15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700027F09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700027H10Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700027I24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700027J07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700028B04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700028D13Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700028E10Rik	0.001	0.001	0.001	0.0724563	0.001	0.001	0.187865	0.0270819
1700028I16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700028J19Rik	0.274308	0.342057	0.001	0.340071	0.25524	0.493768	0.294603	0.399286
1700028K03Rik	0.0192448	0.001	0.001	0.001	0.0444729	0.100454	0.001	0.0176577
1700028M03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700028P14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700028P15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700029B22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700029F12Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700029H14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.0434638	0.0443083
1700029I15Rik	3.25315	0.312584	0.001	0.001	0.001	0.320072	0.764856	0.001
1700029J03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700029J07Rik	0.328434	0.0448028	0.264045	0.134034	0.101247	0.371035	0.0778081	0.341313
1700029M20Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700029N11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700029P11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700030A11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700030C10Rik	2.27296	1.32534	1.33629	1.63451	0.355448	1.77654	2.21864	1.07336
1700030F04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700030F18Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700030J22Rik	0.120595	0.0821846	0.484668	0.184431	0.139364	0.183534	0.232036	0.147503
1700030K09Rik	2.06776	1.6846	1.86326	2.59552	1.72894	3.56763	1.10737	3.49257
1700030L20Rik	1.19388	0.285385	0.964623	0.283373	0.371219	0.334399	0.918629	0.711488
1700030M09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700030N03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700030O20Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700031A10Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700031F05Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700031M16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700031P21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700034E13Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700034F02Rik	0.001	0.001	0.001	0.001	0.001	0.0368242	0.0252006	0.001
1700034G24Rik	0.001	0.001	0.153222	0.001	0.001	0.001	0.001	0.001
1700034H15Rik	0.121075	0.109674	0.09725	0.0273632	0.0931648	0.0527943	0.0238578	0.0370817
1700034I23Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700034J05Rik	0.120596	0.001	0.145558	0.001	0.001	0.001	0.001	0.0275905
1700034K08Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700034O15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700034P13Rik	0.001	1.00446	0.817543	0.434693	1.17743	0.601079	0.113195	1.73603
