tracking_id	locus	Endothelium D0 NTX	Endothelium 1D NTX	Endothelium 2D NTX	Endothelium 3D NTX	Endtoehlium 5D NTX	Endothelium 6D NTX	Endothelium 7D NTX	Endothelium 10D NTX
1110034G24Rik	chr2:132690282-132751055	6.40962	4.35621	4.99142	2.56602	2.59605	3.44608	6.18206	3.72838
1110035M17Rik	chr11:95700105-95712754	1.03832	0.001	1.81339	2.54257	0.351139	0.918158	2.44105	0.660074
1110036E04Rik	chr9:64049828-64054100	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110037F02Rik	chr4:11485957-11551143	3.21182	7.37714	7.88186	6.39605	9.601	10.7565	2.47014	11.6548
1110038B12Rik	chr17:34950235-34952471	59.4852	31.9259	43.0514	53.7754	39.3783	55.3669	116.008	40.9666
1110038F14Rik	chr15:76948543-76950731	68.8394	44.4037	34.4285	33.7261	17.8897	23.5505	61.6345	25.6109
1110046J04Rik	chr13:33936031-33960181	4.27956	1.15533	3.09756	2.19398	1.91923	2.30696	5.8335	1.39621
1110051M20Rik	chr2:91277827-91444642	3.19644	4.46415	4.42037	7.08506	3.44985	4.95666	5.35952	4.28747
1110054M08Rik	chr16:24392555-24393655	11.0993	3.49524	3.34304	5.66456	3.03014	4.6374	10.7949	2.78348
1110057K04Rik	chr12:8208106-8285759	4.31858	11.9426	10.796	10.0575	8.72464	14.1475	4.1229	12.414
1110058L19Rik	chr1:23995938-24005640	31.5315	12.9911	26.6714	14.4822	11.1827	23.2206	37.604	14.0061
1110059E24Rik	chr19:21597312-21652791	25.7488	11.6342	27.4173	9.33547	23.2313	36.8671	21.1646	25.4706
1110059G10Rik	chr9:122945088-122951000	8.36789	1.78455	4.72403	1.76229	3.18118	4.38004	6.20482	4.08344
1110059M19Rik	chrX:45090903-45092790	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110065P20Rik	chr4:124849484-124850730	17.5416	17.1854	10.4319	15.9471	8.30734	7.676	25.1027	6.89756
1190002F15Rik	chr6:134929091-134951718	2.25563	0.429509	3.88643	1.83661	3.75813	14.2146	29.1298	4.0296
1190002N15Rik	chr9:94517863-94538081	23.444	7.34556	16.749	13.3544	13.1546	5.6346	3.63782	8.13653
1190003J15Rik	chr7:140835495-140837968	0.001	0.001	0.001	0.001	0.001	0.136999	0.394779	0.001
1190003K10Rik	chr13:64481245-64497792	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1190005I06Rik	chr8:120608601-120634382	0.0978228	0.207548	0.237875	0.308252	0.22939	0.001	3.97823	0.352377
1190007I07Rik	chr10:82619850-82623228	6.85504	5.11987	5.09484	3.6327	1.79876	2.08527	10.6062	1.94917
1200011I18Rik	chr14:76086231-76110815	4.07377	5.9199	7.05749	3.9215	8.46181	9.11613	4.54815	10.7057
1200014J11Rik	chr11:73047866-73083579	3.42572	4.05705	5.8714	3.55347	6.36839	7.93993	5.82833	7.2018
1300002E11Rik	chr16:21794346-21809039	28.8488	5.32548	14.6077	4.45409	8.12096	9.64754	6.70363	8.56437
1300002K09Rik	chr4:45848946-45887008	0.001	0.001	0.001	0.001	0.0378797	0.0214273	0.960439	0.105407
1300015D01Rik	chr2:173124748-173133204	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1300017J02Rik	chr9:103250529-103288297	0.001	0.0547554	0.001	0.001	0.001	0.001	0.0712354	0.001
1300018J18Rik	chr15:89089106-89100340	3.33709	6.26163	4.14978	4.93071	3.08835	3.10696	0.981446	4.30357
1500002O10Rik	chr2:70489939-70563357	0.001	0.001	0.001	0.001	0.001	0.0982912	0.0693973	0.001
1500004A13Rik	chr3:88822009-88832487	0.314429	0.444424	0.877018	0.734783	1.08118	1.13208	0.3079	1.53677
1500009C09Rik	chr15:82252396-82260753	0.001	0.001	0.001	0.001	0.001	0.001	0.0364933	0.001
1500009L16Rik	chr10:83722864-83762762	5.01325	0.679383	2.37399	1.4635	0.507004	0.630662	3.65742	0.347051
1500011B03Rik	chr5:114808195-114813976	9.58074	5.50194	4.9042	5.94272	4.76666	7.48616	12.7812	6.44828
1500011K16Rik	chr2:127791376-127792488	58.4464	30.8746	23.9024	16.5207	8.48434	8.65646	83.3419	5.84676
1500012F01Rik	chr2:167062933-167065862	94.4308	33.6901	58.3473	81.3088	60.1354	84.4631	233.068	67.2899
1500012K07Rik	chr7:75308695-75331419	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1500015A07Rik	chr18:61726389-61728253	2.25232	1.05606	2.23951	0.780552	0.613915	1.71892	1.09149	0.605799
1500015L24Rik	chr19:20405287-20422785	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1500015O10Rik	chr1:43730601-43742564	3.24476	0.0811456	1.12467	0.56353	2.52653	1.08263	39.5419	2.02744
1500016L03Rik	chr11:84525659-84535831	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1500017E21Rik	chr19:36619417-36689479	0.316078	0.0231059	0.0544563	0.0921607	0.365439	0.117684	0.160483	0.14489
1500032L24Rik	chr15:82346045-82349062	316.745	201.647	145.352	158.331	75.2467	110.83	366.122	76.2795
1600002D24Rik	chr16:95831122-95929077	0.166586	0.001	0.48273	0.102418	0.154388	0.129668	0.409448	0.121867
1600002H07Rik	chr17:24215055-24220769	1.85072	3.68177	2.40521	2.91216	2.90004	3.25709	2.65989	2.18962
1600002K03Rik	chr10:80172943-80175119	9.02254	10.2587	10.5722	7.24387	6.17871	10.1764	11.0852	5.94243
1600010M07Rik	chr7:109998376-110006646	0.001	0.001	0.299641	0.130347	0.289526	0.153685	9.15902	0.110019
1600012H06Rik	chr17:14943183-14945939	10.6744	8.5277	11.5325	6.25499	9.91875	15.228	7.95221	14.8429
1600014C10Rik	chr7:38183216-38197565	3.57644	6.8246	5.95081	9.59734	6.34037	7.31551	13.944	8.1537
1600014C23Rik	chr17:45732863-45733844	0.001	0.001	0.001	0.001	0.001	0.001	0.142976	0.001
1600014K23Rik	chrX:85249676-85270291	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600015I10Rik	chr6:48929895-48933687	0.0729087	0.124462	0.29315	1.04234	0.112429	0.001	0.0216023	0.0222717
1600016N20Rik	chr7:141210042-141214080	0.001	0.0307243	0.001	0.0612328	0.001	0.001	0.001	0.001
1600019K03Rik	chr16:35503169-35509419	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600020E01Rik	chr6:86527329-86564449	25.5421	2.1422	10.9854	5.77812	10.5729	9.10454	10.6829	11.3657
1600023N17Rik	chr5:45668700-45669708	0.265525	0.001	0.001	0.001	0.154749	0.001	0.11913	0.120451
1600025M17Rik	chrX:56317607-56320664	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600029D21Rik	chr9:50494524-50505639	0.20085	0.0688701	0.161674	0.102909	0.001	0.0868485	0.626141	0.001
1600029I14Rik	chr9:99470420-99474751	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600029O15Rik	chr9:58202896-58208808	0.034224	0.001	0.001	0.0701611	0.0793082	0.0665731	0.0152443	0.0312892
1700001C02Rik	chr5:30466076-30484087	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001C19Rik	chr17:47412733-47437375	0.191099	0.0494766	0.231091	0.39379	0.332964	0.19982	0.46959	0.741443
1700001D01Rik	chr8:61281521-61288872	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001F09Rik	chr14:43342383-43347811	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001G11Rik	chr14:66295328-66297129	0.001	0.001	0.224168	0.001	0.001	0.001	0.0832559	0.166355
1700001G17Rik	chr1:33669823-33670712	0.001	0.162062	0.001	0.0803912	0.180217	0.294873	0.0693973	0.139636
1700001J03Rik	chr5:146182449-146185304	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0820009
1700001J11Rik	chr9:40050557-40053025	0.001	0.001	0.001	0.001	0.001	0.0477958	0.001	0.0112124
1700001K19Rik	chr12:110667688-110682619	0.0708704	0.0742104	0.343666	0.147337	0.165352	0.001	0.001	0.0642301
1700001K23Rik	chr19:53248735-53255205	0.001	0.001	0.001	0.001	0.001	0.208873	0.001	0.001
1700001L05Rik	chr15:83353846-83367297	0.135485	0.157514	0.16317	0.176906	0.15627	0.152155	0.00857405	0.293695
1700001L19Rik	chr13:68597438-68614231	0.0342447	0.001	0.001	0.001	0.0793564	0.0444086	0.001	0.001
1700001O22Rik	chr2:30795562-30803664	0.141194	1.29238	0.520346	0.146756	0.540845	0.259273	0.264493	0.319968
1700001P01Rik	chr11:97771480-97775918	0.001	0.25916	0.294458	0.128017	0.001	0.302376	0.001	0.216387
1700003C15Rik	chr5:11749832-11769308	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003D09Rik	chr11:98350717-98358283	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003E16Rik	chr6:83156403-83162975	0.179222	0.0613499	0.216314	0.0305674	0.0691635	0.001	0.159505	0.001
1700003F12Rik	chr2:154548903-154550048	0.001	0.001	0.001	0.102936	0.001	0.001	1.06274	0.0882433
1700003F17Rik	chr11:82942340-82960681	5.94967	1.89914	6.603	2.59417	3.19315	2.01929	1.35578	3.25922
1700003G13Rik	chr9:45318265-45322079	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003G18Rik	chr7:116081761-116093149	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003H04Rik	chr3:124565890-124581091	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003L19Rik	chr16:12811389-12848653	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003M02Rik	chr4:34711331-34730206	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003M07Rik	chr4:129960373-129965138	0.001	0.001	0.001	0.001	0.0717468	0.001	0.055159	0.0283449
1700003P14Rik	chr13:118556167-118588629	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006A11Rik	chr3:124401154-124426028	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006E09Rik	chr11:101987055-101992264	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006F04Rik	chr14:119749226-119751564	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006H21Rik	chr13:107687396-107692168	0.001	0.001	0.001	0.001	0.001	0.151804	0.001	0.001
1700007B14Rik	chr8:75448693-75984507	0.0599574	0.0307854	0.28948	0.001	0.001	0.001	0.001	0.0274336
1700007F19Rik	chr3:58141706-58163807	0.001	0.001	0.001	0.001	0.088281	0.001	0.033943	0.001
1700007G11Rik	chr5:98329303-98802019	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700007J10Rik	chr11:59725916-59740154	0.001	0.555049	0.143418	0.245156	0.827298	0.836131	0.106116	0.753547
1700007K09Rik	chr7:131325930-131329499	0.001	0.001	0.001	0.001	0.001	0.001	0.394002	0.001
1700007K13Rik	chr2:28462000-28466324	0.785371	0.1842	0.42391	0.0912846	0.001	0.221432	0.157347	0.001
1700007L15Rik	chr16:33379853-33380736	1.0524	0.101388	0.930369	0.803268	0.897031	2.17747	3.28395	0.948219
1700007P06Rik	chr1:187125137-187127852	0.001	0.001	0.001	0.001	0.001	0.001	0.229173	0.001
1700008A04Rik	chr11:32820375-32824594	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008F21Rik	chr8:129067133-129183732	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008I05Rik	chrX:135654697-135693790	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008J07Rik	chr7:127510437-127512869	2.08807	1.73179	2.33894	2.15814	1.03508	1.22978	0.928135	0.797209
1700008K24Rik	chr17:49112263-49113533	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008O03Rik	chr7:44360044-44375030	0.001	0.392931	0.001	0.001	0.001	0.001	0.001	0.001
1700008P02Rik	chr3:6615412-6620443	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700009C05Rik	chr6:81900464-81910800	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700009J07Rik	chr10:77893419-77896111	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700009N14Rik	chr4:39450292-39451778	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700009P17Rik	chr1:171121660-171126967	0.708582	0.001	0.001	0.935115	0.300227	0.164995	2.65771	0.292352
1700010B08Rik	chr2:173719414-173722086	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700010D01Rik	chrX:95732589-95733261	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700010I02Rik	chr3:7925302-7954887	2.30802	0.001	0.001	0.001	0.0301369	0.016302	0.001	0.001
1700010I14Rik	chr17:8988332-9008319	0.001	0.0337854	0.0793301	0.001	0.228336	0.255772	0.146291	0.150228
1700010J16Rik	chr10:112726925-112785599	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700010K23Rik	chr16:66657117-66664626	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011A15Rik	chr15:101447744-101453909	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011B04Rik	chr13:35181622-35188014	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011E24Rik	chr17:87389570-87427741	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011H14Rik	chr14:49226358-49245428	0.001	0.001	0.13543	0.001	0.001	0.0719008	0.001	0.001
1700011I03Rik	chr18:57533825-57731065	0.488146	0.001	0.001	0.144913	0.001	0.001	0.001	0.001
1700011J10Rik	chr2:72979431-72989249	3.25327	1.12807	2.34904	2.30159	0.664117	1.17307	5.97951	1.7126
1700011L22Rik	chr8:79210429-79248583	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011M02Rik	chrX:102908904-102909651	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700012A03Rik	chr6:32050287-32058915	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700012B07Rik	chr11:109788290-109828046	0.001	0.001	0.001	0.001	0.001	0.0922044	0.236921	0.001
1700012B09Rik	chr9:14758193-14771030	0.001	0.001	0.001	0.563281	0.001	0.001	0.580713	0.001
1700012B15Rik	chr12:3235790-3250374	9.62182	3.21508	4.03373	4.0888	3.8788	3.24228	7.15957	3.75344
1700012D01Rik	chr10:127667122-127668851	3.14684	0.001	1.5316	0.110483	1.47779	1.32136	1.70907	0.377222
1700012D14Rik	chr7:111117672-111122675	0.478061	0.001	0.001	0.253204	0.5628	0.001	0.65127	0.214166
1700012I11Rik	chr15:67226768-67377094	0.001	0.001	0.155187	0.001	0.001	0.001	0.001	0.0581446
1700012L04Rik	chrX:9283763-9284288	0.001	0.001	0.001	0.001	0.001	0.0189232	0.001	0.001
1700012P22Rik	chr4:144418190-144438772	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700013D24Rik	chr6:124347593-124357086	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700013F07Rik	chr3:108537583-108544697	0.001	0.001	0.001	0.137877	0.30583	0.001	0.001	0.001
1700013G23Rik	chr11:59946891-59948147	2.27261	0.164998	0.741142	0.487547	0.358871	1.12397	0.415858	1.07794
1700013G24Rik	chr4:137453295-137455461	0.001	0.20126	0.001	0.001	0.001	0.001	0.001	0.001
1700013H16Rik	chrX:53742900-53757831	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700015E13Rik	chr1:170308860-170312125	0.001	0.001	0.001	0.106774	0.001	0.001	0.001	0.0913334
1700015F17Rik	chr5:5437826-5479143	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700015G11Rik	chr7:52011679-52015716	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016C15Rik	chr1:177729813-177753305	0.001	0.001	0.2318	0.001	0.001	0.001	0.001	0.001
1700016D06Rik	chr8:11654923-11678750	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016G22Rik	chr13:5855508-5858092	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016H13Rik	chr5:103648586-103655732	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016K19Rik	chr11:75999911-76003569	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016L04Rik	chr10:14705608-14759019	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016L21Rik	chr1:80445931-80475660	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016P04Rik	chr6:13413336-13415996	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700017B05Rik	chr9:57252321-57262599	1.44478	6.4999	4.65061	5.99421	6.36776	3.14691	14.6646	2.87369
1700017D01Rik	chr19:11096815-11130878	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700017G19Rik	chr3:40504864-40522912	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700017J07Rik	chr2:168978268-168978906	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700017N19Rik	chr10:100592385-100618391	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018A04Rik	chr13:31565491-31582513	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018B08Rik	chr8:121530783-121541954	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018B24Rik	chr3:48605730-48609100	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018C11Rik	chr4:63607090-63622429	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018F24Rik	chr5:145042989-145045678	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018G05Rik	chrX:102928371-102929107	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018L02Rik	chr19:29047482-29048729	0.62215	5.75643	0.250896	5.29661	0.120537	0.266976	0.37096	0.613613
1700019A02Rik	chr1:53158576-53187617	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019B03Rik	chr8:3470861-3487178	0.001	0.001	0.001	0.0398677	0.001	0.001	0.001	0.0354579
1700019B21Rik	chrX:62510538-62527011	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019D03Rik	chr1:52925126-52952840	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019E08Rik	chr2:45696604-45698447	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019G17Rik	chr6:85899049-85904938	0.001	0.158516	0.0935055	0.0197638	0.134428	0.0759042	0.180786	0.270304
1700019G24Rik	chr6:5963896-5977393	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019L03Rik	chr2:32777412-32784405	0.0372422	0.153514	0.179942	0.19109	0.0863504	0.144706	0.531195	0.034024
1700019M22Rik	chr12:96046614-96047222	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019N19Rik	chr19:58785802-58794414	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019O17Rik	chr1:86426328-86428049	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700020A23Rik	chr2:130405258-130406074	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700020D05Rik	chr19:5502768-5503787	0.196607	0.001	0.317613	0.271934	0.611013	0.167784	0.293974	0.356822
1700020G17Rik	chr10:110801173-110896507	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700020I14Rik	chr2:119594295-119600744	24.4004	13.9493	31.635	12.4396	25.6804	29.5307	17.7169	38.102
1700020L24Rik	chr11:83437693-83441232	4.81618	5.73664	5.66303	15.3348	5.45034	3.53883	6.29537	8.46108
1700020M21Rik	chr9:120913773-120915250	0.001	0.001	0.001	0.001	0.273717	0.001	0.001	0.001
1700020N01Rik	chr10:21593144-21622375	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700020N15Rik	chrX:69945280-69945980	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700020N18Rik	chr1:91404878-91406029	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700021F05Rik	chr10:43525120-43540994	34.9068	8.08128	8.5054	10.8762	9.43405	10.9765	30.5695	8.14048
1700021F07Rik	chr2:173522591-173528502	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700021K19Rik	chr16:32821701-32868366	4.62176	17.5399	12.0088	11.8599	12.8733	10.877	3.5011	16.2386
1700021N21Rik	chr4:134448764-134450171	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700022A21Rik	chr5:24645452-24648860	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700022A22Rik	chr15:46324584-46373899	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700022E09Rik	chr16:59466871-59469238	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700022H16Rik	chr12:9565235-9570585	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700022I11Rik	chr4:42969945-42974325	0.001	0.0161694	0.0382008	0.001	0.0366028	0.001	0.001	0.0291079
1700022P22Rik	chr1:191036821-191042941	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700023A16Rik	chr6:146850109-146871404	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700023C21Rik	chr11:109845877-109848476	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700023E05Rik	chr5:77016022-77061522	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700023F02Rik	chr10:66120608-66124064	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
