tracking_id	locus	FAP 0D NTX	FAP 1D NTX	FAP 2D NTX (a)	FAP 2D NTX (b)	FAP 2D NTX ©	FAP 3D NTX (a)	FAP 3D NTX (b)	FAP 3D NTX ©	FAP 4D NTX (a)	FAP 4D NTX (b)	FAP 5D NTX	FAP 6D NTX	FAP 7D NTX	FAP 10D NTX	FAP 14D NTX
1110051M20Rik	chr2:91277827-91444642	9.22749	11.2331	11.6372	18.423	12.1011	18.004	10.6412	15.3624	7.92639	10.7426	8.36718	8.46523	13.3732	6.89864	8.33265
1110054M08Rik	chr16:24392555-24393655	2.44264	5.42123	2.18621	10.7594	3.37613	7.19548	7.65919	9.13127	5.09472	6.61948	6.66713	8.76572	8.47739	4.22348	4.56217
1110057K04Rik	chr12:8208106-8285759	7.23723	13.3804	14.1788	20.4089	11.6719	13.7444	9.53125	10.294	10.5633	10.8525	14.1416	13.1013	19.5779	12.5128	12.4188
1110058L19Rik	chr1:23995938-24005640	40.8365	27.639	18.9151	27.0443	11.889	19.5455	29.0067	14.0575	17.5292	16.8825	26.5042	20.2249	25.428	18.9388	26.9759
1110059E24Rik	chr19:21597312-21652791	22.341	22.3186	19.1884	15.1829	17.391	10.886	18.5067	6.93769	13.1158	6.5953	20.3663	13.8356	20.0503	14.4416	18.8995
1110059G10Rik	chr9:122945088-122951000	4.5022	3.60293	2.75893	1.35613	2.68088	1.91602	4.37488	1.24099	1.81492	1.60145	2.88729	3.65514	2.1187	3.50605	4.48893
1110059M19Rik	chrX:45090903-45092790	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110065P20Rik	chr4:124849484-124850730	43.5211	26.1273	26.971	29.9954	9.67648	41.1256	24.0493	44.4755	16.8034	21.3162	25.689	22.9807	10.7496	20.7966	16.3411
1190002F15Rik	chr6:134929091-134951718	4.61524	6.74552	11.3417	7.39334	17.7504	9.36923	6.57713	5.87118	5.15709	0.001	1.60622	1.69472	8.16162	2.23284	1.06593
1190002N15Rik	chr9:94517863-94538081	6.35544	8.49687	10.0546	6.70767	13.8619	2.91837	10.133	3.4091	10.0403	6.664	9.75378	15.0265	6.30232	13.3754	15.2364
1190003J15Rik	chr7:140835495-140837968	0.001	0.221226	0.001	0.001	0.001	0.001	0.109366	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0972956
1190003K10Rik	chr13:64481245-64497792	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1190005I06Rik	chr8:120608601-120634382	0.786901	0.397083	0.814261	0.001	0.293181	0.707702	0.685061	0.952767	0.115838	0.125797	0.590027	0.20776	0.001	0.488318	0.262194
1190007I07Rik	chr10:82619850-82623228	5.70977	3.16149	1.44583	4.68181	4.48863	4.76889	6.71018	4.84469	2.30107	2.55817	2.25971	1.21723	9.49111	3.31252	3.12136
1200011I18Rik	chr14:76086231-76110815	3.78749	6.13367	6.41355	6.74071	6.26042	2.51804	4.14301	2.02181	4.97623	3.27231	4.43275	5.1707	3.44156	5.06169	6.15673
1200014J11Rik	chr11:73047866-73083579	3.3433	6.23836	4.74098	3.74509	5.86619	3.4127	4.18726	2.41493	4.60201	3.03001	4.48997	3.5388	6.95549	4.14192	5.43974
1300002E11Rik	chr16:21794346-21809039	14.9647	7.91945	3.64244	4.43583	5.66932	2.18959	7.25843	5.08906	7.2524	5.81536	5.33898	6.60068	39.1611	11.0353	10.315
1300002K09Rik	chr4:45848946-45887008	0.001	0.0331373	0.0674359	0.001	0.158554	0.657594	0.399869	0.410207	0.411771	0.30554	0.19624	0.138585	0.0322524	0.10025	0.0734214
1300015D01Rik	chr2:173124748-173133204	0.0771163	0.001	0.001	0.001	0.001	0.001	0.132994	0.0203019	0.001	0.08469	0.001	0.001	0.001	0.0173597	0.0457768
1300017J02Rik	chr9:103250529-103288297	0.121723	0.001	0.001	0.001	0.0259181	0.001	0.001	0.001	0.0637656	0.001	0.001	0.001	0.001	0.001	0.001
1300018J18Rik	chr15:89089106-89100340	4.59948	5.24123	4.0693	9.02408	5.33043	7.46574	4.16778	7.4786	2.66718	6.01728	4.04796	4.2324	4.71015	4.04417	5.1931
1500002O10Rik	chr2:70489939-70563357	0.001	0.156407	0.001	0.001	0.001	0.001	0.001	0.186805	0.183163	0.001	0.001	0.001	0.001	0.001	0.001
1500004A13Rik	chr3:88822009-88832487	0.350374	0.886584	0.923322	0.625637	0.653087	0.258727	1.44001	0.128065	1.53101	0.853179	0.581566	0.283363	0.240282	1.34722	0.295145
1500009C09Rik	chr15:82252396-82260753	0.0627749	0.001	0.001	0.001	0.0395543	0.001	0.001	0.001	0.001	0.102603	0.001	0.001	0.001	0.001	0.001
1500009L16Rik	chr10:83722864-83762762	16.6746	6.50967	9.35124	10.2158	7.8094	12.8559	10.4328	5.77001	3.43744	3.71408	5.12696	4.03912	3.14986	5.27899	7.94476
1500011B03Rik	chr5:114808195-114813976	5.22827	4.01275	3.43836	5.8129	1.65145	5.85332	7.25233	2.97689	2.80704	3.65309	5.81877	3.99061	3.57075	5.48218	4.93413
1500011K16Rik	chr2:127791376-127792488	40.0382	19.6121	7.53246	7.6489	7.12496	8.92389	15.4901	11.9447	1.84264	7.18041	4.16094	3.84753	2.08865	5.70474	7.79265
1500012F01Rik	chr2:167062933-167065862	64.6721	24.252	38.6101	38.7899	26.2949	49.4241	106.988	28.3815	80.1911	30.7246	34.3749	75.3083	35.984	54.325	41.3166
1500012K07Rik	chr7:75308695-75331419	0.001	0.001	0.001	0.001	0.001	0.001	0.0759814	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1500015A07Rik	chr18:61726389-61728253	0.151765	0.200959	0.136532	0.001	0.386826	0.392382	0.746834	0.39627	0.316181	0.001	0.198494	0.0700486	0.524179	0.571258	0.592869
1500015L24Rik	chr19:20405287-20422785	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0812353
1500015O10Rik	chr1:43730601-43742564	79.0754	16.2887	27.7275	18.8005	11.863	27.2324	70.7233	39.2838	110.964	65.974	71.4581	68.0012	14.5935	74.5769	29.489
1500016L03Rik	chr11:84525659-84535831	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1500017E21Rik	chr19:36619417-36689479	0.957596	0.775763	1.0221	0.001	1.2253	0.160018	1.54426	0.134674	0.971037	0.281138	0.855995	1.52685	0.001	1.74538	2.91044
1500032L24Rik	chr15:82346045-82349062	194.953	103.15	97.5574	86.6212	85.5624	124.767	117.127	139.889	53.7705	87.191	62.9969	63.6651	149.885	64.5755	68.0978
1600002D24Rik	chr16:95831122-95929077	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.101399	0.0298178
1600002H07Rik	chr17:24215055-24220769	1.55984	8.57765	3.63583	7.19691	2.59994	2.22338	2.22981	1.87121	2.03959	2.02598	1.53496	1.86611	0.001	2.28467	1.86043
1600002K03Rik	chr10:80172943-80175119	23.655	25.985	19.2982	17.7743	3.56093	7.74663	11.0262	7.12313	6.07422	6.9524	7.58996	7.52754	4.4193	9.88021	6.62962
1600010M07Rik	chr7:109998376-110006646	0.001	0.001	0.001	0.001	0.001	0.596821	0.371785	0.001	0.580379	1.59773	0.001	0.26143	0.001	0.121938	0.001
1600012H06Rik	chr17:14943183-14945939	11.9822	9.81764	12.5138	11.9082	11.6175	7.58051	15.6483	7.12618	12.866	10.027	17.4321	21.7042	14.7294	14.9786	17.5365
1600014C10Rik	chr7:38183216-38197565	5.4025	5.42303	9.55554	11.8436	3.75927	10.1852	9.85126	10.2128	6.07514	8.52078	8.43328	7.23023	5.54972	5.05658	6.15416
1600014C23Rik	chr17:45732863-45733844	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.183607	0.001	0.001	0.001	0.001	0.001	0.001
1600014K23Rik	chrX:85249676-85270291	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600015I10Rik	chr6:48929895-48933687	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600016N20Rik	chr7:141210042-141214080	0.001	0.001	0.001	0.001	0.001	0.001	0.0586007	0.001	0.0357123	0.001	0.001	0.001	0.001	0.0303766	0.001
1600019K03Rik	chr16:35503169-35509419	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600020E01Rik	chr6:86527329-86564449	11.1409	2.42266	1.38446	13.2761	2.83629	4.83435	11.6886	5.53154	13.2933	5.87607	6.31161	17.0306	17.6401	13.3209	10.7956
1600023N17Rik	chr5:45668700-45669708	0.001	0.134494	0.001	0.001	0.261892	0.001	0.001	0.001	0.001	0.001	0.133043	0.001	0.001	0.26716	0.118713
1600025M17Rik	chrX:56317607-56320664	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600029D21Rik	chr9:50494524-50505639	1.63651	0.001	0.137993	0.001	0.162916	0.0793195	0.196922	0.160211	0.001	0.001	0.001	0.001	0.001	0.611248	0.778929
1600029I14Rik	chr9:99470420-99474751	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600029O15Rik	chr9:58202896-58208808	0.523161	0.0692186	0.001	0.376403	0.001	0.0811109	0.469877	0.001	0.0816638	0.128481	0.0683731	0.0723839	0.001	0.624809	1.13326
1700001C02Rik	chr5:30466076-30484087	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001C19Rik	chr17:47412733-47437375	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001D01Rik	chr8:61281521-61288872	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.361771	0.001	0.001	0.001	0.001	0.001
1700001F09Rik	chr14:43342383-43347811	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001G11Rik	chr14:66295328-66297129	0.443164	0.935784	0.001	0.001	0.001	0.666302	0.276359	0.001	0.437204	1.065	0.001	0.587505	1.1182	0.184437	0.164848
1700001G17Rik	chr1:33669823-33670712	0.610208	0.312815	0.160053	0.001	0.001	0.001	0.153365	0.001	0.0915816	0.001	0.464381	0.001	0.001	0.464515	0.344835
1700001J03Rik	chr5:146182449-146185304	0.001	0.001	0.001	0.001	0.001	0.001	0.0907494	0.001	0.001	0.001	0.001	0.001	0.001	0.090915	0.001
1700001J11Rik	chr9:40050557-40053025	0.0742472	0.001	0.001	0.001	0.001	0.0289218	0.0239256	0.001	0.0292296	0.001	0.001	0.001	0.001	0.0414672	0.001
1700001K19Rik	chr12:110667688-110682619	0.780771	0.143626	0.001	0.001	0.001	0.169645	0.001	0.001	0.168377	0.0900818	0.568415	0.300503	0.001	0.213683	0.253453
1700001K23Rik	chr19:53248735-53255205	0.290921	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.903759	0.001	0.001	0.001	0.001	0.151765
1700001L05Rik	chr15:83353846-83367297	0.130627	0.488662	0.337901	0.212178	0.102642	0.0227842	0.310815	0.345174	0.266331	0.323614	0.0771466	0.224785	0.303786	0.167891	0.190662
1700001L19Rik	chr13:68597438-68614231	0.104697	0.138521	0.0705911	0.001	0.001	0.001	0.0671663	0.0819645	0.0408565	0.001	0.001	0.001	0.001	0.0694648	0.001
1700001O22Rik	chr2:30795562-30803664	0.111071	0.001	0.001	0.78013	0.207047	0.168958	0.133916	0.34129	0.001	0.001	0.001	0.149651	0.001	0.0709529	0.241672
1700001P01Rik	chr11:97771480-97775918	0.001	0.001	0.001	0.001	0.001	0.001	0.486922	0.001	0.570608	0.470701	0.001	0.770789	0.001	0.239834	0.215707
1700003C15Rik	chr5:11749832-11769308	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003D09Rik	chr11:98350717-98358283	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003E16Rik	chr6:83156403-83162975	0.546068	0.785184	0.30767	1.64165	0.290329	1.06064	0.0877605	0.785519	0.035656	0.149241	0.001	0.252631	0.001	0.212302	0.320824
1700003F12Rik	chr2:154548903-154550048	2.04977	0.001	0.203923	0.001	0.195806	0.70896	0.882365	1.551	0.232073	0.504097	0.001	0.208122	0.001	0.195657	0.96304
1700003F17Rik	chr11:82942340-82960681	0.001	0.275017	0.001	0.001	0.001	0.001	0.821423	0.001	0.478279	0.001	0.001	0.001	0.001	0.001	0.120693
1700003G13Rik	chr9:45318265-45322079	0.001	0.001	0.214474	0.001	0.001	0.001	0.1032	0.001	0.365633	0.001	0.001	0.001	0.001	0.001	0.001
1700003G18Rik	chr7:116081761-116093149	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003H04Rik	chr3:124565890-124581091	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003L19Rik	chr16:12811389-12848653	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003M02Rik	chr4:34711331-34730206	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003M07Rik	chr4:129960373-129965138	0.0944779	0.001	0.255336	0.001	0.150633	0.146721	0.242825	0.111137	0.147911	0.0387145	0.371257	0.327564	0.001	0.31449	0.0277277
1700003P14Rik	chr13:118556167-118588629	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006A11Rik	chr3:124401154-124426028	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006E09Rik	chr11:101987055-101992264	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006F04Rik	chr14:119749226-119751564	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006H21Rik	chr13:107687396-107692168	0.001	0.001	0.001	0.001	0.001	0.001	0.366818	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700007B14Rik	chr8:75448693-75984507	0.0456709	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0633823	0.001	0.001	0.187837
1700007F19Rik	chr3:58141706-58163807	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0385742	0.001
1700007G11Rik	chr5:98329303-98802019	0.001	0.001	0.166482	0.001	0.0795604	0.001	0.0798028	0.001	0.0951821	0.307103	0.001	0.001	0.001	0.001	0.0716984
1700007J10Rik	chr11:59725916-59740154	0.369374	0.479796	0.612693	0.001	0.291232	1.27188	0.0585354	0.14271	0.493164	0.0749052	0.59308	0.376401	1.1825	0.268632	0.211873
1700007K09Rik	chr7:131325930-131329499	0.001	0.001	0.001	0.001	0.545522	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.108256	0.001
1700007K13Rik	chr2:28462000-28466324	0.001	0.177007	0.181305	0.001	0.260408	0.209826	0.001	0.001	0.001	0.223411	0.001	0.001	0.001	0.174697	0.001
1700007L15Rik	chr16:33379853-33380736	0.768243	1.55324	0.995136	0.001	0.859455	0.922317	0.191299	0.34923	0.906567	0.614587	0.192312	0.40633	0.001	0.0955677	0.256446
1700007P06Rik	chr1:187125137-187127852	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008A04Rik	chr11:32820375-32824594	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008F21Rik	chr8:129067133-129183732	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008I05Rik	chrX:135654697-135693790	0.0534107	0.001	0.0719923	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008J07Rik	chr7:127510437-127512869	1.05622	1.25625	0.562875	0.546108	0.964518	1.23405	0.923662	1.24632	0.475047	1.45624	0.645	0.683053	0.001	0.75814	0.445041
1700008K24Rik	chr17:49112263-49113533	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
