tracking_id	Muscle 1D NTX	Muscle 2D NTX	Muscle 3D NTX	Muscle 3D NTX	Muscle 5D NTX	Muscle 7D NTX	Muscle 10D NTX
1500015O10Rik	0.955542	10.2252	0.001	1.14233	6.5011	3.137	61.8448
1500016L03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1500017E21Rik	0.975337	0.137452	0.001	0.001	1.35852	1.12872	0.612534
1500032L24Rik	179.644	195.701	200.126	334.59	97.7549	141.97	203.218
1600002D24Rik	0.001	0.0509354	0.001	0.001	0.001	0.001	0.100701
1600002H07Rik	8.72943	4.7786	3.93715	6.22949	4.36246	5.41795	3.83936
1600002K03Rik	41.563	9.3938	12.4631	23.4283	5.00877	9.82194	7.39578
1600010M07Rik	0.001	4.48735	6.19004	2.56064	0.001	0.194386	0.001
1600012H06Rik	4.45674	4.89039	6.60792	2.58111	10.2945	9.27201	3.22637
1600014C10Rik	2.14435	10.4831	16.9952	6.9191	4.17035	3.34177	7.54288
1600014C23Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.324251
1600014K23Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600015I10Rik	0.001	0.0370161	0.001	0.001	0.001	0.0561038	0.001
1600016N20Rik	0.001	0.001	0.001	0.001	0.0751788	0.0922299	0.001
1600019K03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600020E01Rik	5.10607	2.96723	7.09336	7.69434	7.89971	20.972	13.8046
1600023N17Rik	0.36828	0.001	0.001	0.001	0.001	0.001	0.0674254
1600025M17Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600029D21Rik	0.464353	1.48421	0.226147	0.590267	0.0842098	0.103297	0.47218
1600029I14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600029O15Rik	0.00731013	0.001	0.346892	0.001	0.516684	0.184853	0.001
1700001C02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001C19Rik	0.103682	0.001	0.001	0.001	0.001	0.001	0.001
1700001D01Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001F09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001G11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.0942958
1700001G17Rik	0.607165	0.001	0.001	0.001	0.196728	0.120486	0.001
1700001J03Rik	0.207921	0.001	0.001	0.001	0.001	0.427551	0.001
1700001J11Rik	0.001	0.001	0.001	0.001	0.001	0.0188315	0.001
1700001K19Rik	0.001	0.001	0.001	0.001	0.541079	0.165726	0.360326
1700001K23Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001L05Rik	0.683246	0.307683	0.064901	0.439343	0.459183	0.979055	0.48469
1700001L19Rik	0.001	0.001	0.001	0.001	0.172333	0.184966	0.001
1700001O22Rik	0.809149	0.767407	0.001	0.324171	0.388836	0.210485	0.001
1700001P01Rik	0.573839	0.001	0.001	0.001	0.624525	0.286433	0.001
1700003C15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003D09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.0463639
1700003E16Rik	0.634796	0.136802	0.251964	0.263218	0.001	0.230207	0.210481
1700003F12Rik	0.339184	0.001	0.001	0.001	0.754525	0.538747	0.200635
1700003F17Rik	0.001	0.001	0.001	1.2097	0.001	0.001	0.001
1700003G13Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003G18Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.125465
1700003H04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003L19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003M02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.0731237
1700003M07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.124784
1700003P14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006A11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006E09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006F04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006H21Rik	0.001	0.001	1.68479	2.16611	0.001	0.767207	0.001
1700007B14Rik	0.001	0.001	0.001	0.001	0.001	0.023103	0.001
1700007F19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700007G11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.163508
1700007J10Rik	1.45504	0.001	1.13938	0.001	1.05125	0.552191	0.180152
1700007K09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.111602
1700007K13Rik	0.001	0.001	2.24809	0.001	0.001	0.0683318	0.178192
1700007L15Rik	3.85224	1.05097	2.96552	3.40411	1.71763	1.05131	1.27253
1700007P06Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008A04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008F21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008I05Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008J07Rik	1.5494	1.24972	1.00493	0.510752	1.49682	1.62616	3.04908
1700008K24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008O03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008P02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700009C05Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700009J07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700009N14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700009P17Rik	0.499145	1.3967	7.03009	2.94728	2.12688	1.15279	0.980971
1700010B08Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700010D01Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700010I02Rik	0.001	0.001	0.0359375	0.001	0.001	0.001	0.001
1700010I14Rik	0.280244	0.001	0.554758	0.917146	0.826295	0.380103	0.231669
1700010J16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700010K23Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011A15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011B04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011E24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011H14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011I03Rik	0.001	0.001	0.001	0.001	0.177408	0.001	0.141782
1700011J10Rik	1.44035	1.67433	4.66098	4.71238	4.48352	4.7421	4.51149
1700011L22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011M02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700012A03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700012B07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700012B09Rik	3.24227	3.87599	11.8204	19.5203	0.001	1.1781	0.109655
1700012B15Rik	1.4971	5.62941	6.51534	5.73278	2.81733	5.37089	4.56803
1700012D01Rik	0.488337	0.661032	0.001	0.001	0.269809	2.31125	2.90436
1700012D14Rik	0.141714	0.001	0.001	0.177795	0.308841	0.661052	0.001
1700012I11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700012L04Rik	0.001	0.001	0.658161	0.001	0.001	0.001	0.15894
1700012P22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700013D24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700013F07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.267543
1700013G23Rik	0.374282	0.001	0.001	1.58508	1.18649	0.362381	2.35762
1700013G24Rik	0.001	0.001	0.657544	1.32798	0.001	0.250028	0.0652471
1700013H16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700015E13Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700015F17Rik	0.001	0.001	0.704395	0.001	0.001	0.401239	0.001
1700015G11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016C15Rik	0.001	0.001	0.001	0.001	0.489049	0.001	0.780391
1700016D06Rik	0.001	0.001	0.001	0.001	0.001	0.118833	0.001
1700016G22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016H13Rik	0.001	0.140262	0.001	0.001	0.001	0.001	0.001
1700016K19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016L04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016L21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016P04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700017B05Rik	2.79795	46.4601	18.0999	6.59232	3.90637	4.42281	7.22802
1700017D01Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700017G19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700017J07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700017N19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018A04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018B08Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018B24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018C11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018F24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018G05Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018L02Rik	1.5829	1.67736	1.32096	1.60404	0.393498	2.2914	4.14535
1700019A02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019B03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.0783406
1700019B21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019D03Rik	0.0944945	0.001	0.001	0.001	0.213091	0.13048	0.001
1700019E08Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019G17Rik	0.122135	0.26526	0.296795	0.284349	0.461385	0.837812	0.506199
1700019G24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019L03Rik	1.23735	0.228114	0.377836	0.876062	0.375182	0.287604	0.0751148
1700019M22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019N19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019O17Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700020A23Rik	0.568676	0.001	0.001	0.001	0.001	0.001	0.001
1700020D05Rik	0.290573	0.001	0.001	0.001	0.001	0.25504	0.26621
1700020G17Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700020I14Rik	13.7585	6.22672	11.2677	8.49217	16.2398	10.0827	12.2913
1700020L24Rik	0.001	1.47448	0.748608	0.431332	0.185831	0.341483	2.82117
1700020M21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700020N01Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700020N15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700020N18Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700021F05Rik	65.3893	20.2848	48.004	45.8599	28.9487	34.1513	43.0698
1700021F07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700021K19Rik	4.81725	8.83471	6.76977	6.947	6.40561	7.04488	11.1134
1700021N21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700022A21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700022A22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700022E09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700022H16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700022I11Rik	0.132571	0.0481123	0.001	0.001	0.0793094	0.0851741	0.0317995
1700022P22Rik	0.001	0.001	0.001	0.001	0.551228	0.168142	0.001
1700023A16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700023C21Rik	0.001	0.001	0.001	0.001	0.001	0.198011	0.001
1700023E05Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700023F02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700023F06Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.118087
1700023L04Rik	0.001	0.001	0.001	0.001	0.580395	0.440457	0.115474
1700024B18Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700024F13Rik	0.001	0.17402	0.762601	0.32745	0.001	0.434268	0.001
1700024G13Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700024P03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700024P04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700024P16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.190618
1700025B11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700025C18Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700025E21Rik	0.001	0.001	0.001	0.001	0.14359	0.001	0.0574256
1700025F22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700025F24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700025G04Rik	4.22996	2.37952	0.898454	1.31166	9.22071	3.95868	3.85867
1700025K24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700025M24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700025N23Rik	0.170174	0.001	0.001	0.001	0.001	0.295858	0.001
1700026D08Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700026D11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700026F02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700026L06Rik	0.001	4.50614	5.31677	1.14156	1.69684	0.001	0.001
1700027A15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700027F09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700027H10Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700027I24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700027J07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.380935
1700028B04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700028D13Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700028E10Rik	0.001	0.432969	0.119112	0.347641	0.001	0.21736	0.212672
1700028I16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700028J19Rik	0.360217	0.677016	1.30583	1.8598	0.138926	0.340591	0.500097
1700028K03Rik	0.0404003	0.001	0.001	0.001	0.289205	0.236615	0.001
1700028M03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700028P14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700028P15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700029B22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700029F12Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700029H14Rik	0.001	0.069414	0.001	0.001	0.001	0.001	0.001
1700029I15Rik	0.001	0.001	0.001	0.001	0.001	1.11671	2.02496
1700029J03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700029J07Rik	0.760739	0.166583	0.0736966	0.128484	1.75632	5.42174	1.1439
1700029M20Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700029N11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700029P11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700030A11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700030C10Rik	0.173767	0.193271	0.914752	0.123747	0.0908327	0.232108	0.375862
1700030F04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700030F18Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700030J22Rik	0.126706	0.672329	0.270451	0.32426	0.402833	0.200832	0.141291
1700030K09Rik	1.52659	2.505	2.81164	3.72941	3.43782	3.96897	4.15794
1700030L20Rik	0.79661	1.02299	0.0388241	0.512118	0.809555	1.16904	0.138653
1700030M09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700030N03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700030O20Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700031A10Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700031F05Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700031M16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700031P21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700034E13Rik	0.001	0.001	1.24387	0.001	0.001	0.001	0.001
1700034F02Rik	0.001	0.001	0.001	0.001	0.001	0.0873283	0.001
1700034G24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700034H15Rik	0.028055	0.023313	0.0959695	0.001	0.0336344	0.0103212	0.0269758
1700034I23Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700034J05Rik	0.001	0.0920625	0.101734	0.001	0.0757652	0.001	0.001
1700034K08Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700034O15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700034P13Rik	0.364645	1.10289	0.644399	0.001	1.06645	0.980849	0.85378
1700036G14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700037C18Rik	7.47947	2.69469	3.17307	5.1421	1.52454	0.700673	1.58488
1700037H04Rik	39.1224	30.363	23.3794	60.0641	13.9817	13.7042	11.1865
1700039E15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700039E22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700040L02Rik	0.001	0.001	0.355232	0.001	0.925919	0.243234	0.264573
1700040N02Rik	0.001	0.001	0.001	0.001	0.001	0.0862513	0.001
1700041C23Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700041M19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700042B14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700042G07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700042G15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700042O10Rik	0.001	0.001	0.209706	0.001	0.001	0.143545	0.001
1700044C05Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700044K03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700045H11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.133456
1700045I19Rik	0.001	0.001	0.74399	0.001	0.001	0.001	0.001
1700046C09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700047E10Rik	0.166387	0.001	0.55854	0.001	0.001	0.0726244	0.001
1700047G03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700047L14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700047M11Rik	0.001	0.168189	0.001	0.001	0.274541	2.01569	2.07941
1700048M11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.360354
1700048O20Rik	0.463783	0.306711	0.677632	0.540436	1.68219	1.08333	1.01061
1700049E15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700049E22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700049G17Rik	0.150026	0.0856897	0.379509	0.165701	1.03069	0.830519	0.139808
1700049L16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700051A21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700052I22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700052K11Rik	0.980074	0.611078	1.01345	0.84618	1.06924	2.27663	1.36102
1700052N19Rik	6.56643	5.29466	7.14885	9.80746	5.25748	6.20567	4.05322
1700054A03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.0925974
1700054K19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700054M17Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700054O13Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700055C04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700055N04Rik	0.114272	0.0625043	0.604334	0.247988	0.115732	0.157753	0.0706443
1700056E22Rik	2.2531	1.08242	2.50136	3.19304	0.354815	0.869439	0.567126
1700057G04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
