tracking_id	locus	Endothelium 0D NTX	Endothelium 2D NTX (a)	Endothelium 2D NTX (b)	Endothelium 2D NTX ©	Endothelium 3D NTX (a)	Endothelium 3D NTX (b)	Endothelium 3D NTX ©	Endothelium 4D NTX	Endothelium 5D NTX	Endothelium 6D NTX	Endothelium 7D NTX	Endothelium 10D NTX (a)	Endothelium WT 10days (b)	Endothelium 14D NTX
1110001J03Rik	chr6:38534860-38539449	86.1879	39.3143	40.675	21.2257	43.5716	44.58	43.7633	29.3013	36.5372	45.5518	8.64042	29.9882	39.1978	24.1205
1110002L01Rik	chr12:3403882-3426747	1.99979	2.84029	1.7502	1.91245	1.84929	2.40292	1.03366	1.75877	3.07451	2.2653	2.24579	1.87381	2.44269	1.89971
1110004E09Rik	chr16:90925810-90934849	20.4153	17.9258	21.4298	10.3481	10.9109	12.1426	8.00401	9.41495	19.7645	13.9242	9.69601	11.4847	11.6251	10.602
1110004F10Rik	chr7:116093379-116105210	55.4622	46.9549	45.4881	28.2281	46.4438	41.4795	36.4232	39.1135	52.043	42.3071	71.6194	43.8181	36.5258	39.2756
1110006O24Rik	chr5:115631048-115631816	0.746984	0.522789	0.631929	1.52346	1.40655	5.05046	0.999826	1.05318	1.26238	0.856469	0.306124	0.757384	2.06756	0.544658
1110007C09Rik	chr13:49202950-49216026	63.9915	76.4192	71.781	54.9319	104.898	64.6027	72.7934	55.8653	34.8754	39.1136	19.9013	40.9085	58.3994	27.9231
1110008F13Rik	chr2:156863121-156873562	17.2726	12.2456	13.6593	10.7674	22.4105	9.38626	24.0989	15.8845	18.3705	12.6375	19.2271	13.242	12.7433	9.30469
1110008J03Rik	chr5:120609059-120612589	4.64093	3.95054	2.80963	1.98899	2.12614	1.68111	2.07737	2.15358	2.59516	2.23273	0.904619	3.05825	3.4838	2.21262
1110008L16Rik	chr12:55302636-55382491	1.65263	2.32873	2.24758	1.66856	3.41039	2.30815	2.71126	2.36899	3.19919	2.01907	3.70103	2.08857	1.74893	1.72587
1110008P14Rik	chr2:32379100-32381915	29.767	12.5258	18.0485	11.5629	34.2097	16.7357	36.4851	18.1503	20.4271	15.6656	7.74006	13.5848	22.8214	10.925
1110012L19Rik	chrX:70385912-70389416	25.7993	13.5574	17.119	4.76778	22.1745	7.31653	18.4538	13.507	19.729	20.3166	22.0471	17.4776	9.91247	11.1155
1110015O18Rik	chr3:4798707-4814911	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110017D15Rik	chr4:41505008-41517333	0.182911	0.21882	0.176813	0.290547	0.90192	3.10421	0.846426	0.16009	0.584649	0.001	0.63896	0.228022	0.722587	0.0457444
1110018G07Rik	chr12:84918148-84970886	3.50934	5.24421	4.77387	5.08639	4.61961	4.62098	5.67988	6.29212	5.05615	4.61839	5.57395	5.90429	5.6293	6.97026
1110019D14Rik	chr6:13871568-13896421	0.264131	0.8227	0.477919	0.563924	0.316894	0.246546	0.199269	0.257133	1.15211	0.39229	0.954775	1.17885	0.414731	0.61905
1110020A21Rik	chr17:84917181-84957710	0.52101	0.915142	0.554245	0.47058	0.153961	0.384285	0.291524	0.001	0.277147	0.125459	0.001	0.500016	0.203505	0.334549
1110025L11Rik	chr16:89063409-89064002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110028F11Rik	chr11:87699523-87705327	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110028F18Rik	chr8:106587142-106594820	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110032A03Rik	chr9:50762827-50768152	5.85952	3.58166	4.7299	2.98575	10.1172	5.23824	5.82425	8.0074	7.25112	7.9375	11.3318	7.14678	5.33037	4.49412
1110032F04Rik	chr3:68869585-68872163	0.0361717	0.001	0.001	0.001	0.131106	0.0815023	0.001	0.16508	0.31926	0.10886	0.001	0.0242945	0.001	0.0685228
1110034G24Rik	chr2:132690282-132751055	5.32652	5.15874	3.12175	1.35688	4.77114	3.57377	4.83119	3.19371	4.99694	4.00314	2.71541	4.32125	3.41963	4.32147
1110035M17Rik	chr11:95700105-95712754	1.99002	1.7065	0.001	0.146305	2.00382	1.61491	3.45544	1.72772	1.01315	0.91269	0.252469	0.450605	2.2228	0.526677
1110036E04Rik	chr9:64049828-64054100	0.001	0.001	0.001	0.001	0.001	0.324471	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110037F02Rik	chr4:11485957-11551143	7.78387	8.39667	9.22226	7.49295	5.86516	7.69925	5.95634	9.25611	7.61282	8.34629	8.48243	9.41784	4.5805	10.3216
1110038B12Rik	chr17:34950235-34952471	37.2076	56.8154	47.6175	34.7262	80.6599	75.4221	56.4091	52.2809	65.4684	27.3462	53.7617	40.5987	59.4794	40.7809
1110038F14Rik	chr15:76948543-76950731	48.7415	32.5552	27.9003	21.3587	51.6211	47.6111	53.2356	35.1132	31.8247	36.1652	35.4376	34.3254	48.3645	25.796
1110046J04Rik	chr13:33936031-33960181	1.61818	1.80256	1.86806	0.441411	1.55894	1.62235	3.93956	1.41463	2.48821	0.703462	4.37173	2.33322	1.05339	0.912424
1110051M20Rik	chr2:91277827-91444642	1.93125	2.93251	3.79549	3.13318	6.57286	3.79863	4.45765	5.40418	5.83167	2.98699	4.74527	3.02882	2.94685	2.69599
1110054M08Rik	chr16:24392555-24393655	2.34097	1.3707	2.39826	1.80125	6.07258	6.42732	6.21002	6.35288	8.57925	6.01349	1.33492	2.82943	4.48136	2.72014
1110057K04Rik	chr12:8208106-8285759	7.75469	12.3935	12.0728	5.62313	10.7184	5.1156	9.70503	8.95413	12.4951	9.96579	14.2664	11.6164	8.06436	9.83024
1110058L19Rik	chr1:23995938-24005640	26.2471	20.7696	23.5044	7.33713	19.0348	11.7688	13.6551	12.4693	28.3414	22.7015	17.9348	19.8753	11.5219	16.13
1110059E24Rik	chr19:21597312-21652791	27.9063	29.4062	27.335	10.6738	19.8201	15.2534	15.9375	21.7665	34.3372	31.2415	46.3137	25.322	12.2284	22.1046
1110059G10Rik	chr9:122945088-122951000	5.55709	4.93654	3.55345	2.29459	2.80337	4.46795	1.69669	2.54316	4.40337	4.14271	6.29748	4.6141	2.66063	3.60279
1110059M19Rik	chrX:45090903-45092790	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110065P20Rik	chr4:124849484-124850730	17.8137	14.7869	13.1904	6.60843	18.7367	12.2002	17.3951	14.5087	20.7165	14.4147	4.33002	10.7062	11.5242	9.84646
1190002F15Rik	chr6:134929091-134951718	1.98209	1.13959	1.82298	4.16829	1.78537	8.62397	1.61792	0.698246	7.25053	7.96968	9.18893	3.21585	6.44873	2.03501
1190002N15Rik	chr9:94517863-94538081	19.8033	13.2024	11.633	12.5543	7.0999	17.4549	6.72341	17.3648	20.1282	13.3526	27.3287	17.0614	15.3038	27.1069
1190003J15Rik	chr7:140835495-140837968	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0846039	0.001
1190003K10Rik	chr13:64481245-64497792	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1190005I06Rik	chr8:120608601-120634382	0.79365	0.277198	0.001	0.001	0.0932023	1.2809	0.235685	0.91424	0.001	0.001	0.001	0.001	0.226937	0.0576889
1190007I07Rik	chr10:82619850-82623228	5.88047	2.75152	3.80392	2.50687	8.15772	5.21236	5.39119	4.11025	5.25564	2.36875	13.988	2.56927	6.24169	2.48079
1200011I18Rik	chr14:76086231-76110815	8.46083	8.2428	6.99147	5.05169	4.94549	4.99183	4.73853	7.54195	7.81847	6.63365	9.49646	8.12889	3.5103	8.59253
1200014J11Rik	chr11:73047866-73083579	3.99738	5.25368	5.36517	4.50928	4.47593	5.47974	3.51816	5.70286	5.41105	5.92325	8.62224	5.65921	5.00708	6.43019
1300002E11Rik	chr16:21794346-21809039	14.3355	13.548	9.7881	6.70324	11.092	13.2074	7.68641	10.0805	9.8477	10.2305	23.1773	9.5637	8.28422	10.1268
1300002K09Rik	chr4:45848946-45887008	0.001	0.635459	0.333778	0.124431	3.66025	0.647107	1.65241	0.0825693	0.84056	0.076469	0.0524391	0.170823	0.0122913	0.001
1300015D01Rik	chr2:173124748-173133204	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1300017J02Rik	chr9:103250529-103288297	0.001	0.001	0.001	0.001	0.0499904	0.248667	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1300018J18Rik	chr15:89089106-89100340	4.57759	3.20552	1.85938	3.07582	4.54079	2.44978	4.52526	5.9137	3.85911	4.1861	6.05859	4.10928	4.73002	4.09692
1500002O10Rik	chr2:70489939-70563357	0.001	0.001	0.001	0.223477	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0591823	0.001
1500004A13Rik	chr3:88822009-88832487	0.287182	0.849157	0.771193	1.02466	0.490874	2.32984	0.174956	0.757858	0.593774	0.438899	0.580795	1.10472	1.1957	0.440401
1500009C09Rik	chr15:82252396-82260753	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1500009L16Rik	chr10:83722864-83762762	1.5484	1.82971	1.23728	0.992971	0.46227	1.02382	0.258688	0.556593	1.4893	1.18215	1.8621	0.788094	1.20167	0.768918
1500011B03Rik	chr5:114808195-114813976	10.2104	9.55067	6.81097	4.38231	13.6694	6.21602	10.9416	7.18964	12.7857	7.13536	7.45592	7.58497	6.66921	6.92771
1500011K16Rik	chr2:127791376-127792488	31.0095	19.749	20.4564	18.4723	24.8517	24.5746	16.8846	21.0642	20.348	8.8073	12.407	9.03486	20.4701	5.49409
1500012F01Rik	chr2:167062933-167065862	57.6713	83.6731	51.6341	38.5953	89.9554	139.901	91.8498	101.666	113.158	58.2158	45.4898	56.1881	73.5293	50.4152
1500012K07Rik	chr7:75308695-75331419	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.521332	0.001	0.001	0.001	0.001	0.001	0.001
1500015A07Rik	chr18:61726389-61728253	1.44473	2.487	1.57573	1.67306	1.64602	2.82054	1.13173	1.07395	1.24483	1.07965	1.54756	1.23749	1.12418	1.10837
1500015L24Rik	chr19:20405287-20422785	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1500015O10Rik	chr1:43730601-43742564	8.41304	1.08804	0.351694	0.671367	0.43939	3.10656	0.739263	0.716366	3.69471	2.39002	1.77897	3.01795	2.07429	3.23012
1500016L03Rik	chr11:84525659-84535831	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1500017E21Rik	chr19:36619417-36689479	0.419312	0.187786	0.204351	0.36466	0.211146	0.183754	0.0530115	0.136715	0.0771404	0.14029	0.108592	0.281812	0.254402	0.622494
1500032L24Rik	chr15:82346045-82349062	191.46	124.823	144.202	91.1659	225.866	140.943	187.753	111.454	151.198	129.069	119.458	106.975	154.769	92.759
1600002D24Rik	chr16:95831122-95929077	0.103815	0.0926587	0.150956	0.001	0.156207	0.116602	0.196288	0.236326	0.001	0.103427	0.375782	0.0345758	0.201046	0.136919
1600002H07Rik	chr17:24215055-24220769	1.81332	1.8978	2.06302	1.62593	2.66668	2.28845	2.67952	1.06558	3.89128	2.78528	1.05281	1.62685	2.44381	1.58745
1600002K03Rik	chr10:80172943-80175119	10.863	11.3818	12.5279	3.34507	5.13527	5.73967	5.94986	4.29658	10.5322	8.45524	2.29433	4.8924	4.62201	5.05717
1600010M07Rik	chr7:109998376-110006646	0.001	2.10483	0.843296	0.481155	1.17821	1.47451	0.001	0.001	1.25915	0.378819	0.001	0.500433	0.001	0.145194
1600012H06Rik	chr17:14943183-14945939	12.4713	11.6372	9.95262	6.53791	8.46527	12.9162	6.16373	10.7018	15.0318	9.01398	15.0771	12.474	7.65638	12.128
1600014C10Rik	chr7:38183216-38197565	5.39487	6.45932	10.9236	4.05042	13.9411	7.5382	10.9189	8.38299	8.43223	8.02748	6.69361	6.54009	6.88481	5.8366
1600014C23Rik	chr17:45732863-45733844	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	1.06621	0.001	0.001	0.001	0.001	0.001
1600014K23Rik	chrX:85249676-85270291	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600015I10Rik	chr6:48929895-48933687	0.001	0.134828	0.16501	0.438939	0.068215	0.197907	0.001	0.171804	0.332147	0.188743	0.001	0.126351	0.182686	0.057035
1600016N20Rik	chr7:141210042-141214080	0.001	0.001	0.001	0.0284863	0.196211	0.0697296	0.0704225	0.0908323	0.001	0.0928987	0.001	0.0932119	0.067612	0.0351198
1600019K03Rik	chr16:35503169-35509419	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600020E01Rik	chr6:86527329-86564449	9.80042	13.1843	7.27461	4.98156	16.7066	28.5172	7.42422	5.85083	14.015	12.4365	25.3439	13.8539	17.297	12.2521
1600023N17Rik	chr5:45668700-45669708	0.001	0.001	0.452751	0.191667	0.062754	0.312962	0.0791038	0.001	0.453538	0.102767	0.001	0.0683996	0.253546	0.0781219
1600025M17Rik	chrX:56317607-56320664	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600029D21Rik	chr9:50494524-50505639	0.0521583	0.001	0.001	0.0319067	0.0627808	0.001	0.001	0.001	0.001	0.0519577	0.0539411	0.001	0.0252512	0.0196526
1600029I14Rik	chr9:99470420-99474751	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0470444
1600029O15Rik	chr9:58202896-58208808	0.16005	0.001	0.0387699	0.358906	0.112345	0.599046	0.001	0.555064	0.23386	0.0531172	0.0551673	0.0532647	0.001	0.001
1700001C02Rik	chr5:30466076-30484087	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001C19Rik	chr17:47412733-47437375	0.30158	0.133416	0.108395	0.221014	0.224787	0.167951	0.339422	0.001	1.46897	0.179613	0.249346	0.247124	0.320817	0.227113
1700001D01Rik	chr8:61281521-61288872	0.001	0.001	0.001	0.27178	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001F09Rik	chr14:43342383-43347811	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001G11Rik	chr14:66295328-66297129	0.001	0.001	0.001	0.0894651	0.001	0.001	0.001	0.001	0.001	0.001	0.916809	0.0945218	0.001	0.001
1700001G17Rik	chr1:33669823-33670712	0.617721	0.001	0.001	0.0744923	0.001	0.182483	0.001	0.001	0.001	0.238678	0.001	0.23794	0.473458	0.272594
1700001J03Rik	chr5:146182449-146185304	0.001	0.001	0.001	0.001	0.0864653	0.001	0.600881	0.001	0.001	0.001	0.001	0.001	0.0701094	0.0535852
1700001J11Rik	chr9:40050557-40053025	0.0379181	0.001	0.001	0.001	0.0343449	0.001	0.001	0.001	0.001	0.0380093	0.215976	0.012722	0.001	0.0263222
1700001K19Rik	chr12:110667688-110682619	0.452146	0.19925	0.161201	0.136601	0.001	0.752844	0.253751	0.728397	0.001	0.219356	0.001	0.364775	0.325396	0.250294
1700001K23Rik	chr19:53248735-53255205	0.001	0.001	0.001	0.168954	0.165125	1.24391	0.001	0.001	0.001	0.261342	0.001	0.17154	0.001	0.001
1700001L05Rik	chr15:83353846-83367297	0.163463	0.106929	0.0874729	0.293121	0.180443	0.537961	0.180995	0.379086	0.165337	0.150489	0.0771196	0.222082	0.137454	0.21554
1700001L19Rik	chr13:68597438-68614231	0.0533831	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.234002	0.001	0.001	0.0355311	0.001	0.060317
1700001O22Rik	chr2:30795562-30803664	0.276391	0.001	0.160554	0.462626	0.766763	0.001	0.838421	0.507917	0.451547	0.109242	0.001	0.361927	0.0667343	0.203456
1700001P01Rik	chr11:97771480-97775918	0.001	1.72301	0.001	0.236321	0.231497	0.001	0.733393	0.001	0.001	0.186206	0.001	0.123027	0.188498	0.142694
1700003C15Rik	chr5:11749832-11769308	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003D09Rik	chr11:98350717-98358283	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003E16Rik	chr6:83156403-83162975	0.001	0.16598	0.001	0.199086	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0310218	0.0225012	0.001
1700003F12Rik	chr2:154548903-154550048	0.001	0.001	0.001	0.0952059	0.001	0.116653	0.236107	0.001	0.001	0.001	0.001	0.001	0.151563	0.001
1700003F17Rik	chr11:82942340-82960681	2.69779	3.48673	4.95557	2.92269	2.4709	3.09486	3.96074	2.99162	5.07997	3.53966	0.001	4.80563	3.39535	4.55709
1700003G13Rik	chr9:45318265-45322079	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003G18Rik	chr7:116081761-116093149	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003H04Rik	chr3:124565890-124581091	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003L19Rik	chr16:12811389-12848653	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003M02Rik	chr4:34711331-34730206	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0376095	0.0273839	0.021294
1700003M07Rik	chr4:129960373-129965138	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0313646	0.001	0.0961925	0.0498632	0.001	0.001	0.0491635
1700003P14Rik	chr13:118556167-118588629	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006A11Rik	chr3:124401154-124426028	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006E09Rik	chr11:101987055-101992264	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006F04Rik	chr14:119749226-119751564	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006H21Rik	chr13:107687396-107692168	0.001	0.001	0.001	0.001	0.581299	0.001	0.294668	0.001	0.828641	0.001	0.001	0.001	0.001	0.001
1700007B14Rik	chr8:75448693-75984507	0.001	0.001	0.001	0.0570898	0.0561757	0.001	0.001	0.212392	0.102419	0.093088	0.001	0.155675	0.001	0.0175945
1700007F19Rik	chr3:58141706-58163807	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700007G11Rik	chr5:98329303-98802019	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700007J10Rik	chr11:59725916-59740154	0.703293	0.497845	0.26909	1.02386	0.279451	0.557202	0.352018	0.181808	1.41631	0.940337	0.482942	0.702881	0.248151	0.320462
1700007K09Rik	chr7:131325930-131329499	0.001	0.001	0.001	0.001	0.311611	0.259737	0.394415	0.001	0.371354	0.001	0.001	0.001	0.253303	0.001
1700007K13Rik	chr2:28462000-28466324	0.703204	0.493027	0.198839	0.0845107	0.001	0.41412	0.001	0.0902508	0.596161	0.134875	0.001	0.268546	0.268812	0.102847
1700007L15Rik	chr16:33379853-33380736	0.775135	0.812805	1.09099	0.743104	0.637735	0.796659	0.3455	0.992676	2.61436	0.591099	0.476234	1.27355	0.73921	0.338475
1700007P06Rik	chr1:187125137-187127852	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008A04Rik	chr11:32820375-32824594	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008F21Rik	chr8:129067133-129183732	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008I05Rik	chrX:135654697-135693790	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008J07Rik	chr7:127510437-127512869	2.38867	0.896543	0.90021	1.44165	1.95391	1.33047	1.60634	2.10918	1.44387	0.694965	1.75544	1.39559	1.56994	0.656326
1700008K24Rik	chr17:49112263-49113533	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0420864
1700008O03Rik	chr7:44360044-44375030	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0770407	0.001	0.001
1700008P02Rik	chr3:6615412-6620443	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700009C05Rik	chr6:81900464-81910800	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700009J07Rik	chr10:77893419-77896111	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700009N14Rik	chr4:39450292-39451778	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700009P17Rik	chr1:171121660-171126967	0.20465	0.542298	0.292839	0.001	1.58255	2.27635	2.22462	0.660443	1.98053	0.698185	0.631866	0.863242	0.39337	0.189498
1700010B08Rik	chr2:173719414-173722086	0.244639	0.001	0.001	0.001	0.001	0.001	0.182766	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700010D01Rik	chrX:95732589-95733261	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
