tracking_id	locus	FAP 0D NTX	FAP 1D NTX	FAP 2D NTX	FAP 3D NTX	FAP 3D NTX	FAP 4D NTX	FAP 5D NTX	FAP 6D NTX	FAP 10D NTX
1110037F02Rik	chr4:11485957-11551143	6.45413	5.24893	9.60593	7.47975	7.82904	10.0046	10.0859	10.0765	8.48586
1110038B12Rik	chr17:34950235-34952471	45.1305	75.5574	67.0495	68.0124	40.8688	54.0343	53.0968	46.1044	24.0683
1110038F14Rik	chr15:76948543-76950731	25.4204	29.6091	17.5108	14.6704	20.1061	9.18729	11.0402	11.5519	9.38659
1110046J04Rik	chr13:33936031-33960181	2.95121	7.64206	15.0997	4.8089	11.5412	5.41672	9.30248	9.55016	4.71622
1110051M20Rik	chr2:91277827-91444642	11.5904	16.546	10.5601	7.84027	16.7903	8.18803	9.01577	8.54549	6.2367
1110054M08Rik	chr16:24392555-24393655	4.37263	5.41461	3.26602	2.99343	3.19961	2.02233	4.07486	4.4068	3.48997
1110057K04Rik	chr12:8208106-8285759	12.9592	19.1891	13.632	11.3958	14.2263	13.8425	12.8568	12.6236	9.91027
1110058L19Rik	chr1:23995938-24005640	25.4435	10.575	27.1579	17.8414	11.6067	13.148	15.8371	23.9998	14.4324
1110059E24Rik	chr19:21597312-21652791	18.6622	5.11541	21.8237	14.0547	5.15524	16.6876	17.5395	18.0377	9.23474
1110059G10Rik	chr9:122945088-122951000	5.30647	0.880345	2.92164	1.99621	1.0724	1.97353	2.44267	3.26801	1.83207
1110059M19Rik	chrX:45090903-45092790	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110065P20Rik	chr4:124849484-124850730	14.8719	40.9879	24.2127	20.946	27.4905	19.1563	19.3693	14.5043	14.0846
1190002F15Rik	chr6:134929091-134951718	1.79841	5.67699	15.0784	4.2146	1.9509	6.60388	8.50007	11.8768	1.50554
1190002N15Rik	chr9:94517863-94538081	10.1239	0.777333	11.7718	14.9787	5.56615	10.3785	9.18269	10.2228	11.5129
1190003J15Rik	chr7:140835495-140837968	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1190003K10Rik	chr13:64481245-64497792	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1190005I06Rik	chr8:120608601-120634382	0.001	1.2942	0.624784	0.775253	0.905902	0.562937	0.322219	0.17057	0.0857966
1190007I07Rik	chr10:82619850-82623228	7.9507	7.08139	2.84021	2.13831	3.18915	2.14154	1.14839	0.720543	0.930087
1200011I18Rik	chr14:76086231-76110815	6.53875	1.55755	5.50257	5.22773	3.15834	7.03047	6.16027	7.32191	5.2688
1200014J11Rik	chr11:73047866-73083579	4.77935	2.65641	4.67332	4.65985	2.54778	4.90268	5.30011	5.81609	4.43621
1300002E11Rik	chr16:21794346-21809039	11.5296	1.86835	6.48474	6.77422	3.00559	3.60447	3.14661	4.72262	4.07803
1300002K09Rik	chr4:45848946-45887008	0.001	0.001	0.0686965	0.0862482	0.0635677	0.0632253	0.108716	0.0294896	0.174594
1300015D01Rik	chr2:173124748-173133204	0.001	0.001	0.001	0.0448141	0.001	0.001	0.0141209	0.001	0.0302355
1300017J02Rik	chr9:103250529-103288297	0.215136	0.001	0.001	0.0702464	0.001	0.0514332	0.0221061	0.001	0.0236519
1300018J18Rik	chr15:89089106-89100340	8.8244	15.2967	4.47054	2.90396	6.21853	4.1046	4.56991	3.7715	3.0476
1500002O10Rik	chr2:70489939-70563357	0.001	0.001	0.001	0.001	0.001	0.001	0.0636321	0.001	0.001
1500004A13Rik	chr3:88822009-88832487	1.61758	0.786122	0.624722	0.726823	0.372554	0.682803	1.03047	0.835899	1.37837
1500009C09Rik	chr15:82252396-82260753	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1500009L16Rik	chr10:83722864-83762762	10.1232	7.83857	12.65	14.6468	5.48106	6.39267	6.79823	8.88461	3.02927
1500011B03Rik	chr5:114808195-114813976	7.16978	3.89361	3.24757	2.38085	3.58635	2.56254	3.75886	3.96531	2.35077
1500011K16Rik	chr2:127791376-127792488	26.1051	13.5303	7.1514	7.97692	5.46371	2.48574	2.4904	2.11651	1.89599
1500012F01Rik	chr2:167062933-167065862	28.3543	32.4733	49.4259	70.0609	21.0741	47.523	46.4033	47.1047	24.2012
1500012K07Rik	chr7:75308695-75331419	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1500015A07Rik	chr18:61726389-61728253	0.534076	0.116037	0.139205	0.174354	0.430007	0.127563	0.54821	0.355069	0.146576
1500015L24Rik	chr19:20405287-20422785	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1500015O10Rik	chr1:43730601-43742564	33.7632	2.66923	27.1895	45.2542	21.9437	41.3969	72.5117	137.784	164.923
1500016L03Rik	chr11:84525659-84535831	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1500017E21Rik	chr19:36619417-36689479	0.606179	0.001	0.946859	1.36589	0.292214	0.957058	0.972338	1.377	1.00059
1500032L24Rik	chr15:82346045-82349062	139.285	138.94	92.3635	70.4464	104.056	61.0409	49.5655	41.2926	31.8597
1600002D24Rik	chr16:95831122-95929077	0.001	0.001	0.001	0.001	0.001	0.001	0.0275715	0.362664	0.001
1600002H07Rik	chr17:24215055-24220769	2.14162	10.6508	3.22791	1.72315	2.76861	2.0292	2.1214	2.39517	1.21039
1600002K03Rik	chr10:80172943-80175119	8.65473	33.4959	12.9298	9.36165	6.6803	10.0678	7.51453	9.69891	6.29622
1600010M07Rik	chr7:109998376-110006646	0.001	0.001	0.001	0.001	0.001	0.001	0.101004	0.001	0.001
1600012H06Rik	chr17:14943183-14945939	12.4905	2.94727	14.8187	15.2205	8.03136	13.9266	18.4179	18.9651	14.5589
1600014C10Rik	chr7:38183216-38197565	3.91091	6.0886	6.13387	6.66846	9.05019	6.83082	8.80963	7.5554	5.67264
1600014C23Rik	chr17:45732863-45733844	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600014K23Rik	chrX:85249676-85270291	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600015I10Rik	chr6:48929895-48933687	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600016N20Rik	chr7:141210042-141214080	0.001	0.0697732	0.001	0.001	0.001	0.001	0.0495293	0.001	0.0264909
1600019K03Rik	chr16:35503169-35509419	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600020E01Rik	chr6:86527329-86564449	10.7649	1.57091	3.68958	5.60621	2.30001	3.80108	4.71892	5.39004	4.41566
1600023N17Rik	chr5:45668700-45669708	0.001	0.001	0.001	0.175045	0.0870141	0.001	0.001	0.234232	0.0584772
1600025M17Rik	chrX:56317607-56320664	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600029D21Rik	chr9:50494524-50505639	7.73684	0.390971	0.773835	0.528642	0.001	0.515675	0.0277016	0.001	0.0592517
1600029I14Rik	chr9:99470420-99474751	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600029O15Rik	chr9:58202896-58208808	1.47172	0.001	0.001	0.0900825	0.0888903	0.164747	0.0141599	0.001	0.302856
1700001C02Rik	chr5:30466076-30484087	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001C19Rik	chr17:47412733-47437375	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001D01Rik	chr8:61281521-61288872	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001F09Rik	chr14:43342383-43347811	0.001	0.0185395	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001G11Rik	chr14:66295328-66297129	0.001	0.221313	0.001	0.001	0.001	0.001	0.0759914	0.001	0.001
1700001G17Rik	chr1:33669823-33670712	0.001	1.19486	0.490696	0.001	0.202899	0.001	0.190896	0.135568	0.203586
1700001J03Rik	chr5:146182449-146185304	0.001	0.001	0.001	0.001	0.001	0.174454	0.0749003	0.001	0.001
1700001J11Rik	chr9:40050557-40053025	0.001	0.001	0.001	0.001	0.001	0.0471468	0.0101323	0.001	0.0325271
1700001K19Rik	chr12:110667688-110682619	0.191082	0.336752	0.15006	0.18693	0.001	0.136164	0.175441	0.001	0.24957
1700001K23Rik	chr19:53248735-53255205	0.925693	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.591128
1700001L05Rik	chr15:83353846-83367297	0.103818	0.73809	0.20241	0.178059	0.237106	0.335907	0.320922	0.436155	0.352334
1700001L19Rik	chr13:68597438-68614231	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.151519
1700001O22Rik	chr2:30795562-30803664	0.001	0.757006	0.142977	0.367764	0.001	0.001	0.174787	0.001	0.124307
1700001P01Rik	chr11:97771480-97775918	0.327099	0.001	0.51673	0.319513	0.001	0.001	0.0992954	0.001	0.316809
1700003C15Rik	chr5:11749832-11769308	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003D09Rik	chr11:98350717-98358283	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003E16Rik	chr6:83156403-83162975	0.401254	1.60221	0.0627282	0.0786035	0.232455	0.001	0.148353	0.106869	0.211593
1700003F12Rik	chr2:154548903-154550048	0.529665	0.001	0.208629	0.258868	0.388935	0.001	0.161387	0.001	0.001
1700003F17Rik	chr11:82942340-82960681	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003G13Rik	chr9:45318265-45322079	0.001	0.001	0.219482	0.001	0.001	0.001	0.001	0.001	0.001
1700003G18Rik	chr7:116081761-116093149	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003H04Rik	chr3:124565890-124581091	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003L19Rik	chr16:12811389-12848653	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003M02Rik	chr4:34711331-34730206	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003M07Rik	chr4:129960373-129965138	0.001	0.001	0.13015	0.163062	0.200986	0.179001	0.463509	0.664801	0.521159
1700003P14Rik	chr13:118556167-118588629	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006A11Rik	chr3:124401154-124426028	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006E09Rik	chr11:101987055-101992264	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006F04Rik	chr14:119749226-119751564	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006H21Rik	chr13:107687396-107692168	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700007B14Rik	chr8:75448693-75984507	0.0805367	0.001	0.377763	0.001	0.001	0.001	0.001	0.0536222	0.0265425
1700007F19Rik	chr3:58141706-58163807	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700007G11Rik	chr5:98329303-98802019	0.001	0.001	0.001	0.001	0.001	0.001	0.132284	0.140787	0.001
1700007J10Rik	chr11:59725916-59740154	0.001	0.559857	0.001	0.156111	0.232418	0.341607	0.397431	0.209547	0.600597
1700007K09Rik	chr7:131325930-131329499	0.001	0.001	0.231982	0.001	0.001	0.001	0.001	0.001	0.001
1700007K13Rik	chr2:28462000-28466324	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0766484
1700007L15Rik	chr16:33379853-33380736	0.517024	0.459818	2.44314	0.001	0.37947	1.28481	0.551581	0.500865	0.167872
1700007P06Rik	chr1:187125137-187127852	0.001	0.001	0.001	0.001	0.001	0.001	0.0698833	0.001	0.001
1700008A04Rik	chr11:32820375-32824594	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008F21Rik	chr8:129067133-129183732	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008I05Rik	chrX:135654697-135693790	0.001	0.001	0.001	0.001	0.0453594	0.001	0.001	0.001	0.001
1700008J07Rik	chr7:127510437-127512869	0.934577	1.18576	0.677949	0.26158	0.933652	0.239457	0.494026	0.712849	0.572688
1700008K24Rik	chr17:49112263-49113533	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008O03Rik	chr7:44360044-44375030	0.001	0.178288	0.317461	0.001	0.001	0.001	0.0617897	0.001	0.0659065
1700008P02Rik	chr3:6615412-6620443	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700009C05Rik	chr6:81900464-81910800	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700009J07Rik	chr10:77893419-77896111	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0656486
1700009N14Rik	chr4:39450292-39451778	0.001	0.001	0.001	0.001	0.001	0.001	0.0422653	0.001	0.001
1700009P17Rik	chr1:171121660-171126967	0.52075	0.001	0.544869	0.67938	0.928296	0.371434	0.531809	0.454936	0.624383
1700010B08Rik	chr2:173719414-173722086	0.001	0.001	0.001	0.403272	0.001	0.001	0.001	0.001	0.001
1700010D01Rik	chrX:95732589-95733261	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700010I02Rik	chr3:7925302-7954887	0.275029	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700010I14Rik	chr17:8988332-9008319	0.176574	0.15344	0.207099	0.172934	0.127944	0.001	0.108753	0.352219	0.058156
1700010J16Rik	chr10:112726925-112785599	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700010K23Rik	chr16:66657117-66664626	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011A15Rik	chr15:101447744-101453909	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011B04Rik	chr13:35181622-35188014	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011E24Rik	chr17:87389570-87427741	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011H14Rik	chr14:49226358-49245428	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011I03Rik	chr18:57533825-57731065	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011J10Rik	chr2:72979431-72989249	5.07217	0.336876	2.41029	1.95552	3.35758	1.20724	1.36724	2.12207	1.46
1700011L22Rik	chr8:79210429-79248583	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011M02Rik	chrX:102908904-102909651	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700012A03Rik	chr6:32050287-32058915	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700012B07Rik	chr11:109788290-109828046	0.001	0.001	0.001	0.001	0.001	0.277517	0.037746	0.001	0.001
1700012B09Rik	chr9:14758193-14771030	0.001	0.001	0.001	0.282479	0.001	0.001	0.001	0.001	0.0936182
1700012B15Rik	chr12:3235790-3250374	4.15413	2.62663	2.86781	2.2764	1.53404	0.711408	1.73165	2.07122	2.22918
1700012D01Rik	chr10:127667122-127668851	1.13463	0.001	0.001	0.277211	0.139059	0.001	0.431659	0.364843	0.551449
1700012D14Rik	chr7:111117672-111122675	0.970827	0.435608	0.001	0.316116	0.318257	0.001	0.196513	0.001	0.209013
1700012I11Rik	chr15:67226768-67377094	0.001	0.001	0.135436	0.001	0.001	0.001	0.001	0.001	0.001
1700012L04Rik	chrX:9283763-9284288	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700012P22Rik	chr4:144418190-144438772	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.122145	0.001
1700013D24Rik	chr6:124347593-124357086	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700013F07Rik	chr3:108537583-108544697	0.001	0.001	0.001	0.343111	0.001	0.001	0.001	0.001	0.001
1700013G23Rik	chr11:59946891-59948147	0.001	0.001	1.30448	0.401481	0.203654	0.001	0.372784	0.518044	0.527601
1700013G24Rik	chr4:137453295-137455461	0.001	0.0761179	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700013H16Rik	chrX:53742900-53757831	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700015E13Rik	chr1:170308860-170312125	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0889827
1700015F17Rik	chr5:5437826-5479143	0.551831	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700015G11Rik	chr7:52011679-52015716	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016C15Rik	chr1:177729813-177753305	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016D06Rik	chr8:11654923-11678750	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016G22Rik	chr13:5855508-5858092	0.001	0.001	0.001	0.001	0.001	0.001	0.106262	0.001	0.001
1700016H13Rik	chr5:103648586-103655732	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016K19Rik	chr11:75999911-76003569	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016L04Rik	chr10:14705608-14759019	0.001	0.001	0.001	0.197878	0.001	0.001	0.0618712	0.001	0.001
1700016L21Rik	chr1:80445931-80475660	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016P04Rik	chr6:13413336-13415996	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700017B05Rik	chr9:57252321-57262599	3.17667	14.342	5.50113	6.07061	10.4824	5.02333	6.51799	4.90621	4.79382
1700017D01Rik	chr19:11096815-11130878	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700017G19Rik	chr3:40504864-40522912	0.0665505	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700017J07Rik	chr2:168978268-168978906	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700017N19Rik	chr10:100592385-100618391	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018A04Rik	chr13:31565491-31582513	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018B08Rik	chr8:121530783-121541954	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.053962
1700018B24Rik	chr3:48605730-48609100	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018C11Rik	chr4:63607090-63622429	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018F24Rik	chr5:145042989-145045678	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018G05Rik	chrX:102928371-102929107	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018L02Rik	chr19:29047482-29048729	1.67468	4.64037	0.437432	1.22942	2.84231	0.001	0.171376	0.183949	0.0457658
1700019A02Rik	chr1:53158576-53187617	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019B03Rik	chr8:3470861-3487178	0.001	0.001	0.001	0.102223	0.001	0.001	0.001	0.001	0.001
1700019B21Rik	chrX:62510538-62527011	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019D03Rik	chr1:52925126-52952840	11.031	0.597894	3.71801	1.76119	1.53824	0.320253	0.412545	0.438643	1.46598
1700019E08Rik	chr2:45696604-45698447	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019G17Rik	chr6:85899049-85904938	1.24911	0.29255	0.832991	1.24935	0.501465	0.186845	0.238618	0.210974	0.275111
1700019G24Rik	chr6:5963896-5977393	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019L03Rik	chr2:32777412-32784405	0.500601	1.08927	0.234974	0.196087	0.290441	0.788672	0.246482	0.531478	0.197654
1700019M22Rik	chr12:96046614-96047222	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019N19Rik	chr19:58785802-58794414	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019O17Rik	chr1:86426328-86428049	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700020A23Rik	chr2:130405258-130406074	0.001	0.001	0.001	0.001	0.001	0.001	0.251179	0.001	0.001
1700020D05Rik	chr19:5502768-5503787	0.176616	0.001	0.138615	0.172806	0.001	0.125954	0.001	0.231322	0.692869
1700020G17Rik	chr10:110801173-110896507	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700020I14Rik	chr2:119594295-119600744	12.4239	2.42226	17.9356	13.7813	5.98509	11.2984	11.0084	13.7256	21.9037
1700020L24Rik	chr11:83437693-83441232	0.39357	0.433842	1.23661	2.30997	1.53341	0.560738	0.541845	1.02741	0.706466
1700020M21Rik	chr9:120913773-120915250	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
