tracking_id	Inflammatory 1D NTX (a)	Inflammatory 1D NTX (b)	Inflammatory 2D NTX (a)	Inflammatory 2D NTX (b)	Inflammatory 2D NTX ©	Inflammatory 3D NTX (a)	Inflammatory 3D NTX (b)	Inflammatory 3D NTX ©	Inflammatory 4D NTX	Inflammatory 5D NTX	Inflammatory 6D NTX	Inflammatory 7D NTX (a)	Inflammatory 7D NTX (b)	Inflammatory 10D NTXs
0610010K14Rik	36.6909	63.3267	38.6496	36.6298	49.731	48.9853	46.2812	38.0747	57.5566	35.3409	0.001	58.9058	46.2597	33.6965
0610011F06Rik	2.5971	4.27321	4.05635	4.37081	7.72765	9.46097	5.76294	4.26564	9.90473	5.25249	0.001	10.4903	19.5168	7.47656
0610012G03Rik	8.90245	32.4244	21.726	23.9659	34.5376	37.4314	31.6286	27.5837	35.8808	23.8619	0.001	30.4654	17.8332	16.4926
0610012H03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0784508
0610030E20Rik	2.51663	2.81375	2.40436	2.65016	2.68587	2.65231	2.18048	3.91753	2.8856	3.00667	0.001	3.40735	7.69549	5.34407
0610031J06Rik	85.4051	126.753	185.279	189.889	158.914	242.102	206.292	156.268	170.566	149.252	82.8553	157.623	87.7401	67.5114
0610031O16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
0610037L13Rik	14.1682	16.8991	13.0187	13.796	12.9591	15.8196	10.3199	7.07448	9.84849	8.86729	0.001	15.3015	14.3906	10.3519
0610038B21Rik	1.61724	5.30109	2.03083	1.699	2.20458	1.89688	3.24144	1.53191	1.51213	0.855157	0.001	0.771145	0.805932	1.42775
0610038L08Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.441973	0.126212	0.0297742
0610039K10Rik	0.164251	0.219015	0.581485	0.277421	0.0812948	0.32034	0.306469	0.126989	0.28454	1.84901	0.001	1.32843	0.700662	0.313965
0610040B10Rik	0.001	0.425155	0.001	0.766905	0.942023	0.001	0.541597	1.31278	0.420016	1.7698	0.001	0.001	2.05916	0.12808
0610040F04Rik	0.001	0.001	0.001	0.070125	0.001	0.001	0.001	0.0315252	0.272276	0.001	0.001	0.001	0.0812132	0.0449359
0610040J01Rik	0.909424	2.47672	1.95761	3.09979	2.65023	6.2611	4.64944	7.33445	6.78911	5.84435	0.001	8.75958	1.98057	2.39838
0610043K17Rik	0.001	0.001	0.249771	0.001	0.001	0.001	0.001	0.001	0.250094	0.001	0.001	0.001	0.001	0.001
1100001G20Rik	6.12559	6.42525	0.001	3.47505	0.71179	0.464907	0.181912	0.755916	25.6058	0.356564	0.001	125.485	120.154	134.82
1110001A16Rik	3.90457	3.32051	7.94792	9.549	14.8536	8.39957	10.0898	19.0092	9.94322	13.5554	0.001	11.5808	3.88316	7.32492
1110001J03Rik	18.6448	30.0738	20.5966	23.3102	31.4413	36.5539	13.8485	10.2756	19.0383	12.6962	0.001	33.6048	44.3847	17.9942
1110002L01Rik	0.494767	0.345105	1.14133	0.881455	0.770228	0.900518	0.941215	1.4294	1.39055	2.77572	0.001	1.08812	1.3422	1.46178
1110004E09Rik	3.23511	5.27816	6.54462	6.47047	8.75771	3.96982	5.29165	2.83954	3.46051	5.14233	0.001	3.9292	5.90058	4.13288
1110004F10Rik	49.2652	44.3455	54.4822	65.4074	69.3499	51.1915	48.7058	49.1411	45.6139	51.2559	0.001	53.6111	48.743	38.6494
1110006O24Rik	0.001	1.33643	0.566162	0.001	0.743442	0.522659	0.481771	0.748961	0.0932227	1.28649	0.001	0.001	0.417054	0.52619
1110007C09Rik	162.175	276.969	165.429	143.743	203.441	151.169	100.881	61.7993	76.347	74.4948	0.001	67.7039	105.199	99.5843
1110008F13Rik	19.1134	42.5497	33.8775	42.3416	40.7596	43.5786	48.6865	39.9015	45.272	22.436	521.932	23.6149	22.1948	23.4226
1110008J03Rik	1.28641	3.11567	1.55326	2.11062	1.31419	1.4745	0.932918	1.47797	1.31499	1.23887	0.001	2.35798	0.654093	1.27586
1110008L16Rik	1.44492	1.44694	2.30638	2.02139	1.70073	2.63544	2.69305	2.31936	3.36566	2.68589	0.001	2.48866	3.13662	2.25695
1110008P14Rik	7.60229	26.4042	19.5834	23.2366	28.9605	47.0804	36.3914	20.5075	30.2066	26.8263	0.001	30.1168	40.4589	19.2755
1110012L19Rik	5.64565	4.69031	9.49425	8.20695	7.51496	17.28	7.70842	8.31866	10.8212	12.8128	0.001	15.5228	13.0541	6.28395
1110015O18Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110017D15Rik	0.001	0.001	0.12037	0.330909	0.201193	0.001	0.001	0.139053	0.001	0.302993	0.001	0.001	0.001	0.0633216
1110018G07Rik	5.61977	5.77687	7.1086	8.15639	5.72526	6.77309	12.2934	15.5079	9.64082	6.8257	0.001	6.18096	8.75411	6.43727
1110019D14Rik	0.872231	0.257196	0.861921	0.659247	1.09916	0.707028	0.251301	1.44945	0.582999	1.16163	0.001	0.589161	0.0746529	0.502473
1110020A21Rik	0.302639	0.001	0.165762	0.001	0.001	0.001	0.001	0.509075	0.32589	0.140881	0.001	0.001	1.38561	0.461174
1110025L11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110028F11Rik	0.001	0.13459	0.001	0.001	0.0500563	0.001	0.0937745	0.001	0.217474	0.001	0.001	0.103266	0.702242	0.0832714
1110028F18Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0299768
1110032A03Rik	3.11635	2.18858	3.3442	3.53922	4.56644	9.28245	5.76719	8.90076	9.73173	8.4365	210.003	7.77657	6.69756	5.10142
1110032F04Rik	0.001	0.001	0.0955693	0.001	0.001	0.0520159	0.0394944	0.0408696	0.114493	0.0400778	0.001	0.001	0.246461	0.175309
1110034G24Rik	2.37399	4.90085	5.54145	4.5409	3.85377	6.15838	4.21471	4.59097	5.78173	7.70694	0.001	11.0236	8.34502	4.34583
1110035M17Rik	0.346409	0.936152	0.907896	1.14904	1.03916	3.91115	1.1871	1.50565	1.53295	1.56746	0.001	1.39262	1.64242	1.32654
1110036E04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110037F02Rik	4.81802	4.36899	5.07472	6.17062	4.81346	4.28508	5.91357	7.52758	5.94063	6.82815	31.9858	4.38392	6.85937	5.45756
1110038B12Rik	50.0295	39.6438	32.4698	41.84	42.5827	44.6284	27.8103	34.6163	40.3574	48.6182	0.001	53.9158	52.7176	60.7817
1110038F14Rik	7.80933	13.3642	10.3861	7.43803	10.7525	17.0507	11.1062	12.631	18.0658	10.877	0.001	20.6001	19.0958	12.982
1110046J04Rik	0.105426	0.28211	0.557979	0.88615	0.418517	0.343285	0.790894	1.72128	0.550923	0.633752	0.001	1.70275	0.410801	0.172817
1110051M20Rik	0.356174	1.03782	0.825126	1.63969	2.28001	3.2882	4.34178	3.26815	3.3874	3.09301	0.001	5.48988	3.42057	2.23483
1110054M08Rik	1.31133	0.917442	1.3242	1.10484	1.11404	2.01118	1.89229	2.03328	3.57948	4.78298	0.001	7.56983	7.57321	1.94435
1110057K04Rik	11.3612	13.5715	14.5227	17.0022	12.4804	16.8042	18.0599	16.8058	19.5954	17.7515	0.001	18.7946	15.3245	13.7002
1110058L19Rik	15.4163	10.003	18.0719	23.4317	21.6022	18.3538	14.9178	15.3668	13.7253	22.0369	0.001	37.8106	17.1009	9.05951
1110059E24Rik	10.6372	3.12273	8.36548	12.082	8.02162	7.91103	5.49696	11.0679	8.35543	12.1846	0.001	14.7129	6.50341	7.87112
1110059G10Rik	2.26486	0.801714	1.91419	2.87083	3.30035	1.84514	2.03993	5.53095	2.26165	3.2975	0.001	2.62742	1.90504	2.58098
1110059M19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.102588	0.001	0.001	0.001	0.001
1110065P20Rik	7.99716	14.1754	7.62337	11.2578	8.58271	12.8818	11.4379	5.46482	6.96943	9.58357	197.684	18.7603	11.8815	6.14153
1190002F15Rik	0.309088	0.555467	1.08318	0.771923	1.07971	3.33407	0.703371	3.64826	3.13268	2.32911	0.001	3.73292	8.88271	6.25577
1190002N15Rik	5.43024	2.33083	3.29533	3.91635	4.31323	1.78975	3.11615	5.2781	3.5692	5.61923	29.5009	4.64634	4.39167	5.70912
1190003J15Rik	0.001	0.001	0.222428	0.001	0.377387	0.001	0.001	0.001	0.001	0.190261	0.001	0.001	0.001	0.001
1190003K10Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1190005I06Rik	0.001	0.001	0.39958	1.14173	1.12618	0.443267	0.937228	0.706518	0.19786	0.852285	0.001	0.001	0.619499	0.0619593
1190007I07Rik	2.89417	4.14876	4.92688	6.07559	6.7464	6.97649	5.39689	4.97484	4.98451	4.28459	0.001	8.04	7.78296	6.53014
1200011I18Rik	8.24666	3.61777	7.61353	8.04945	7.46376	3.92887	5.64803	9.37874	5.26546	8.06877	0.001	4.27463	3.23719	4.67912
1200014J11Rik	5.21867	3.61545	3.41983	3.73868	3.77661	3.10999	3.31648	4.34435	4.80544	3.74363	0.001	3.11172	4.51681	4.44742
1300002E11Rik	3.63765	1.68377	1.23848	1.79963	3.29562	2.39916	1.02236	2.47095	1.15125	1.21867	0.001	7.49604	4.91966	3.2531
1300002K09Rik	1.65288	1.52209	8.01921	8.61245	6.94233	18.3942	24.5548	18.3106	15.9021	23.7982	0.001	7.62701	1.98466	2.89919
1300015D01Rik	0.001	0.0515867	0.0348663	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0745272
1300017J02Rik	0.001	0.001	0.001	0.001	0.0301427	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1300018J18Rik	2.88498	3.92152	3.88555	3.97036	4.31688	6.60547	5.42996	4.29315	6.49823	3.34872	0.001	5.37555	7.22854	4.4165
1500002O10Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1500004A13Rik	0.89683	0.144622	0.468857	0.288376	0.524548	0.286122	0.265977	0.606758	0.730889	0.602863	0.001	0.280329	0.737145	1.03054
1500009C09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0720499	0.001	0.001	0.001	0.001	0.001	0.001
1500009L16Rik	0.125511	0.001	0.111394	0.106411	0.247952	0.305541	0.0466386	0.144886	0.541106	0.0940959	0.001	0.508194	1.06658	0.65093
1500011B03Rik	2.94694	9.2996	4.36155	6.85608	6.62969	8.44739	5.59878	7.6592	9.34676	6.93184	0.001	7.27768	8.84218	5.73432
1500011K16Rik	4.59488	14.8672	15.1672	17.9875	33.5856	22.6283	16.1662	21.3282	18.68	21.01	0.001	18.9632	17.8839	15.99
1500012F01Rik	63.949	14.6771	24.8026	26.0811	9.95228	27.1795	13.1121	39.9834	65.6126	46.0394	0.001	88.1507	61.8599	91.9825
1500012K07Rik	0.001	0.129675	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1500015A07Rik	0.912633	1.34352	0.474184	0.583245	1.04886	0.554405	0.281083	0.756422	0.619389	0.740244	0.001	1.38796	1.49071	1.16193
1500015L24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0575117
1500015O10Rik	1.07123	0.001	0.315708	0.150558	0.265308	1.30646	0.001	0.138271	1.31669	2.27869	0.001	4.69075	0.138677	0.292565
1500016L03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1500017E21Rik	0.2588	0.0684577	0.138552	0.001	0.0509203	0.001	0.171716	0.177692	0.176992	0.116185	0.001	0.001	0.238131	0.197646
1500032L24Rik	130.76	241.248	178.286	211.58	237.348	263.601	203.756	169.237	201.04	147.762	578.462	187.184	164.271	133.119
1600002D24Rik	0.306011	0.101363	0.001	0.0651854	0.001	0.001	0.028276	0.001	0.001	0.001	0.001	0.001	0.0294039	0.001
1600002H07Rik	1.50264	2.07584	2.03829	1.67193	1.76881	2.15817	3.08711	1.34787	1.7341	2.15166	0.001	1.45778	1.93133	2.06735
1600002K03Rik	12.2073	11.7637	14.4569	21.2967	13.7366	12.2087	8.61232	10.5917	12.0965	16.7747	0.001	21.9274	9.46274	8.99501
1600010M07Rik	7.4337	3.46171	9.28156	3.57776	4.13152	13.1634	4.10925	9.08441	17.7122	15.0689	0.001	29.9425	25.597	14.7737
1600012H06Rik	6.74068	6.06889	6.4068	9.2103	8.47887	5.14352	4.98068	11.8963	6.4312	10.4619	47.9792	9.64175	5.24458	5.64309
1600014C10Rik	14.8212	9.91512	22.7467	21.2366	7.3335	27.1707	27.1482	34.9372	35.466	17.3858	0.001	18.183	21.1845	10.462
1600014C23Rik	0.364977	0.001	0.636874	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.433443	0.001
1600014K23Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600015I10Rik	0.001	0.001	0.001	0.001	0.001	0.0270638	0.001	0.001	0.001	0.001	0.001	0.113084	0.001	0.001
1600016N20Rik	0.001	0.001	0.001	0.001	0.0676114	0.0667194	0.101427	0.0262432	0.117626	0.0513986	0.001	0.001	0.553762	0.299697
1600019K03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600020E01Rik	7.71513	2.77056	2.43142	1.54024	1.23096	4.7495	1.52021	2.30483	8.05422	3.48523	0.001	6.20684	13.2376	10.159
1600023N17Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.118259	0.264984	0.114911	0.001	0.309797	0.001	0.0418192
1600025M17Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600029D21Rik	2.92093	0.645037	0.342307	0.392958	0.870824	0.186785	0.113646	0.001	0.0329514	0.115105	0.001	0.001	0.147724	0.901748
1600029I14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.373119	0.001	0.001
1600029O15Rik	0.0785951	0.001	0.001	0.001	0.001	0.0509326	0.001	0.0300748	0.0673984	0.0294247	0.001	0.07968	0.0453218	0.001
1700001C02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001C19Rik	0.001	0.146007	0.001	0.001	0.001	0.001	0.122339	0.001	0.0946141	0.001	0.001	0.001	0.0423946	0.001
1700001D01Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001F09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001G11Rik	0.42728	0.001	0.001	0.179522	0.212057	0.001	0.001	0.166154	0.001	0.321088	0.001	0.001	0.24981	0.175106
1700001G17Rik	0.001	0.001	0.001	0.001	0.0883128	0.001	0.001	0.138076	0.154687	0.001	0.001	0.001	0.207723	0.14608
1700001J03Rik	0.001	0.001	0.001	0.001	0.104457	0.001	0.0789577	0.001	0.001	0.001	0.001	0.001	0.001	0.115023
1700001J11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.0206956	0.001	0.001	0.001	0.001	0.001	0.0107622	0.001
1700001K19Rik	0.327255	0.001	0.001	0.001	0.0809834	0.0797792	0.001	0.001	0.283439	0.122797	0.001	0.001	0.001	0.268089
1700001K23Rik	0.001	0.001	0.001	0.001	0.399858	0.392231	0.305392	0.001	0.001	0.602222	0.001	0.001	0.158388	0.218202
1700001L05Rik	0.376464	0.194844	0.0990094	0.208717	0.163128	0.0966653	0.162736	0.0673413	0.358458	0.115895	0.001	0.0449842	0.143902	0.199261
1700001L19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001O22Rik	0.162969	0.001	0.001	0.001	0.001	0.0985752	0.0608083	0.001	0.809594	0.122301	0.001	0.329535	0.379225	0.0445012
1700001P01Rik	0.001	0.001	0.001	0.468976	0.139952	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003C15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003D09Rik	0.001	0.001	0.001	0.089658	0.001	0.001	0.001	0.0810257	0.001	0.001	0.001	0.001	0.001	0.001
1700003E16Rik	0.001	0.001	0.061094	0.001	0.001	0.0333065	0.025316	0.0786034	0.0293593	0.001	0.001	0.001	0.157964	0.0935064
1700003F12Rik	0.001	0.001	0.001	0.001	0.112818	0.222026	0.085356	0.176948	0.396434	0.170758	0.001	1.37504	0.088659	0.186205
1700003F17Rik	0.001	0.283272	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	1.26832	0.001	0.0861896
1700003G13Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003G18Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.10716	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003H04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003L19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003M02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003M07Rik	0.001	0.001	0.001	0.001	0.001	0.0345525	0.026268	0.108755	0.001	0.0479548	0.001	0.001	0.001	0.0193994
1700003P14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006A11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006E09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006F04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006H21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700007B14Rik	0.001	0.001	0.001	0.001	0.001	0.0668565	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700007F19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700007G11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.74943	0.001	0.001
1700007J10Rik	0.204762	0.363311	0.363176	0.231212	0.001	0.155142	0.0634827	0.001	0.001	0.001	0.001	0.276262	0.001	0.0372656
1700007K09Rik	0.252425	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700007K13Rik	0.201961	0.001	0.001	0.339817	0.001	0.001	0.001	0.313702	0.001	0.001	0.001	0.001	0.001	0.110343
1700007L15Rik	0.665094	0.001	1.17245	1.11685	1.65115	2.16653	1.24886	1.63958	0.870004	1.49972	0.001	0.894849	2.76744	0.969205
1700007P06Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008A04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008F21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008I05Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0343954	0.001	0.001	0.162613	0.092514	0.001
1700008J07Rik	0.285042	0.477709	0.559324	0.389374	0.785395	1.43965	0.904124	0.935634	0.877758	1.06653	0.001	1.15672	0.787249	0.653097
1700008K24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008O03Rik	0.001	0.001	0.306112	0.001	0.001	0.001	0.001	0.0669636	0.001	0.001	0.001	0.001	0.001	0.0472573
1700008P02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700009C05Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700009J07Rik	0.001	0.001	0.152451	0.290863	0.001	0.588419	0.0643739	0.0666903	1.41957	0.258748	0.001	0.348393	1.13718	0.188272
1700009N14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700009P17Rik	2.22879	1.84708	3.02807	3.77041	2.13086	6.73366	5.64599	6.07715	7.77211	4.68149	0.001	9.0176	2.81895	1.41987
1700010B08Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.356908	0.001	0.001
1700010D01Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700010I02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0172795	0.129962
1700010I14Rik	0.45259	0.233185	0.671904	0.707078	0.408674	0.659837	0.585415	0.577069	0.35564	0.790663	0.001	0.917769	0.289891	0.555636
1700010J16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700010K23Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011A15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.135813	0.001
1700011B04Rik	0.26702	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.538099	0.001	0.001
1700011E24Rik	0.001	0.001	0.167197	0.001	0.001	0.0923606	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0516924
1700011H14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011I03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.120103	0.001	0.001	0.001	0.001	0.97658	0.001	0.131872
1700011J10Rik	0.657551	1.51616	1.40002	1.44859	1.75426	1.79321	1.956	2.93711	3.63116	2.76106	0.001	4.79143	1.62654	1.90266
1700011L22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011M02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700012A03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700012B07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0722564	0.001	0.001	0.001	0.258796	0.001
1700012B09Rik	3.96907	0.443738	0.218237	0.830924	0.493397	0.60665	0.280296	0.001	0.001	0.001	0.001	0.001	0.291094	0.677979
1700012B15Rik	7.11065	5.49044	5.79904	7.46279	5.20233	4.29555	3.97063	4.00265	6.20457	6.39991	0.001	9.49588	5.6677	7.60975
1700012D01Rik	0.486795	0.761664	0.214201	0.815666	0.241992	0.357076	0.45813	0.001	1.17042	0.549155	0.001	0.490871	2.18866	1.13082
1700012D14Rik	0.001	0.001	0.001	0.001	0.001	0.136084	0.315072	0.001	0.365981	0.001	0.001	0.001	0.545212	0.001
1700012I11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700012L04Rik	0.0715819	0.001	0.001	0.172936	0.001	0.0878859	0.001	0.001	0.1586	0.001	0.001	0.001	0.07079	0.130543
1700012P22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700013D24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.138017	0.0955222
1700013F07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700013G23Rik	0.001	0.001	0.309092	0.29333	0.177061	0.521467	0.001	0.140001	0.001	0.534033	0.001	0.001	0.139974	0.0968325
1700013G24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700013H16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700015E13Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700015F17Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0924827	0.001
1700015G11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016C15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0603678
