tracking_id	Muscle D0 NTX	Muscle 3D NTX (a)	Muscle 3D NTX (b)	Muscle 4D NTX	Muscle 5D NTX	Muscle 6D NTX	Muscle 10D NTX
1110015O18Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110017D15Rik	1.4772	0.001	0.001	0.513665	0.001	0.001	0.001
1110018G07Rik	5.33797	7.47454	6.21579	5.9817	9.33475	7.45218	5.8395
1110019D14Rik	0.001	0.744337	0.240957	0.76152	0.497677	1.0136	1.66297
1110020A21Rik	0.174504	0.001	0.216609	0.185047	0.720125	0.38195	0.918894
1110025L11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110028F11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110028F18Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110032A03Rik	3.88525	3.42097	2.46765	2.82321	3.90065	5.88025	16.6523
1110032F04Rik	0.001	0.001	0.001	0.001	0.034436	0.001	0.001
1110034G24Rik	1.75571	1.30228	1.61625	1.74897	2.15865	2.2746	2.42469
1110035M17Rik	0.001	0.001	0.248335	0.001	0.001	0.001	0.508209
1110036E04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110037F02Rik	11.3226	11.5794	7.33953	9.72151	12.6462	10.3224	11.1902
1110038B12Rik	108.546	170.176	133.16	158.401	101.376	132.715	230.158
1110038F14Rik	20.4128	24.2971	35.321	26.8996	19.0367	28.2236	27.882
1110046J04Rik	1.37137	4.15012	4.06101	3.95589	3.09992	6.39552	4.43984
1110051M20Rik	7.13004	13.2189	19.2363	13.3478	13.0442	12.4641	5.30979
1110054M08Rik	1.74254	2.04986	1.60218	2.21732	3.71529	3.81427	4.31256
1110057K04Rik	10.8102	20.8892	24.1132	19.5692	18.0909	16.4372	16.1118
1110058L19Rik	6.43135	32.5463	17.8085	26.4431	28.037	27.6834	35.4645
1110059E24Rik	10.1265	29.5095	9.55621	18.2884	30.9825	32.0397	24.0177
1110059G10Rik	1.81871	2.93368	1.0895	2.13949	3.69419	4.38942	10.1182
1110059M19Rik	0.001	0.001	0.001	0.134613	0.263043	0.001	0.201116
1110065P20Rik	4.61771	21.0312	36.162	27.9656	18.6477	34.9107	3.70423
1190002F15Rik	6.86073	22.5434	15.3819	14.1072	13.1614	26.1306	19.4932
1190002N15Rik	24.5481	64.8728	17.3915	24.5836	70.3372	63.7896	62.1254
1190003J15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1190003K10Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1190005I06Rik	0.001	1.73481	3.31779	3.8092	0.289714	1.82559	0.333059
1190007I07Rik	4.22064	6.08791	9.75953	7.32819	2.60017	2.79207	16.4392
1200011I18Rik	3.86594	6.43086	2.2452	4.02438	8.20578	7.64052	7.59982
1200014J11Rik	5.3791	9.33243	4.67357	5.56274	8.90823	9.40798	8.95141
1300002E11Rik	7.89621	4.0823	3.58625	2.13644	8.66454	5.50377	24.9161
1300002K09Rik	0.17599	0.001	0.0399413	0.110386	0.0724991	0.001	0.479131
1300015D01Rik	0.001	0.001	0.001	0.0382421	0.0251135	0.0831148	0.0191511
1300017J02Rik	0.001	0.001	0.0217259	0.0600581	0.0393669	0.12951	0.001
1300018J18Rik	7.43976	3.81571	5.42964	4.79137	3.59543	4.23599	2.71439
1500002O10Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.26201
1500004A13Rik	1.51281	1.13751	0.744143	1.20983	1.71804	1.55	1.13496
1500009C09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1500009L16Rik	0.117099	0.825553	0.75864	2.34539	2.01201	9.6306	21.7148
1500011B03Rik	2.5922	2.05488	4.28188	3.42145	3.13747	2.65444	3.01399
1500011K16Rik	10.4002	8.08536	12.037	10.8441	3.83254	9.32151	49.0177
1500012F01Rik	83.6277	90.3244	28.2844	41.8288	105.734	122.879	99.3335
1500012K07Rik	0.001	0.001	0.001	0.001	0.18427	0.001	0.001
1500015A07Rik	0.640136	0.834965	0.89074	0.671643	1.02598	1.44083	1.56634
1500015L24Rik	0.001	0.001	0.001	0.001	0.403684	0.001	0.001
1500015O10Rik	0.001	0.195415	0.699634	11.618	11.9972	16.7654	6.64674
1500016L03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1500017E21Rik	1.357	0.966743	0.18354	0.253662	0.89857	0.987896	1.90408
1500032L24Rik	84.59	124.169	175.673	175.676	75.2729	103.843	143.856
1600002D24Rik	0.001	0.001	0.001	0.001	0.001	0.161017	0.001
1600002H07Rik	4.9517	4.37673	6.2813	4.7416	3.94668	5.93293	2.27486
1600002K03Rik	0.983674	12.4576	10.622	13.9238	4.90942	8.97948	0.519515
1600010M07Rik	0.794039	0.311941	0.001	0.566632	0.729015	0.001	0.979301
1600012H06Rik	5.58662	5.22024	4.21314	5.38834	11.4024	10.7671	17.9408
1600014C10Rik	1.25908	2.33485	2.86557	3.86589	4.35302	4.05631	1.89296
1600014C23Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600014K23Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600015I10Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.0820025
1600016N20Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600019K03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600020E01Rik	11.4076	3.69891	1.64478	3.01966	5.63039	6.06365	12.8245
1600023N17Rik	0.57082	0.001	0.001	0.001	0.0981108	0.001	0.001
1600025M17Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600029D21Rik	0.001	0.675103	0.300099	1.13143	0.345641	0.485294	0.226155
1600029I14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1600029O15Rik	0.001	0.0862812	0.001	0.0771309	0.252423	0.001	0.154158
1700001C02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001C19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001D01Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.157622
1700001F09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001G11Rik	0.001	0.467181	0.228617	0.210984	0.001	0.001	0.001
1700001G17Rik	0.001	0.001	0.190545	0.35157	0.001	0.363989	0.001
1700001J03Rik	0.782375	0.001	0.001	0.001	0.001	0.001	0.001
1700001J11Rik	0.001	0.001	0.0199024	0.001	0.0360765	0.118849	0.001
1700001K19Rik	1.52379	0.001	0.116519	0.322433	0.001	0.335502	0.0801653
1700001K23Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700001L05Rik	0.622948	0.462681	0.196103	0.086702	0.555918	0.568709	0.793157
1700001L19Rik	0.367697	0.001	0.001	0.001	0.0505152	0.001	0.154251
1700001O22Rik	0.001	0.001	0.215958	0.160564	0.001	0.334217	0.159707
1700001P01Rik	0.001	0.001	0.001	0.001	0.358237	0.001	0.274951
1700003C15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003D09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003E16Rik	0.001	0.30112	0.243238	0.403469	0.0440508	0.433907	0.100857
1700003F12Rik	0.001	0.248262	1.3781	0.448937	0.580437	0.914291	0.001
1700003F17Rik	0.29135	0.001	0.112843	0.001	0.001	0.001	0.001
1700003G13Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003G18Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003H04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003L19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003M02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700003M07Rik	0.001	0.0780823	0.0252336	0.0628338	0.001	0.149914	0.001
1700003P14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006A11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006E09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006F04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700006H21Rik	0.001	0.307891	0.302709	0.279558	0.001	0.001	0.552295
1700007B14Rik	0.001	0.001	0.001	0.001	0.0884222	0.001	0.001
1700007F19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700007G11Rik	0.001	0.001	0.001	0.182905	0.001	0.001	0.181674
1700007J10Rik	0.001	0.747995	0.388444	1.34327	0.349987	0.423245	0.133795
1700007K09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700007K13Rik	0.187729	0.001	0.0720092	0.199342	0.001	0.001	0.989071
1700007L15Rik	0.411756	4.11983	4.11338	1.53317	1.41655	1.78753	0.976957
1700007P06Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008A04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008F21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008I05Rik	0.001	0.0880429	0.001	0.001	0.001	0.001	0.235966
1700008J07Rik	1.33412	1.25247	1.43555	1.06191	0.916196	1.32773	2.51644
1700008K24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008O03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700008P02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700009C05Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700009J07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700009N14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700009P17Rik	0.276945	0.651106	0.687374	1.75553	1.42794	1.2241	2.76668
1700010B08Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700010D01Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700010I02Rik	0.870893	0.001	0.001	0.001	0.001	0.001	1.30099
1700010I14Rik	0.493833	0.662529	0.374795	0.666139	0.436124	0.158814	0.59183
1700010J16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700010K23Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011A15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011B04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011E24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011H14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011I03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011J10Rik	0.735962	1.72972	2.15138	1.94068	2.52926	5.44477	4.3827
1700011L22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700011M02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700012A03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700012B07Rik	0.001	0.001	0.296968	0.32872	0.001	0.001	0.0817127
1700012B09Rik	0.001	6.50291	3.18951	0.245378	0.158349	0.001	1.33572
1700012B15Rik	4.90524	1.40242	2.02381	2.5196	2.36949	3.81492	2.85725
1700012D01Rik	0.677376	1.06357	0.17383	0.240707	0.621581	1.46262	2.14468
1700012D14Rik	0.001	0.001	0.001	0.275297	0.354427	0.001	0.001
1700012I11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700012L04Rik	0.001	0.001	0.064172	0.001	0.001	0.001	0.001
1700012P22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700013D24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700013F07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700013G23Rik	0.001	0.385459	0.380763	0.351906	0.450196	1.37422	0.865496
1700013G24Rik	0.001	0.001	1.10781	0.145956	0.284936	0.001	0.001
1700013H16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700015E13Rik	0.001	0.001	0.001	0.001	0.150347	0.001	0.001
1700015F17Rik	0.001	0.001	0.001	0.001	0.001	0.475072	0.001
1700015G11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016C15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016D06Rik	0.001	0.001	0.0418127	0.001	0.0754508	0.001	0.115317
1700016G22Rik	0.001	0.328505	0.001	0.001	0.001	0.001	0.001
1700016H13Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016K19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016L04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016L21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700016P04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700017B05Rik	2.89698	2.0863	5.56054	6.60821	3.94267	6.25579	1.86191
1700017D01Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700017G19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700017J07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700017N19Rik	0.001	0.001	0.001	0.001	0.001	0.177874	0.0830833
1700018A04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018B08Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018B24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018C11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018F24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018G05Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700018L02Rik	1.44824	0.001	3.30977	0.586844	0.153121	0.001	0.936145
1700019A02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019B03Rik	0.001	0.001	0.001	0.001	0.0572896	0.001	0.001
1700019B21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019D03Rik	1.25583	0.001	0.001	0.001	0.001	0.001	0.001
1700019E08Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019G17Rik	0.247669	0.428487	0.307155	0.174142	0.314345	0.330574	0.0217953
1700019G24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019L03Rik	0.159969	0.281736	0.151891	0.0839971	0.384627	0.001	0.125861
1700019M22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019N19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700019O17Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700020A23Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700020D05Rik	0.422649	0.001	0.001	0.001	0.096856	0.001	0.370411
1700020G17Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700020I14Rik	6.99348	19.0682	5.81621	7.74296	17.122	17.8558	17.5471
1700020L24Rik	4.07964	0.001	0.120033	0.498261	0.107896	1.03517	0.165128
1700020M21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700020N01Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700020N15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700020N18Rik	0.001	0.001	0.362666	0.001	0.001	0.001	0.001
1700021F05Rik	22.2905	42.7944	33.3731	21.7016	23.8952	23.7441	49.7767
1700021F07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700021K19Rik	4.34474	9.14429	12.9012	8.35815	7.20775	9.08095	4.9884
1700021N21Rik	0.001	0.001	0.001	0.001	0.223311	0.001	0.001
1700022A21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700022A22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700022E09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700022H16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700022I11Rik	0.0340144	0.0798005	0.001	0.001	0.001	0.077347	0.001
1700022P22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700023A16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700023C21Rik	0.001	0.001	0.001	0.001	0.001	1.04925	0.001
1700023E05Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700023F02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700023F06Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700023L04Rik	0.001	0.001	0.001	0.258782	1.50201	2.60567	0.127815
1700024B18Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700024F13Rik	0.001	0.279469	0.731435	0.759725	0.326633	1.53233	0.001
1700024G13Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700024P03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700024P04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700024P16Rik	0.001	0.0478102	0.001	0.001	0.0279816	0.001	0.001
1700025B11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700025C18Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700025E21Rik	0.001	0.143121	0.001	0.001	0.0837111	0.001	0.001
1700025F22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700025F24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700025G04Rik	3.92106	2.92169	1.73317	2.32186	4.85316	5.6131	9.35518
1700025K24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700025M24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700025N23Rik	0.244531	0.191728	0.001	0.001	0.112106	0.119304	0.001
1700026D08Rik	0.001	0.001	0.001	0.001	0.0733902	0.001	0.729026
1700026D11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700026F02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700026L06Rik	0.001	0.001	0.182131	0.252231	0.001	1.01782	1.24771
1700027A15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700027F09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700027H10Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700027I24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700027J07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700028B04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700028D13Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700028E10Rik	0.001	0.528864	0.0573108	0.0666072	0.001	0.001	0.001
1700028I16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700028J19Rik	0.001	0.554119	0.943584	0.248582	0.405143	0.785999	0.001
1700028K03Rik	0.74352	0.0484615	0.001	0.001	0.085088	0.001	0.001
1700028M03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700028P14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700028P15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700029B22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700029F12Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700029H14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700029I15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700029J03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700029J07Rik	1.59802	0.110296	0.124581	0.0983856	0.774591	0.425976	1.05864
1700029M20Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700029N11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700029P11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700030A11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700030C10Rik	0.568205	0.36388	0.676692	0.406745	0.58549	1.04457	0.975292
1700030F04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700030F18Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700030J22Rik	0.388276	0.455548	0.342938	0.225681	0.355481	0.78284	0.429296
1700030K09Rik	4.2786	2.57323	2.69508	1.79245	3.01175	3.14507	1.37309
1700030L20Rik	0.880026	0.431107	0.140119	0.001	1.00842	0.43124	0.366435
1700030M09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700030N03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700030O20Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700031A10Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700031F05Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700031M16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700031P21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700034E13Rik	0.001	0.001	0.29658	0.411396	0.001	0.001	0.001
1700034F02Rik	0.243387	0.214232	0.115352	0.127529	0.0417701	0.274639	0.191353
1700034G24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700034H15Rik	0.001	0.001	0.001	0.001	0.001	0.197223	0.0176292
1700034I23Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700034J05Rik	0.258939	0.001	0.001	0.0678768	0.0444623	0.001	0.001
1700034K08Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700034O15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700034P13Rik	0.726526	0.746569	0.55242	1.24121	1.12313	0.609935	0.762499
1700036G14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700037C18Rik	0.387563	2.58117	2.71082	3.40887	1.42084	3.43465	0.271598
1700037H04Rik	7.16926	22.5054	43.5665	29.8606	13.1644	16.9551	5.29511
1700039E15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700039E22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700040L02Rik	0.001	0.001	0.385111	0.001	0.0771989	0.001	0.294993
1700040N02Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700041C23Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700041M19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700042B14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700042G07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700042G15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700042O10Rik	0.001	0.155484	0.0504836	0.139668	0.18187	0.585677	0.208609
1700044C05Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700044K03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700045H11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700045I19Rik	0.001	0.001	0.0448006	0.123926	0.001	0.261263	0.001
1700046C09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700047E10Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700047G03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700047L14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700047M11Rik	0.229637	0.001	0.001	0.001	0.001	0.001	0.242394
1700048M11Rik	0.745397	0.001	0.001	0.001	0.001	0.001	0.197927
1700048O20Rik	0.610295	0.674303	0.544985	1.13008	1.23297	0.969463	0.602364
1700049E15Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700049E22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700049G17Rik	0.608868	0.427029	0.105484	0.114063	0.935152	1.02392	1.27136
1700049L16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700051A21Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700052I22Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700052K11Rik	1.45299	0.378911	0.774824	0.563635	0.517394	0.851928	0.930484
1700052N19Rik	5.40723	12.9589	8.58575	7.15599	8.7952	9.38878	6.65133
1700054A03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700054K19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700054M17Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.673537
1700054O13Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700055C04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1700055N04Rik	0.001	0.180524	0.0708376	0.155519	0.150906	0.148569	0.001
1700056E22Rik	0.74966	0.528865	2.00589	0.634351	0.82471	1.32132	1.02531
