ligand_symbol	receptor_symbol
Lta	Tnfrsf14
Lta	Tnfrsf1a
Lta	Tnfrsf1b
Mif	Cd74
Mif	Tnfrsf14
Mmp7	Grin1
Mstn	Acvr2b
Ndp	Fzd4
Ndp	Lrp5
Nov	Itga5
Nov	Itgav
Nov	Itgb1
Nov	Itgb3
Nov	Notch1
Pnoc	Oprl1
Nppc	Npr2
Nppc	Npr3
Oxt	Oxtr
Pdgfb	Lrp1
Pdgfb	Pdgfra
Pdgfb	Pdgfrb
Rln1	Rxfp1
Sct	Sctr
Sct	Vipr1
Ccl1	Ccr1
Ccl1	Ccr8
Ccl11	Ccbp2
Ccl11	Ccr3
Ccl11	Ccr5
Ccl11	Cxcr3
Ccl11	Dpp4
Ccl17	Ccr4
Ccl17	Ccr8
Ccl17	Darc
Ccl2	Ccbp2
Ccl2	Ccr1
Ccl2	Ccr10
Ccl2	Ccr2
Ccl2	Ccr3
Ccl2	Ccr5
Ccl2	Ccrl1
Ccl2	Darc
Ccl3	Ccbp2
Ccl3	Ccr1
Ccl3	Ccr3
Ccl3	Ccr4
Ccl3	Ccr5
Ccl3	Cxcr5
Cxcl15	Cxcr1
Cxcl15	Cxcr2
Cxcl15	Darc
Frzb	Fzd2
C4a	C3ar1
Tdgf1	Acvr1b
Tdgf1	Acvr1c
Tgfb1	Acvrl1
Tgfb1	Eng
Tgfb1	Itgav
Tgfb1	Itgb6
Tgfb1	Itgb8
Tgfb1	Tgfbr1
Tgfb1	Tgfbr2
Tgfb1	Tgfbr3
Tgfb1	Vtn
Tnfsf11	Tnfrsf11a
Tnfsf11	Tnfrsf11b
Tnfsf12	Fas
Tnfsf12	Tnfrsf11b
Tnfsf12	Tnfrsf12a
Tnfsf12	Tnfrsf13b
Tnfsf12	Tnfrsf14
Tnfsf12	Tnfrsf17
Tnfsf12	Tnfrsf1a
Tnfsf12	Tnfrsf25
Cd40lg	Cd40
Cd40lg	Cd5l
Cd40lg	Itga5
Cd70	Cd27
Vegfb	Flt1
Vegfb	Nrp1
Vip	Vipr1
Vip	Vipr2
Wnt8b	Fzd3
Ccl19	Ccbp2
Ccl19	Ccr10
Ccl19	Ccr7
Ccl19	Ccrl1
Uts2	Uts2r
Clu	Vldlr
Fgf9	Fgfr2
Fgf9	Fgfr3
Fgf9	Fgfr4
Flt3l	Flt3
Gdf6	Bmpr1a
Gdf6	Bmpr1b
Gdf6	Bmpr2
Insl3	Rxfp2
Kitl	Epor
Kitl	Kit
Mmp9	Flt1
Nodal	Acvr1b
Nodal	Acvr2b
Ccl4	Ccbp2
Ccl4	Ccr1
Ccl4	Ccr3
Ccl4	Ccr5
Ccl4	Ccr8
Ccl4	Cxcr5
Ccl5	Ccbp2
Ccl5	Ccr1
Ccl5	Ccr3
Ccl5	Ccr4
Ccl5	Ccr5
Ccl5	Cxcr3
Ccl5	Cxcr5
Ccl5	Darc
Ccl5	Sdc4
Ccl7	Ccbp2
Ccl7	Ccr1
Ccl7	Ccr10
Ccl7	Ccr3
Ccl7	Ccr5
Ccl7	Ccrl1
Ccl7	Cxcr3
Ccl7	Darc
Cxcl12	Ccr10
Cxcl12	Ccr4
Cxcl12	Cxcr4
Cxcl12	Dpp4
Tnf	Fas
Tnf	Ltbr
Tnf	Ptprz1
Tnf	Tnfrsf1a
Tnf	Tnfrsf1b
Ttr	Adra1b
Ttr	Ager
Ttr	Ddr1
Ttr	Derl1
Ttr	Fgfr1
Ttr	Gabbr1
Ttr	Il7r
Ttr	Itga2
Ttr	Itgb5
Ttr	Lrp2
Ttr	Ncoa3
Ttr	Olfr410
Ttr	Olfr720
Ttr	Olfr926
Ttr	Robo3
Ttr	Ryr1
Ttr	Ryr2
Ttr	Slc1a5
Ttr	Thrap3
Insl6	Alk
Insl6	Epha1
Insl6	Ephb3
Insl6	Itpr3
Insl6	Ptprk
Jag1	Notch1
Jag1	Notch2
Jag1	Notch3
Kl	Igf1r
Sfrp1	Fzd2
Hdgfrp3	Ager
Hdgfrp3	Egfr
Hdgfrp3	Eps15l1
Hdgfrp3	Irs1
Apln	Aplnr
Angptl3	Itga5
Angptl3	Itgav
Angptl3	Itgb3
Ebi3	Gosr1
Ebi3	Il27ra
Sfrp4	Fzd2
Il22	Ifnar2
Il22	Il10rb
Il22	Il22ra1
Il22	Il22ra2
Sfrp5	Fzd2
Npff	Npffr2
Crlf1	Ctf1
Pdyn	Oprk1
Cxcl13	Ccr10
Cxcl13	Ccrl1
Cxcl13	Cxcr3
Cxcl13	Cxcr5
Rabep1	Lsr
Tnfsf14	Ltbr
Tnfsf14	Tnfrsf14
Dll4	Notch1
Cxcl11	Ccr3
Cxcl11	Cxcr3
Cxcl11	Dpp4
Gdf2	Acvrl1
Il17b	Il17rb
Nmu	Nmur2
Gas6	Axl
Ccl24	Ccr3
Pf4	Cxcr3
Pf4	Darc
Pf4	Ldlr
Pf4	Thbd
Clcf1	Cntfr
Clcf1	Crlf1
Clcf1	Esr1
Clcf1	Esr2
Clcf1	Ncoa3
Pdgfc	Pdgfra
Ccl28	Ccbp2
Ccl28	Ccr10
Ccl28	Ccr3
Pth	Pth1r
Pth	Pth2r
Cxcl10	Ccr3
Cxcl10	Cxcr3
Cxcl10	Dpp4
Wnt1	Fzd8
Wnt1	Fzd9
Wnt1	Lrp5
Wnt1	Lrp6
Wnt1	Sfrp1
Wnt1	Sfrp2
Il4	Gm614
Il4	Il13ra1
Il4	Il2rg
Il4	Il4ra
Ucn	Crhr1
Ucn	Crhr2
Tslp	Crlf2
Tslp	Il7r
Il20	Il20ra
Il20	Il20rb
Ccl8	Ccbp2
Ccl8	Ccr1
Ccl8	Ccr2
Ccl8	Ccr3
Ccl8	Ccr5
Ccl8	Ccrl1
Ccl8	Darc
Ghrl	Ghrhr
Ghrl	Ghsr
Nampt	Adora2a
Il21	Gm614
Il21	Il21r
Il21	Il2rg
Gmfb	Egfr
Gmfb	Itpr3
Gmfb	Thrap3
Fgf23	Fgfr1
Cxcl16	Cxcr6
Npy	Npy1r
Esm1	Itgal
Wnt2	Fzd1
Wnt2	Fzd9
Wnt2	Sfrp1
Ppbp	Adra1b
Ppbp	Cxcr1
Ppbp	Cxcr2
Ppbp	Derl1
Ppbp	Gabbr1
Ppbp	Il7r
Ppbp	Itga2
Ppbp	Itgb5
Ppbp	Ncoa3
Ppbp	Olfr410
Ppbp	Olfr720
Ppbp	Olfr926
Ppbp	Ryr2
Ppbp	Slc1a5
Ppbp	Thrap3
Scyl1	Ccbp2
Scyl1	Ccr2
Scyl1	Ccr3
Scyl1	Ccr5
Scyl1	Ccrl1
Scyl1	Cxcr3
Rtn4	Rtn4r
Nts	Ntsr1
Sost	Lrp5
Sost	Lrp6
Nmb	Nmbr
Sectm1b	Cd7
Cmtm8	Egfr
Rspo3	Lrp6
Scyl3	Ccr1
Scyl3	Ccr3
Pmch	Mchr1
Cck	Cckar
Cck	Cckbr
Il6	Il6ra
Il6	Il6st
Tgfa	Egfr
Tgfa	Erbb2
Tgfa	Erbb4
Ucn3	Crhr1
Ucn3	Crhr2
Ucn3	Il10rb
Il23a	Il12rb1
Il23a	Il23r
Nrg4	Erbb4
Tnfsf13b	Tnfrsf13b
Tnfsf13b	Tnfrsf13c
Tnfsf13b	Tnfrsf17
Zfp91	Cntfr
Zfp91	Il6ra
Zfp91	Il6st
Zfp91	Lifr
Il24	Il20ra
Il24	Il20rb
Il24	Il22ra1
Pth2	Pth2r
Scgb3a1	Marco
Iltifb	Ifnar2
Iltifb	Il10rb
Iltifb	Il22ra1
Iltifb	Il22ra2
Calcb	Calcrl
Il25	Esr1
Il25	Esr2
Il25	Il17ra
Il25	Il17rb
Il25	Ncoa3
Il25	Ncor1
Tymp	Folr1
Lass1	Acvr1b
Rspo1	Lgr5
Ucn2	Crhr2
Ucn2	Il10rb
Pyy	Npy1r
Pyy	Npy2r
Pyy	Npy5r
Pyy	Ppyr1
Il27	Il27ra
Gdf10	Tgfbr1
Il17f	Il17ra
Il17f	Il17rc
Il1f10	Il1r1
Cntf	Cntfr
Cntf	Il6ra
Cntf	Il6st
Cntf	Lifr
Tmprss7	Loxl2
Rln3	Rxfp1
Rln3	Rxfp4
Grp	Grpr
Tnfsf15	Tnfrsf25
Il28b	Il10rb
Kiss1	Kiss1r
Nrg1	Egfr
Nrg1	Erbb2
Nrg1	Erbb3
Nrg1	Erbb4
Fstl5	Cd14
Tnfsf18	Tnfrsf18
Scyl2	Ccbp2
Scyl2	Ccr1
Scyl2	Ccr3
Scyl2	Ccr5
Uts2d	Uts2r
Ntf5	Ngfr
Ntf5	Ntrk2
Lrsam1	Egfr
Lrsam1	Grik5
Lrsam1	Rxrg
Cxcl3	Cxcr1
Cxcl3	Cxcr2
Crh	Crhr1
Crh	Crhr2
Ifna6	Ifnar1
Ifna6	Ifnar2
