Ligand      (Entrez ID)	Receptor (Entrez ID)	Ligand (Symbol)	Receptor (Symbols)	miScore from iRefWeb	Confidence from iRefWeb
6347	2826	CCL2	CCR10	1	high
6347	729230	CCL2	CCR2	1	high
6347	1232	CCL2	CCR3	1	low
6347	51554	CCL2	CCRL1	1	low
6347	729230	CCL2	CCR2	-	NA
6364	1235	CCL20	CCR6	0.925	high
6366	1236	CCL21	CCR7	0.935	high
6366	1238	CCL21	CCBP2	0.913	low
6366	2826	CCL21	CCR10	0.913	low
6366	51554	CCL21	CCRL1	0.913	low
6367	1233	CCL22	CCR4	0.816	high
6367	1803	CCL22	DPP4	0.431	low
6368	1230	CCL23	CCR1	1	high
6369	1232	CCL24	CCR3	1	high
6370	10803	CCL25	CCR9	0.744	high
6370	1238	CCL25	CCBP2	0.28	low
6370	2826	CCL25	CCR10	0.431	low
6370	51554	CCL25	CCRL1	0.55	low
10344	1230	CCL26	CCR1	1	low
10344	1232	CCL26	CCR3	1	low
10850	1238	CCL27	CCBP2	0.816	high
10850	2826	CCL27	CCR10	0.854	high
56477	2826	CCL28	CCR10	0.744	high
56477	1232	CCL28	CCR3	0.861	low
56477	1238	CCL28	CCBP2	0.719	low
6348	1230	CCL3	CCR1	1	high
6348	1232	CCL3	CCR3	1	high
6348	1234	CCL3	CCR5	1	high
6348	1238	CCL3	CCBP2	1	high
6348	643	CCL3	CXCR5	1	high
6348	1233	CCL3	CCR4	1	low
6349	1230	CCL3L1	CCR1	1	high
6349	1232	CCL3L1	CCR3	1	high
6349	1234	CCL3L1	CCR5	1	high
6349	1238	CCL3L1	CCBP2	1	high
414062	1230	CCL3L3	CCR1	1	high
414062	1232	CCL3L3	CCR3	1	high
414062	1234	CCL3L3	CCR5	1	high
414062	1238	CCL3L3	CCBP2	1	high
6351	1230	CCL4	CCR1	1	high
6351	1232	CCL4	CCR3	1	high
6351	1234	CCL4	CCR5	1	high
6351	1238	CCL4	CCBP2	1	high
6351	1237	CCL4	CCR8	1	low
6351	643	CCL4	CXCR5	1	low
6352	1230	CCL5	CCR1	1	high
6352	1232	CCL5	CCR3	1	high
6352	1234	CCL5	CCR5	1	high
6352	2532	CCL5	DARC	0.627	high
6352	1233	CCL5	CCR4	1	low
6352	1238	CCL5	CCBP2	1	low
6352	2833	CCL5	CXCR3	1	low
6352	6385	CCL5	SDC4	0.28	low
6352	643	CCL5	CXCR5	1	low
6354	1230	CCL7	CCR1	1	high
6354	1232	CCL7	CCR3	1	high
6354	1234	CCL7	CCR5	1	high
6354	1238	CCL7	CCBP2	1	high
6354	2833	CCL7	CXCR3	1	high
6354	729230	CCL7	CCR2	1	high
6354	2532	CCL7	DARC	0.28	low
6354	2826	CCL7	CCR10	1	low
6354	51554	CCL7	CCRL1	1	low
6355	1234	CCL8	CCR5	1	high
6355	1238	CCL8	CCBP2	1	high
6355	729230	CCL8	CCR2	1	high
6355	1230	CCL8	CCR1	1	low
6355	1232	CCL8	CCR3	1	low
6355	2532	CCL8	DARC	0.28	low
6355	51554	CCL8	CCRL1	1	low
6355	729230	CCL8	CCR2	-	NA
959	958	CD40LG	CD40	0.788	high
959	922	CD40LG	CD5L	0.28	low
959	3678	CD40LG	ITGA5	0.28	low
970	939	CD70	CD27	0.9	high
1081	2492	CGA	FSHR	0.431	low
1081	3973	CGA	LHCGR	0.28	low
1081	5782	CGA	PTPN12	0.191	low
1082	3973	CGB	LHCGR	0.824	low
93659	3973	CGB5	LHCGR	0.824	low
1114	2261	CHGB	FGFR3	0.28	low
1114	6258	CHGB	RXRG	0.191	low
23529	10025	CLCF1	MED16	0.28	low
23529	10902	CLCF1	BRD8	0.28	low
23529	1271	CLCF1	CNTFR	0.28	low
23529	2099	CLCF1	ESR1	0.28	low
23529	2100	CLCF1	ESR2	0.28	low
23529	29079	CLCF1	MED4	0.28	low
23529	81608	CLCF1	FIP1L1	0.28	low
23529	5469	CLCF1	MED1	0.28	low
23529	6238	CLCF1	RRBP1	0.28	low
23529	8202	CLCF1	NCOA3	0.28	low
23529	9244	CLCF1	CRLF1	0.431	low
23529	9282	CLCF1	MED14	0.28	low
23529	9440	CLCF1	MED17	0.28	low
23529	9862	CLCF1	MED24	0.28	low
23529	9968	CLCF1	MED12	0.28	low
23529	9969	CLCF1	MED13	0.28	low
152189	1956	CMTM8	EGFR	0.644	low
1270	1271	CNTF	CNTFR	0.705	high
1270	3570	CNTF	IL6R	0.676	high
1270	3572	CNTF	IL6ST	0.885	high
1270	3977	CNTF	LIFR	0.854	high
1314	10134	COPA	BCAP31	0.28	low
1314	11331	COPA	PHB2	0.431	low
1314	29982	COPA	NRBF2	0.191	low
1314	4544	COPA	MTNR1B	0.431	low
1314	5159	COPA	PDGFRB	0.28	low
1314	53832	COPA	IL20RA	0.191	low
1314	5794	COPA	PTPRH	0.191	low
1314	6238	COPA	RRBP1	0.191	low
1325	6751	CORT	SSTR1	0.676	high
1325	6753	CORT	SSTR3	0.676	high
1325	6754	CORT	SSTR4	0.676	high
1325	6755	CORT	SSTR5	0.676	high
1325	117194	CORT	MRGPRX2	0.28	low
1325	2693	CORT	GHSR	0.28	low
1325	6752	CORT	SSTR2	0.55	low
1392	1394	CRH	CRHR1	0.917	high
1392	1395	CRH	CRHR2	0.55	low
1435	1436	CSF1	CSF1R	0.644	high
1435	3106	CSF1	HLA-B	0.28	low
1437	1438	CSF2	CSF2RA	0.767	high
1437	1439	CSF2	CSF2RB	0.816	high
1437	1441	CSF2	CSF3R	0.676	high
1437	3563	CSF2	IL3RA	0.28	low
1440	1441	CSF3	CSF3R	0.28	low
1442	4017	CSH1	LOXL2	0.28	low
1442	5782	CSH1	PTPN12	0.191	low
1489	3572	CTF1	IL6ST	0.28	low
1489	3977	CTF1	LIFR	-	NA
1490	2066	CTGF	ERBB4	0.28	low
1490	3678	CTGF	ITGA5	0.861	low
6376	1524	CX3CL1	CX3CR1	0.482	high
2919	2532	CXCL1	DARC	0.867	high
2919	3577	CXCL1	CXCR1	1	high
2919	3579	CXCL1	CXCR2	1	high
3627	2833	CXCL10	CXCR3	0.963	high
3627	1232	CXCL10	CCR3	0.983	low
3627	1803	CXCL10	DPP4	0.644	low
6373	2833	CXCL11	CXCR3	0.935	high
6373	1232	CXCL11	CCR3	0.987	low
6373	1803	CXCL11	DPP4	0.644	low
6387	1233	CXCL12	CCR4	0.482	high
6387	1803	CXCL12	DPP4	0.431	low
6387	2826	CXCL12	CCR10	0.28	low
6387	7852	CXCL12	CXCR4	0.431	low
10563	643	CXCL13	CXCR5	0.591	high
10563	51554	CXCL13	CCRL1	0.431	low
10563	2826	CXCL13	CCR10	0.431	low
10563	2833	CXCL13	CXCR3	0.55	low
58191	10663	CXCL16	CXCR6	0.591	high
2920	3577	CXCL2	CXCR1	1	high
2920	3579	CXCL2	CXCR2	1	high
2920	1803	CXCL2	DPP4	0.431	low
2921	3577	CXCL3	CXCR1	1	high
2921	3579	CXCL3	CXCR2	1	high
6374	3577	CXCL5	CXCR1	1	high
6374	3579	CXCL5	CXCR2	1	high
6374	2532	CXCL5	DARC	0.28	low
6372	3577	CXCL6	CXCR1	1	high
6372	3579	CXCL6	CXCR2	1	high
6372	3579	CXCL6	CXCR2	-	NA
4283	2833	CXCL9	CXCR3	0.968	high
4283	1232	CXCL9	CCR3	0.973	low
4283	1803	CXCL9	DPP4	0.778	low
22943	4040	DKK1	LRP6	0.676	high
22943	4041	DKK1	LRP5	0.55	low
28514	4851	DLL1	NOTCH1	0.89	high
28514	4853	DLL1	NOTCH2	0.96	high
28514	4854	DLL1	NOTCH3	0.96	high
10683	4851	DLL3	NOTCH1	-	NA
54567	4851	DLL4	NOTCH1	0.98	high
10148	9466	EBI3	IL27RA	0.431	low
10148	9527	EBI3	GOSR1	0.431	low
1908	1910	EDN3	EDNRB	0.482	high
1908	1909	EDN3	EDNRA	0.431	low
1950	1956	EGF	EGFR	1	high
1950	2064	EGF	ERBB2	0.431	low
1950	2065	EGF	ERBB3	0.431	low
1950	7448	EGF	VTN	0.431	low
2056	2057	EPO	EPOR	0.994	high
2069	1956	EREG	EGFR	0.28	low
2069	2066	EREG	ERBB4	0.28	low
11082	3683	ESM1	ITGAL	0.28	low
11082	3689	ESM1	ITGB2	0.28	low
2147	2149	F2	F2R	0.89	high
2147	7056	F2	THBD	0.953	high
2147	7448	F2	VTN	0.591	high
2147	147	F2	ADRA1B	0.644	low
2147	1630	F2	DCC	0.778	low
2147	2150	F2	F2RL1	0.28	low
2147	2151	F2	F2RL2	0.28	low
2147	254879	F2	OR2T6	0.644	low
2147	2550	F2	GABBR1	0.644	low
2147	283160	F2	OR8D2	0.644	low
2147	3673	F2	ITGA2	0.719	low
2147	3674	F2	ITGA2B	0.778	low
2147	3678	F2	ITGA5	0.719	low
2147	3690	F2	ITGB3	0.28	low
2147	3693	F2	ITGB5	0.719	low
2147	3848	F2	KRT1	0.998	low
2147	4995	F2	OR3A2	0.644	low
2147	6262	F2	RYR2	0.644	low
2147	6510	F2	SLC1A5	0.719	low
2147	79139	F2	DERL1	0.644	low
2147	8202	F2	NCOA3	0.644	low
2147	9002	F2	F2RL3	0.28	low
2147	9967	F2	THRAP3	0.719	low
356	355	FASLG	FAS	0.958	high
356	5782	FASLG	PTPN12	0.55	high
356	7132	FASLG	TNFRSF1A	0.636	high
356	8771	FASLG	TNFRSF6B	0.986	high
356	8795	FASLG	TNFRSF10B	0.36	low
2246	2260	FGF1	FGFR1	1	high
2246	2261	FGF1	FGFR3	1	high
2246	2263	FGF1	FGFR2	1	high
2246	2264	FGF1	FGFR4	1	high
2255	2263	FGF10	FGFR2	1	high
2259	2264	FGF14	FGFR4	-	NA
8822	2264	FGF17	FGFR4	0.431	low
8822	2261	FGF17	FGFR3	-	NA
8817	2264	FGF18	FGFR4	0.431	low
8817	2261	FGF18	FGFR3	-	NA
8817	2260	FGF18	FGFR1	-	NA
8817	2263	FGF18	FGFR2	-	NA
9965	2264	FGF19	FGFR4	0.921	high
9965	2260	FGF19	FGFR1	0.28	low
2247	2260	FGF2	FGFR1	1	high
2247	2263	FGF2	FGFR2	1	high
2247	2264	FGF2	FGFR4	1	high
2247	53834	FGF2	FGFRL1	0.55	high
2247	2261	FGF2	FGFR3	1	low
2247	6385	FGF2	SDC4	0.28	low
2247	7448	FGF2	VTN	0.431	low
2247	8829	FGF2	NRP1	0.28	low
8074	2260	FGF23	FGFR1	0.913	low
2248	2263	FGF3	FGFR2	1	low
2248	2264	FGF3	FGFR4	1	low
2249	2261	FGF4	FGFR3	1	low
2249	2264	FGF4	FGFR4	1	low
2249	8829	FGF4	NRP1	0.431	low
2249	2263	FGF4	FGFR2	-	NA
2250	2260	FGF5	FGFR1	1	low
2250	2261	FGF5	FGFR3	1	low
2250	2264	FGF5	FGFR4	1	low
2251	2263	FGF6	FGFR2	1	low
2251	2264	FGF6	FGFR4	1	low
2252	2263	FGF7	FGFR2	1	high
2252	2261	FGF7	FGFR3	1	low
2252	2264	FGF7	FGFR4	1	low
2252	8829	FGF7	NRP1	0.28	low
2253	2261	FGF8	FGFR3	0.55	low
2253	2264	FGF8	FGFR4	0.28	low
2253	2263	FGF8	FGFR2	-	NA
2254	2261	FGF9	FGFR3	1	high
2254	2263	FGF9	FGFR2	1	low
2254	2264	FGF9	FGFR4	1	low
2277	2324	FIGF	FLT4	0.824	high
2277	3680	FIGF	ITGA9	0.719	low
2277	3688	FIGF	ITGB1	0.55	low
2277	3791	FIGF	KDR	0.861	low
2277	8828	FIGF	NRP2	0.431	low
2277	8829	FIGF	NRP1	0.431	low
2323	2322	FLT3L	FLT3	-	high
2488	2492	FSHB	FSHR	0.874	high
51083	2587	GAL	GALR1	0.705	high
51083	134391	GAL	GPR151	0.28	low
51083	8811	GAL	GALR2	0.28	low
2520	887	GAST	CCKBR	0.28	low
2641	2642	GCG	GCGR	0.28	low
2641	2696	GCG	GIPR	0.431	low
2641	2740	GCG	GLP1R	0.55	low
2641	9340	GCG	GLP2R	0.431	low
2662	3848	GDF10	KRT1	0.28	low
10220	93	GDF11	ACVR2B	1	high
10220	130399	GDF11	ACVR1C	1	low
10220	91	GDF11	ACVR1B	1	low
8200	657	GDF5	BMPR1A	0.999	high
8200	658	GDF5	BMPR1B	1	high
8200	659	GDF5	BMPR2	0.591	high
8200	90	GDF5	ACVR1	1	low
8200	92	GDF5	ACVR2A	1	low
8200	93	GDF5	ACVR2B	1	low
392255	657	GDF6	BMPR1A	1	low
392255	658	GDF6	BMPR1B	1	low
392255	659	GDF6	BMPR2	0.431	low
2661	657	GDF9	BMPR1A	0.591	high
2661	658	GDF9	BMPR1B	0.28	low
2661	659	GDF9	BMPR2	0.55	low
2661	92	GDF9	ACVR2A	0.431	low
2668	2674	GDNF	GFRA1	0.999	high
2668	2675	GDNF	GFRA2	0.992	high
2668	5979	GDNF	RET	0.28	low
2688	2690	GH1	GHR	0.988	high
2688	11171	GH1	STRAP	0.28	low
2688	5618	GH1	PRLR	0.719	low
2689	2690	GH2	GHR	0.719	low
2691	2692	GHRH	GHRHR	0.28	low
51738	2693	GHRL	GHSR	0.482	high
51738	2692	GHRL	GHRHR	0.28	low
51738	2862	GHRL	MLNR	0.431	low
2695	2696	GIP	GIPR	0.431	low
2764	1956	GMFB	EGFR	0.191	low
2764	10381	GMFB	TUBB3	0.191	low
2764	3710	GMFB	ITPR3	0.191	low
2764	9967	GMFB	THRAP3	0.191	low
2796	2798	GNRH1	GNRHR	0.28	low
2821	11171	GPI	STRAP	0.494	high
2821	1407	GPI	CRY1	0.28	low
2821	267	GPI	AMFR	0.28	low
2821	4163	GPI	MCC	0.28	low
2821	7037	GPI	TFRC	0.191	low
2896	3303	GRN	HSPA1A	0.28	low
2896	3304	GRN	HSPA1B	0.28	low
2896	6259	GRN	RYK	0.28	low
2896	506	GRN	ATP5B	0.431	low
2922	2925	GRP	GRPR	0.28	low
2980	2984	GUCA2A	GUCY2C	0.676	high
1839	1956	HBEGF	EGFR	0.431	low
1839	2066	HBEGF	ERBB4	0.778	low
1839	960	HBEGF	CD44	0.431	low
3060	3061	HCRT	HCRTR1	0.55	high
3060	10886	HCRT	NPFFR2	0.28	low
3060	3062	HCRT	HCRTR2	0.28	low
3060	3117	HCRT	HLA-DQA1	0.28	low
3060	3119	HCRT	HLA-DQB1	0.28	low
3068	7067	HDGF	THRA	0.191	low
50810	11188	HDGFRP3	NISCH	0.28	low
50810	177	HDGFRP3	AGER	0.28	low
50810	1956	HDGFRP3	EGFR	0.28	low
50810	26469	HDGFRP3	PTPN18	0.28	low
50810	3667	HDGFRP3	IRS1	0.28	low
50810	58513	HDGFRP3	EPS15L1	0.28	low
50810	5782	HDGFRP3	PTPN12	0.28	low
3082	4233	HGF	MET	0.992	high
3082	3249	HGF	HPN	0.55	low
3082	7448	HGF	VTN	0.28	low
3146	177	HMGB1	AGER	0.591	high
3146	2908	HMGB1	NR3C1	0.89	high
3146	3303	HMGB1	HSPA1A	0.861	high
3146	3304	HMGB1	HSPA1B	0.861	high
3146	5241	HMGB1	PGR	0.778	low
3146	5803	HMGB1	PTPRZ1	0.431	low
3146	367	HMGB1	AR	0.824	low
3375	10266	IAPP	RAMP2	0.28	low
3375	10267	IAPP	RAMP1	0.28	low
3439	1380	IFNA1	CR2	0.591	high
3439	3454	IFNA1	IFNAR1	0.28	low
3439	3455	IFNA1	IFNAR2	0.28	low
3440	3454	IFNA2	IFNAR1	0.482	high
3440	3455	IFNA2	IFNAR2	0.957	high
3442	3455	IFNA5	IFNAR2	0.28	low
3445	3454	IFNA8	IFNAR1	0.28	low
3445	3455	IFNA8	IFNAR2	0.28	low
3456	3454	IFNB1	IFNAR1	0.627	high
3456	3455	IFNB1	IFNAR2	0.482	high
3458	3459	IFNG	IFNGR1	0.983	high
3458	3460	IFNG	IFNGR2	0.644	low
3467	3454	IFNW1	IFNAR1	0.591	high
3467	3455	IFNW1	IFNAR2	0.431	low
3479	3480	IGF1	IGF1R	0.767	high
3479	3547	IGF1	IGSF1	0.431	low
3481	3482	IGF2	IGF2R	0.947	high
3481	3480	IGF2	IGF1R	0.28	low
3481	3643	IGF2	INSR	0.719	low
3481	7448	IGF2	VTN	0.431	low
3549	5727	IHH	PTCH1	-	NA
3549	8643	IHH	PTCH2	-	NA
3586	3587	IL10	IL10RA	0.993	high
3586	3455	IL10	IFNAR2	0.431	low
3586	3588	IL10	IL10RB	0.431	low
3589	3572	IL11	IL6ST	0.867	high
3589	3590	IL11	IL11RA	0.948	high
3592	3594	IL12A	IL12RB1	0.832	high
3592	3595	IL12A	IL12RB2	0.744	high
3592	10148	IL12A	EBI3	0.431	low
3593	3594	IL12B	IL12RB1	0.946	high
3593	3595	IL12B	IL12RB2	0.788	high
3593	149233	IL12B	IL23R	0.28	low
3596	3566	IL13	IL4R	0.867	high
3596	3597	IL13	IL13RA1	0.943	high
3596	3598	IL13	IL13RA2	0.744	high
3600	3560	IL15	IL2RB	0.832	high
3600	3561	IL15	IL2RG	0.905	high
3600	3601	IL15	IL15RA	0.767	high
3603	2903	IL16	GRIN2A	0.778	high
3603	2904	IL16	GRIN2B	0.55	high
3603	2905	IL16	GRIN2C	0.719	high
3603	2906	IL16	GRIN2D	0.778	high
3603	920	IL16	CD4	0.798	high
3603	30008	IL16	EFEMP2	0.28	low
3605	23765	IL17A	IL17RA	0.94	high
3605	84818	IL17A	IL17RC	0.816	high
27190	55540	IL17B	IL17RB	0.84	high
112744	23765	IL17F	IL17RA	0.744	high
112744	84818	IL17F	IL17RC	0.854	high
3606	8807	IL18	IL18RAP	0.591	high
3606	8809	IL18	IL18R1	0.676	high
3606	8808	IL18	IL1RL2	0.431	low
29949	53833	IL19	IL20RB	0.28	low
29949	53832	IL19	IL20RA	-	NA
3552	3554	IL1A	IL1R1	0.676	high
3552	7850	IL1A	IL1R2	0.482	high
3552	3556	IL1A	IL1RAP	0.28	low
3553	3554	IL1B	IL1R1	0.917	high
3553	3556	IL1B	IL1RAP	0.744	high
3553	7850	IL1B	IL1R2	0.705	high
3553	154	IL1B	ADRB2	0.28	low
84639	3554	IL1F10	IL1R1	0.778	low
3558	3559	IL2	IL2RA	0.995	high
3558	3560	IL2	IL2RB	0.99	high
3558	3561	IL2	IL2RG	0.976	high
3558	4804	IL2	NGFR	0.28	low
3558	50615	IL2	IL21R	0.28	low
50604	53832	IL20	IL20RA	0.767	high
50604	53833	IL20	IL20RB	0.767	high
59067	3561	IL21	IL2RG	0.431	low
59067	50615	IL21	IL21R	0.431	low
50616	116379	IL22	IL22RA2	0.917	high
50616	58985	IL22	IL22RA1	0.948	high
50616	3455	IL22	IFNAR2	0.28	low
50616	3588	IL22	IL10RB	0.431	low
51561	3593	IL23A	IL12B	0.895	high
51561	3594	IL23A	IL12RB1	0.854	high
51561	149233	IL23A	IL23R	0.644	low
11009	53832	IL24	IL20RA	0.431	low
11009	53833	IL24	IL20RB	0.55	low
11009	58985	IL24	IL22RA1	0.719	low
64806	55540	IL25	IL17RB	0.744	high
64806	2099	IL25	ESR1	0.28	low
64806	2100	IL25	ESR2	0.28	low
64806	23765	IL25	IL17RA	0.28	low
64806	29079	IL25	MED4	0.28	low
64806	90390	IL25	MED30	0.28	low
64806	8202	IL25	NCOA3	0.28	low
64806	9440	IL25	MED17	0.28	low
64806	9611	IL25	NCOR1	0.28	low
55801	53832	IL26	IL20RA	0.28	low
246778	9466	IL27	IL27RA	0.55	high
282616	163702	IL28A	IL28RA	0.28	low
282616	3588	IL28A	IL10RB	0.28	low
282617	3588	IL28B	IL10RB	0.28	low
282618	163702	IL29	IL28RA	0.28	low
3562	1439	IL3	CSF2RB	0.705	high
3562	3563	IL3	IL3RA	0.928	high
90865	9173	IL33	IL1RL1	0.744	high
27178	8809	IL37	IL18R1	0.946	low
3565	3561	IL4	IL2RG	0.909	high
3565	3566	IL4	IL4R	0.999	high
3565	3597	IL4	IL13RA1	0.719	low
3567	1439	IL5	CSF2RB	0.676	high
3567	3568	IL5	IL5RA	0.98	high
3569	3570	IL6	IL6R	0.999	high
3569	3572	IL6	IL6ST	0.94	high
3574	3561	IL7	IL2RG	0.905	high
3574	3575	IL7	IL7R	0.973	high
3576	2532	IL8	DARC	0.964	high
3576	3577	IL8	CXCR1	1	high
3576	3579	IL8	CXCR2	1	high
3578	3581	IL9	IL9R	0.798	high
3623	7049	INHA	TGFBR3	0.482	high
3623	92	INHA	ACVR2A	0.482	high
3624	91	INHBA	ACVR1B	1	high
3624	92	INHBA	ACVR2A	1	high
3624	93	INHBA	ACVR2B	1	high
3625	91	INHBB	ACVR1B	1	high
3625	92	INHBB	ACVR2A	1	high
3625	130399	INHBB	ACVR1C	1	low
3625	90	INHBB	ACVR1	1	low
3625	93	INHBB	ACVR2B	1	low
3625	3547	INHBB	IGSF1	0.28	low
3626	90	INHBC	ACVR1	1	low
3626	91	INHBC	ACVR1B	1	low
3626	92	INHBC	ACVR2A	1	low
3626	93	INHBC	ACVR2B	1	low
83729	269	INHBE	AMHR2	1	low
83729	51094	INHBE	ADIPOR1	0.28	low
83729	5784	INHBE	PTPN14	0.28	low
83729	9968	INHBE	MED12	0.28	low
3630	3480	INS	IGF1R	0.482	high
3630	3643	INS	INSR	0.482	high
3630	3118	INS	HLA-DQA2	0.28	low
3630	4036	INS	LRP2	0.28	low
3640	122042	INSL3	RXFP2	0.591	high
11172	2041	INSL6	EPHA1	0.28	low
11172	2049	INSL6	EPHB3	0.28	low
11172	238	INSL6	ALK	0.28	low
11172	3710	INSL6	ITPR3	0.28	low
11172	5796	INSL6	PTPRK	0.28	low
182	4851	JAG1	NOTCH1	0.921	high
182	4853	JAG1	NOTCH2	0.955	high
182	4854	JAG1	NOTCH3	0.861	low
182	4851	JAG1	NOTCH1	-	NA
182	4853	JAG1	NOTCH2	-	NA
182	4854	JAG1	NOTCH3	-	NA
3714	4853	JAG2	NOTCH2	0.913	high
3714	4851	JAG2	NOTCH1	0.913	low
3714	4854	JAG2	NOTCH3	0.946	low
3714	4851	JAG2	NOTCH1	-	NA
3714	4853	JAG2	NOTCH2	-	NA
3714	4854	JAG2	NOTCH3	-	NA
4254	3815	KITLG	KIT	0.816	high
4254	2057	KITLG	EPOR	0.28	low
9365	3480	KL	IGF1R	0.28	low
90070	7448	LACRT	VTN	0.431	low
3952	3953	LEP	LEPR	0.55	high
3952	945	LEP	CD33	0.28	low
3972	3973	LHB	LHCGR	0.824	low
3976	3572	LIF	IL6ST	0.935	high
3976	3977	LIF	LIFR	0.966	high
90678	1956	LRSAM1	EGFR	0.28	low
90678	2901	LRSAM1	GRIK5	0.191	low
90678	6258	LRSAM1	RXRG	0.191	low
90678	8794	LRSAM1	TNFRSF10C	0.191	low
4049	4055	LTA	LTBR	0.986	high
4049	7132	LTA	TNFRSF1A	0.895	high
4049	8764	LTA	TNFRSF14	0.988	high
4049	7133	LTA	TNFRSF1B	0.931	low
4050	4055	LTB	LTBR	0.627	high
4050	7132	LTB	TNFRSF1A	0.431	low
4192	238	MDK	ALK	0.28	low
4192	4035	MDK	LRP1	0.28	low
4192	4036	MDK	LRP2	0.28	low
4192	5803	MDK	PTPRZ1	0.55	low
4282	1407	MIF	CRY1	0.28	low
4282	4163	MIF	MCC	0.28	low
4282	8764	MIF	TNFRSF14	0.28	low
4282	8793	MIF	TNFRSF10D	0.28	low
