Gene Symbol	Gene ID	
Il1r2	16178	
Il1rap	16180	
Il21r	60504	
Il2ra	16184	
Il7r	16197	
Il9r	16199	
Acvr1c	269275	
Adipor1	72674	
H2-Aa	14960	
H2-Ea-ps	100504404	
Cd33	12489	
Lepr	16847	
Xcr1	23832	
Ltbr	17000	
Cxcr3	12766	
Dpp4	13482	
Plaur	18793	
F2r	14062	
Hnf4a	15378	
Npr1	18160	
Npr2	230103	
Npr3	18162	
Rorb	225998	
Gfra1	14585	
Gfra2	14586	
Ret	19713	
Pdgfra	18595	
Loxl2	94352	
Mc1r	17199	
Mc2r	17200	
Mc3r	17201	
Mc5r	17203	
Ppyr1	5540	
Gfra4	14588	
Btn1a1	12231	
Pth1r	19228	
Plxnb2	140570	
Ptprs	19280	
Ccr4	12773	
Ccbp2	1238	
Ccr10	12777	
Ccr9	12769	
Ccrl1	51554	
Cx3cr1	13051	
Fzd2	57265	
Plat	18791	
Itga5	16402	
Itgav	16410	
Itgb3	16416	
Itgb5	16419	
Itgb6	16420	
Tgfbr1	21812	
Tgfbr2	21813	
Tgfbr3	21814	
Acvrl1	11482	
Mpl	17480	
Tnfrsf8	21941	
Tnfrsf9	21942	
Tnfrsf10b	21933	
Trhr	22045	
Tnfrsf4	22163	
Flt4	14257	
Fzd4	14366	
Fzd5	14367	
Ror2	26564	
Fzd9	14371	
Adipor2	68465	
Adcyap1r1	11517	
Sctr	319229	
Vipr1	22354	
Vipr2	22355	
Gfra3	14587	
Avpr1a	54140	
Avpr1b	26361	
Avpr2	12000	
Oxtr	18430	
Adra1a	11549	
C3ar1	12267	
Il20ra	237313	
Mtnr1b	244701	
Pdgfrb	18596	
Ptprh	545902	
Csf2ra	12982	
Csf2rb	12983	
Csf3r	12986	
Il3ra	16188	
Lrp5	16973	
Edar	13608	
Adra1b	11548	
Dcc	13176	
Derl1	67819	
F2rl1	14063	
F2rl2	14064	
Gabbr1	54393	
Itga2	16398	
Itga2b	16399	
Ncoa3	17979	
Olfr410	258702	
Olfr720	258387	
Olfr926	258811	
Ryr2	20191	
Slc1a5	20514	
Thbd	21824	
Thrap3	230753	
Galr1	14427	
Galr2	14428	
Gpr151	240239	
Cckbr	12426	
Ghrhr	14602	
C5ar1	12273	
Hcrtr1	230777	
Hcrtr2	387285	
Npffr2	104443	
Cd44	12505	
Hpn	15451	
Cr2	12902	
Ifnar1	15975	
Ifnar2	15976	
Il10ra	16154	
Cd4	12504	
Grin2a	14811	
Grin2b	14812	
Grin2c	14813	
Grin2d	14814	
Il17rc	171095	
Il5ra	16192	
Tnfrsf1b	21938	
Grin1	14810	
Oprl1	18389	
Rxfp1	381489	
Ccr8	12776	
Ccr5	12774	
Ccr2	12772	
Cxcr5	12145	
Itgb8	320910	
Tnfrsf11a	21934	
Cd40	21939	
Cd5l	11801	
Cd27	21940	
Fzd3	14365	
Ccr7	12775	
Uts2r	217369	
Vldlr	22359	
Flt3	14255	
Rxfp2	140498	
Kit	16590	
Cxcr4	12767	
Ddr1	12305	
Robo3	19649	
Ryr1	20190	
Ephb3	13845	
Itpr3	16440	
Ptprk	19272	
Eps15l1	13859	
Irs1	16367	
Aplnr	23796	
Gosr1	53334	
Il27ra	50931	
Il22ra1	230828	
Il22ra2	237310	
Ctf1	13019	
Oprk1	18387	
Lsr	54135	
Il17rb	50905	
Nmur2	216749	
Axl	26362	
Ldlr	16835	
Cntfr	12804	
Crlf1	12931	
Esr1	13982	
Esr2	13983	
Pth2r	213527	
Fzd8	14370	
Sfrp1	20377	
Sfrp2	20319	
Crhr1	12921	
Crhr2	12922	
Crlf2	57914	
Adora2a	11540	
Cxcr6	80901	
Npy1r	18166	
Itgal	16408	
Rtn4r	65079	
Ntsr1	18216	
Nmbr	18101	
Cd7	12516	
Mchr1	207911	
Cckar	12425	
Il6ra	16194	
Tnfrsf13c	72049	
Marco	17167	
Ncor1	20185	
Folr1	14275	
Lgr5	14160	
Npy2r	18167	
Npy5r	18168	
Rxfp4	242093	
Grpr	14829	
Kiss1r	114229	
Tnfrsf18	21936	
Grik5	14809	
