SPOT	Gene Symbol	0h	0.5h	3h	6h	12h
62	STE	0.117	-0.12	0.213	-0.252	-0.101
63	EZH2	0.09	0.448	0.157	-0.168	-0.449
64	METAP2	0.06	0.527	0.31	-0.07	-0.001
65	DGKZ	0.395	0.082	0.116	0.095	-0.048
66	CASP9	0.064	-0.012	-0.087	-0.263	-0.138
67	MGAT2	0.092	0.121	-0.018	0.054	0.34
68	TXNRD2	0.125	-0.01	0.007	-0.162	-0.139
69	PSMD4	0.224	0.268	0.147	-0.317	-0.133
70	PCBP1	0.072	0.168	0.357	-0.052	-0.123
71	SGCA	0.071	-0.263	0.103	-0.146	-0.083
72	SLC16A2	0.111	-0.547	-0.103	-0.452	-0.149
73	PFN1	-0.272	0.317	-0.224	-0.158	-0.166
74	DDB1	-0.035	0.028	0.254	-0.204	-0.269
75	MAP2K3	0.197	-0.149	0.599	-0.02	-0.196
76	DNAJB1	0.235	0.158	0.657	-0.187	0.048
77	XRCC1	0.047	0.7	-0.036	-0.495	-0.356
78	TOP1	0.046	0.442	0.237	-0.11	-0.141
79	CSTF2	-0.016	-1.122	-0.247	-0.669	-0.375
80	CHC1	-0.235	0.239	0.079	-0.429	-0.521
81	CPS1	0.019	-0.093	0.028	-0.401	-0.105
82	CRABP2	0.148	0.353	0.788	0.584	-0.037
83	CDC25A	0.01	0.102	0.129	-0.068	-0.053
84	CAV1	-0.013	-0.025	-0.031	-0.676	-0.465
85	GTF2IRD1	-0.038	-0.295	0.098	-0.234	0.07
86	PX19	-0.036	0.029	0.038	-0.352	-0.326
87	C20orf4	-0.349	-0.157	-0.164	-0.313	-0.233
88	FLJ14431	-0.144	0.057	-0.125	-0.106	0.201
89	SLC25A16	-0.093	-0.176	-0.222	-0.195	0.065
90	PRO2852	0.095	0.009	0.366	0.204	0.237
91		-0.109	-0.138	0.048	-0.204	0.038
92	FLJ10404	0.237	-0.247	-0.107	-0.301	-0.028
93	LCP2	-0.055	-0.168	-0.255	-0.374	-0.081
94	MLF1	-0.238	-0.495	-0.485	-0.461	-0.098
95	STAC	-0.169	-0.733	-0.32	-0.634	-0.17
96	RTKN	0.784	0.81	0.839	0.731	0.554
97		-0.285	-0.528	-0.254	-0.271	-0.062
98		-0.326	-0.56	-0.372	0.058	-0.269
99		-0.252	-1.459	-0.409	-0.378	-0.364
100		-0.122	-0.764	-0.046	-0.31	-0.015
101		0.024		0.071	-0.035	0.182
102		-0.125	-2.632	-0.317	-0.464	-0.182
103	FLJ10563	-0.17	-0.341	0.5	-0.02	-0.014
104		0.166	-1	-0.097	-0.358	-0.222
105	HIC2	-0.134	-0.291	0.17	-1.134	-1.697
106	LOC51097	-0.041	-0.325	-0.061	-0.313	-0.189
107	EXO70	0.12	-0.413	0.015	-0.472	-0.13
108	MGC5627	0.065	0.368	0.283	-0.268	-0.089
109	BEX1	0.975	-0.477	-0.561	-0.601	-0.297
110		0.144	-0.003	-0.015	-0.297	-0.09
111		0.7	-0.354	-0.245	-0.487	-0.018
112		0.037	-0.402	-0.097	-0.378	0.285
113		-0.17	-0.428	-0.199	-0.265	0.034
114		-0.43	-0.714	-0.45	-0.405	-0.032
115		0.001	0.022	0.124	0.045	0.36
116		0.366	0.03	-0.336	0.06	0.441
117		-0.264	-0.511	-0.076	-0.314	0.17
118		0.61	-0.768	0.706	-0.426	-0.208
119	DKFZP434H132	-0.109	-0.142	0.175	0.012	0.088
120		-0.138	2.986	-0.493	-0.417	-0.146
121		1.166		-0.399	-0.276	-0.39
122		-0.047	-0.064	-0.336	-0.303	-0.012
123	RC3	-0.562	-0.911	-0.343	-0.534	-0.137
124	AMACR	0.245	-0.082	-0.279	-0.251	0.226
125		0.077	-0.112	-0.084	-0.161	0.082
126	MINA53	0.028	0.423	0.044	-0.069	0.207
127	APBB2	0.266	0.621	0.27	-0.119	0.174
128	WDR9	-0.059	-0.777	-0.381	-0.344	-0.234
129		-0.313		-0.114	-0.492	-0.342
130	EZF-2	0.263	1	-0.394	-0.667	-0.525
131		0.042	0.502	-0.319	-0.545	-0.178
132		-0.149	1.907	-0.397	-0.412	-0.185
133		-0.125	-1.949	0.086	0.192	0.174
134		0.043	-0.022	-0.117	-0.126	0.152
135		0.14	-0.164	-0.001	0.026	0.222
136	FLJ11806	0.043	0.279	0.143	-0.204	-0.112
137		-0.15	-0.015	0.089	0.03	0.023
138		0.307	0.12	0.123	0.08	0.162
139		-0.15	-0.162	-0.205	-0.425	-0.079
140		0.008	-0.141	-0.231	0.053	0.235
141		-0.219	-0.528	-0.189	-0.458	-0.036
142		-0.145	-0.325	-0.411	-0.053	0.212
143		-0.263	-0.338	-0.29	-0.518	-0.435
144	BHMT2	-0.499	-0.569	-0.599	-0.278	-0.196
145		0.105	0.203	0.057	-0.392	-0.144
146		-0.073	-0.35	-0.071	-0.091	0.321
147	MGC2734	0.098	0.056	-0.142	-0.098	0.046
148		0.04	-0.192	-0.271	-0.09	-0.086
149		0.053	0.32	0.159	0.306	0.416
150		0.258	-0.181	0.062	0.009	-1.149
151	FLJ37953	0.21	0.06	0.055	0.089	0.288
152		-0.029	-0.477	-0.064	-0.477	-0.14
153		-0.127	-0.272	-0.232	-0.256	-0.013
154		-0.534	-0.747	-0.411	-0.41	-0.073
155		-0.458		-0.451	-0.782	-0.411
156		-0.09	-0.617	0.016	-0.171	-0.186
157	TYRP1	-0.116		-0.311	-0.309	-0.167
158	PROS1	-0.319	1	-0.286	-0.415	-0.137
159	ICA1	0.11	0	-0.037	-0.331	0.147
160	OGT	0.094	0.03	0.175	0.335	0.225
161	B4GALT1	-0.032	-0.162	-0.14	0.054	0.088
162	ZNF226	0.182	0.353	0.004	-0.128	0.12
163	NEURL	0.005	-0.055	-0.234	-0.387	-0.153
164	RFXANK	0.095	-0.049	-0.071	-0.317	-0.022
165	GK001	0.115	0.033	-0.094	-0.352	-0.075
166		-0.139	-0.602	-0.312	-0.418	-0.107
167	MDS029	-0.213	-0.055	-0.264	-0.6	-0.336
168	FLJ14360	0.011	-0.209	-0.017	-0.37	-0.034
169	FLJ90524	0.081	0.05	-0.191	-0.297	-0.017
170	HSA243396	-0.292	-0.437	-0.316	-0.462	-0.112
171	UBE2E3	-0.103	0.094	-0.096	-0.32	-0.067
172	LOC57826	-0.019	0.197	0.305	0.242	0.308
173	HT002	0.037	0.051	0.089	0.006	0.265
174	ZNFN1A1	-0.121	-0.166	-0.265	-0.261	-0.137
175	CDC42EP3	-0.317	-0.186	-0.25	-0.375	-0.369
176	RGS12	0.043	0.013	-0.1	-0.208	0.049
177		0.114	-0.081	0.171	-0.429	-0.086
178		0.154	0.135	0.159	-0.004	0.088
179	FLJ20758	0.005	0.198	-0.154	-0.325	-0.013
180		0.023	-0.065	-0.065	-0.284	-0.114
181		-0.308	-0.226	-0.41	-0.646	-0.163
182	SRP46	0.085	0.363	0.408	0.053	-0.231
183	SCARA3	-0.242		-0.099	-0.325	-0.253
184	ChGn	-0.528	-0.84	-0.45	-0.771	-0.209
185		0.154		-0.475	-0.528	-0.335
186	MURR1	0.037		-0.079	-0.422	-0.395
187		0.188	-2.199	-0.048	-0.119	0.027
188		-0.242	-0.281	-0.747	-0.885	-0.777
189		0.191	-0.495	-0.39	-0.507	-0.03
190	KIAA1694	0.207	0.237	0.147	0.142	0.122
191	SERPINA1	-0.088	-0.57	-0.473	-0.412	-0.213
192		-0.046	-0.464	-0.298	-0.389	0.01
193	LOC91689	0.072	-0.132	-0.205	-0.447	-0.386
194	RTN4R	-0.113	-0.323	-0.13	-0.601	-0.487
195		-0.109	0.076	-0.099	-0.422	-0.1
196	FLJ20507	-0.114	0.238	0.129	0.064	0.154
197	HSPC157	-0.311	-0.128	-0.117	-0.434	-0.188
198	KIAA1501	-0.136	-0.275	-0.16	-0.122	-0.242
199	FLJ11184	-0.131	0.197	0.036	-0.373	-0.101
200		-0.093	-0.021	-0.067	-0.262	-0.051
201		-0.215	-0.227	-0.095	-0.281	0.017
202	ARL6IP4	-0.079	0.04	-0.023	-0.178	-0.16
203		-0.229	-0.356	-0.424	-0.355	-0.168
204	PTPN1	0.055	-0.035	-0.075	-0.054	0.088
205	CTNNBIP1	-0.211	-0.108	-0.232	-0.485	-0.285
206	AMD1	-0.061	0.281	-0.118	-0.601	-0.089
207		0.462	-0.097	-0.116	-0.415	-0.134
208		-0.16	-0.195	-0.662	-0.069	0.07
209		-0.099	-0.587	-0.21	-0.516	-0.052
210		-0.442	-0.454	-0.402	-0.282	-0.204
211	KIAA0831	-0.041		-0.088	-0.197	-0.071
212	GOSR2	0.108	0.412	-0.089	0.135	0.285
213	PLIN	-0.433	0.249	-0.367	-0.39	-0.15
214	C20orf11	0.18	-1.17	0.202	-0.116	-0.199
215	MGC12981	-0.041	-1.117	-0.384	-0.696	-0.243
216		0.025	-0.327	-0.271	-0.225	0.147
217	CRTAP	-0.381	-0.141	-0.4	-0.495	-0.453
218	FBXO9	0.142	0.384	0.261	0.237	0.269
219	TSFM	-0.189	-0.244	-0.392	-0.442	-0.035
220		-0.143	-0.232	-0.42	-1.276	-1.324
221	FGF18	0.1	-0.298	-0.675	-1.272	-1.701
222	RAI2	0.359	-0.417	-0.278	-0.364	-0.303
223	SYTL2	-0.011	0.203	-0.282	-0.289	-0.241
224		-0.143	-0.474	-0.296	-0.517	-0.2
225		0.142	-0.176	-0.169	-0.363	-0.079
226		-0.104	-0.206	0.251	-0.138	-0.027
227		0.076	0.15	0.15	0.209	0.237
228		-0.44	-0.432	-0.414	-0.455	0.008
229		-0.029	0.292	-0.125	-0.495	-0.184
230	SNAI2	0.116	-0.257	-0.175	-0.104	-0.065
231		-0.413	-0.549	-0.495	-0.306	-0.199
232	FLJ20036	0.002	0.474	1.657	0.971	0.568
233	FLJ10539	-0.022	0.233	0.08	-0.145	-0.019
234	POP3	-0.3	-0.316	-0.259	-0.172	-0.138
235	FLJ22729	-0.096	-0.034	-0.313	-0.352	-0.144
236	SPTA1	0.122	-0.2	-0.222	-0.25	-0.083
237		-0.139	-0.095	-0.36	-0.578	-0.305
238	CYGB	0.008	0.041	-0.004	-0.14	-0.051
239		0.016		-0.152	-0.508	-0.386
240	ARIH2	-0.044	0.271	0.154	-0.235	-0.095
241		-0.045	0.068	0.205	0.415	0.335
242	PP1201	0.83	0.019	0.052	0.262	0.773
243		0.01	-0.975	0.636	0.546	0.17
244	DNAJB6	0.023	0.062	0.371	0.154	0.008
245		-0.082	-0.133	0.102	0.209	0.239
246		-0.047	-0.195	-0.384	-0.111	0.195
247	KIAA0963	0.071	-0.316	0.798	0.181	0.452
248		0.134	-0.461	-0.49	-0.351	-0.1
249		0.155	-0.041	-0.07	-0.319	-0.04
250	TRAP240	0.371	0.756	0.827	0.955	0.905
251	FLJ13386	0.156	0.257	-0.003	-0.311	-0.193
252		0.16	-0.343	-0.42	-0.573	-0.285
253	RBP3	0.111	0.061	0.117	-0.108	0.003
254	RARG	0.127	-0.157	-0.004	-0.19	-0.22
255	RB1	0.233	0.216	0.046	-0.171	0.003
256	RGS1	-0.157	-0.208	-0.177	-0.346	0.005
257	RCV1	-0.09	0.193	0.015	-0.054	0.076
258	RAP1GA1	-0.011	0.017	-0.01	-0.187	-0.08
259	PRKCQ	0.083	-0.132	-0.422	-0.472	-0.219
260	EPB41	-0.25	0.105	-0.176	-0.169	-0.05
261	USP8	-0.226	0.381	0.043	0.108	0.039
262	KCNA1	0.053	-0.169	-0.221	-0.918	-0.057
263	DP1	0.137	0.072	-0.122	-0.27	0.111
264	PIK4CA	0.52	-0.088	-0.357	0.358	0.589
265	CASP6	0.088	0.026	-0.208	-0.394	-0.099
266	CDKN1B	-0.041	-0.18	0.061	0.17	-0.047
267	HMGCS2	-0.591		-0.269	-0.298	-0.161
268	KIAA1564	-0.047	0.241	-0.107	-0.046	0.092
269		-0.128	-0.2	-0.015	0.011	0.11
270	HSU79303	-0.166	-0.088	0.17	-0.094	-0.005
271	ADORA2A	0.062	-0.144	0.092	-0.114	-0.006
272	ACK1	-0.182	-0.233	-0.332	-0.645	-0.591
273	VBP1	-0.167	0.141	0.078	-0.183	-0.052
274	TLR2	-0.093	-0.21	-0.209	-0.137	0.006
275	TANK	0.095	0.154	0.368	0.19	0.144
276	MAP3K7IP1	-0.059	-0.145	-0.341	-0.591	-0.204
277	CCIN	-0.232	-0.125	-0.16	-0.138	-0.061
278	ABH	-0.116	0.177	0.093	-0.023	-0.027
279	PIK3R4	0.099	0.356	0.383	0.374	0.294
280	GALNT3	0.139	0.236	0.714	0.861	0.435
281	DDX21	-0.025	0.347	0.287	-0.07	-0.2
282	SEC23B	-0.14	0.155	0.185	0.029	0.025
283	M17S2	-0.381	-0.175	-0.096	-0.016	-0.262
284	NFIL3	0.068	0.171	0.285	0.622	0.168
285	BCAP31	0.046	-0.043	-0.083	-0.29	-0.136
286	GNAZ	-0.025	0.365	0.195	-0.118	0.146
287	GNAI2	0.097	0.102	0.191	0.26	0.419
288	GZMK	-0.735	-0.673	-0.568	-0.598	-0.315
289		-0.586	-0.588	-0.573	-0.549	-0.274
290	HGD	0.126	-0.155	-0.058	-0.374	-0.036
291	TAF6	0.3	0.252	0.127	-0.036	-0.038
292	FCGBP	0.13	0.094	0.098	-0.109	-0.193
293	ISG20	-0.106	-0.442	0.155	0.287	0.441
294	TFDP2	0.141	0.247	0.228	-0.071	-0.048
295	RFC4	-0.158	1.776	-0.115	-0.461	-0.664
296	FLJ10193	0.097	0.035	0.177	0.01	-0.092
297	RENT2	0.096	0.282	0.09	-0.018	-0.049
298	GAS41	-0.255	0.052	-0.308	-0.417	-0.488
299	FUSIP1	-0.023	0.753	0.095	0.18	0.135
300		-0.143	0.042	0.033	-0.228	-0.112
301	KIAA1726	-0.321	-0.492	-0.169	-0.462	-0.188
302	MSH5	-0.422	-0.481	-0.677	-0.453	-0.318
303		-0.22	-0.452	-0.555	-0.435	-0.307
304		-0.047	-0.517	-0.533	-0.249	0.095
305	FLJ36525	0.277	-0.039	0.12	0.263	0.556
306	NME5	-0.427	-0.887	-0.644	-0.696	-0.306
307	DNAJC8	0.052	0.279	-0.008	-0.296	-0.189
308	PLXNB3	0.369	-0.062	0.009	0.529	0.784
309	TCL6	-0.612	-0.821	-0.595	-0.288	-0.3
310	WNT2	-0.585	-0.247	-0.256	-3.372	0.028
311	TERF1	-0.667	-1.223	-1.039	-0.712	-0.695
312	KIAA0226	-0.405	-0.119	-0.319	-0.343	-0.43
313	THO2	-0.11	0.298	0.132	0.125	0.088
314		-0.389	-0.522	-0.388	-0.126	-0.178
315	HSA243396	-0.25	-0.3	-0.19	-0.607	-0.243
316		-0.194	0.067	-0.045	-0.05	0.025
317	GDAP1	-0.022	0.446	0.376	0.725	0.339
318		-0.088	0.015	0.105	0.006	-0.046
319		-0.019	-1.255	-0.744	-0.861	-1.168
320		-0.487	-0.9	-0.846	-0.266	-0.357
321	FACL3	-0.13	0.015	-0.236	-0.548	-0.298
322	PTPRD	-0.677	-0.827	-0.526	-0.517	0.02
323	KIAA1705	-0.543	-0.488	-1.015	-0.779	-0.097
324		-0.355	-0.986	-0.967	-0.503	-0.276
325	ZNF135	-0.35	-0.052	-0.081	-0.352	-0.195
326	UGT2B4	-0.235	-0.157	-0.217	-0.453	-0.136
327	USP1	0.103	0.214	0.149	-0.049	-0.034
328	MGC9344	0.107	0.478	0.385	0.503	-0.038
329	SNRPE	0.025	-0.185	0.11	-0.362	-0.351
330	SPAG11	-0.34	0.174	-0.065	-0.094	-0.075
331	RPL15	0.161	0.402	0.419	-0.006	-0.039
332	ZW10	-0.085	0.41	0.215	-0.007	-0.149
333	ARHGAP5	-0.204	0.029	-0.07	-0.46	-0.16
334	MDFI	-0.058	-0.067	-0.268	-0.349	-0.13
335	SCARB2	0.196	0.064	-0.213	-0.133	-0.005
336	KIAA0354	-0.063	-0.103	-0.333	-0.399	0.03
337	BBS2	0.144	0.286	0.063	-0.234	-0.093
338	MGC23937	0.17	0.091	-0.031	-0.23	0.289
339	HBS1L	0.131	0.738	0.515	0.355	0.207
340	POLR3K	-0.311	0.145	-0.106	-0.865	-0.363
341	ABS	-0.098	0.22	0.068	-0.191	0.069
342	LOC152399	0.063	-0.023	0.13	0.115	0.13
343	FLJ13448	0.133	0.349	0.416	0.434	0.261
344	TOM1	-0.115	-0.136	-0.173	-0.447	-0.14
345		-0.068	0.213	0.159	0.059	-0.004
346		-0.294	0.054	-0.32	-0.889	-0.34
347		-0.281	0.291	-0.331	-0.524	-0.353
348		-0.68	-0.486	-0.385	-0.582	-0.349
349	MGC11266	-0.071	-0.039	0.076	-0.288	-0.036
350	TAZ	-0.064	0.13	0.575	0.409	-0.029
351	C15orf15	-0.213	-0.341	0.023	-0.158	-0.316
352		0.201	0.185	0.334	-0.115	-0.125
353	MRPL2	0.003	0.256	0.127	-0.276	-0.219
354	RPS27L	0.317	-0.115	-0.012	-0.286	-0.221
355	FLJ32954	-0.103	-0.251	-0.161	-0.306	-0.005
356		-0.287	-0.184	-0.13	-0.485	-0.102
357		-0.293	-0.003	-0.16	-0.173	-0.037
358		-0.21	-0.051	-0.187	-0.124	-0.134
359		-0.353	-0.184	0.105	-0.255	-0.032
360		-0.175	0.041	-0.168	-0.233	-0.094
361		-0.242	0.024	-0.013	-0.412	-0.085
362	MRPL46	-0.133	0.01	-0.227	-0.498	-0.216
363		0.076	0.588	0.22	0.21	0.308
364		0.176	0.048	0.144	0.112	0.03
365	C8orf2	-0.018	0.323	0.023	-0.141	-0.025
366	MGC16733	0.061	0.421	0.155	-0.029	-0.019
367	FLJ90586	0.184	-0.337	-0.697	-1.065	-0.968
368		-0.173	-0.377	-0.204	-0.86	-0.087
369		0.028	0.104	-0.169	-0.08	-0.031
370	PGCP	-0.207	-0.155	-0.168	-0.412	-0.129
371		-0.001	-0.068	-0.159	-0.368	-0.165
372	KIAA0663	0.376	0.683	0.623	0.661	0.211
373		-0.303	-0.487	-0.606	-0.279	-0.324
374		-1.085	-1.704	-1.306	-1.321	-0.993
375		-0.42	-0.567	-0.581	-0.287	-0.434
376		-0.067	0.015	-0.226	-0.159	-0.351
377		-0.23	-0.647	-1.02	-0.269	-0.494
378		-1.097	-1.685	-1.31	-1.065	-1.158
379		-0.14	-0.481	-0.185	-0.278	-0.095
380		-0.503	-0.481	-0.264	-0.418	-0.234
381		-0.417	-1.275	-0.896	-0.835	-0.656
382		-0.129	-0.162	-0.327	-0.427	-0.364
383		0.254	-0.011	0.452	0.241	0.042
384	FLJ21613	-0.265	-0.12	-0.257	-0.409	-0.242
385	KIAA1474	-1.158	-0.971	-0.915	-0.859	-0.399
386	NYD-SP15	-0.43	-0.75	-0.644	-0.651	-0.411
387	DDX5	-0.204	0.127	0.188	-0.216	-0.246
388	HOOK3	0.57	0.265	0.328	0.858	0.554
389		-0.476	-0.384	-0.504	-0.422	0.009
390		-0.016	0.026	-0.166	-0.145	0.052
391	REV1L	0.116	0.438	0.187	0.091	0.002
392	MMP24	0.336	0.024	0.302	-0.027	-0.048
393		-0.432	-0.27	-0.273	-0.214	-0.124
394		-0.557	-0.837	-0.292	-0.513	-0.164
395	SLC25A21	-0.045	-0.277	-0.387	-0.358	-0.275
396		-0.724	-1.011	-0.967	-0.727	-0.729
397	CBARA1	0.03	-0.026	-0.152	-0.386	-0.296
398	KIAA0892	0.106	0.054	-0.04	-0.216	-0.081
399	FCGR2B	0.091	0.126	-0.33	-0.501	-0.139
400		-0.025	-0.403	-0.064	-0.154	-0.113
401	DKFZp761B128	-0.14	-0.043	-0.063	-0.32	-0.406
402		-0.7	-0.913	-0.685	-0.753	-0.714
403		-0.063	-0.265	-0.269	-0.461	-0.243
404	UNC84A	-0.355	-0.148	-0.13	-0.104	-0.46
405	FLJ11210	-0.125	0.335	0.084	0.145	0.185
406		-0.509	-0.643	-0.338	-0.464	-0.432
407		-0.309	-0.823	-0.286	-0.44	-0.212
408	ZFP95	-0.05	0.014	-0.084	-0.123	-0.034
409		-0.406	-0.684	-0.441	-0.454	-0.479
410		-0.718	-0.777	-0.663	-0.463	-0.46
411	MAP2K1IP1	0.071	0.406	0.055	0.037	0.088
412	DKFZP564D172	-0.188	0.021	-0.247	-0.495	-0.397
413		-0.624	-0.685	-0.627	-0.893	-0.427
414		-0.313	-0.179	-0.241	-0.521	0.103
415	HSPC065	-0.125	-0.277	-0.421	-0.487	-0.308
416	ACE2	-0.728	-0.68	-1.074	-1.051	-0.846
417		-0.281	-0.319	-0.167	-0.423	-0.265
418		-0.411	-1.114	-1.02	-1.01	-0.492
419		-0.237	-0.588	-0.526	-0.812	-0.288
420		-0.353	-0.066	1.224	0.166	0.268
421	KIAA1275	-0.06	-1.177	-0.895	-1.268	-0.701
422		-0.596	-0.866	-0.602	-1.005	-0.842
423		-0.107	-0.185	-0.091	-0.351	-0.304
424		-0.206	-0.699	-0.218	-0.281	-0.24
425		-0.401	-0.457	-0.336	-0.412	-0.47
426		0.022	0.017	0.363	0.016	-0.021
427	LOC152573	-0.168	-0.603	-0.636	-0.103	-0.583
428		-0.432	-0.832	-0.685	-0.458	-0.664
429		-0.283	-0.948	-1.063	-0.67	-0.758
430		-0.182	-0.791	-0.791	-0.398	-0.812
431	LOC88745	-0.113	-0.042	-0.163	-0.145	-0.054
432		-0.507	-0.441	-1.108	-0.748	-0.679
433	ARS2	0.043	0.283	0.518	0.207	-0.11
434	DJ667H12.2	0.026	-0.08	-0.234	-0.604	-0.499
435	PPIF	-0.478	-0.097	0.079	-0.656	-0.335
436		0.088	0.352	0.196	0	0.094
437	DDX30	-0.071	-0.004	-0.159	-0.145	-0.183
438		-0.148	-0.026	-0.135	-0.177	-0.192
439	TUBD1	-0.098	0.021	-0.418	-0.668	-0.103
440	PA200	-0.08	0.297	0.086	0.069	0.262
441	IL13RA1	0.189	0.401	0.173	-0.255	-0.106
442		-0.685	-0.034	-0.208	-0.475	-0.117
443		-0.231	-0.265	-0.391	-0.359	-0.023
444		-0.264	-0.107	-0.176	-0.193	-0.229
445		0.051	-0.141	-0.172	-0.406	-0.146
446		-0.127	-0.106	-0.051	-0.139	-0.039
447	FLJ13490	-0.129	0.025	-0.148	0.037	0.089
448		-0.329	-0.204	-0.607	-0.242	-0.327
449		-0.173	-0.505	-0.427	-0.337	-0.324
450		-0.304	-0.441	-0.333	-0.264	-0.501
451	KIAA0769	-0.028	0.166	0.029	-0.146	-0.08
452	CPS1	-0.139	-0.229	-0.257	-0.47	-0.281
453		-0.055	-0.095	-0.085	-0.247	-0.135
454		-0.11	0.162	0.138	-0.207	-0.122
455		-0.015	-0.286	0.087	-0.092	0.173
456	PSEN1	0.04	0.638	0.528	0.829	0.293
457		-0.063	-0.242	0.048	-0.248	0.056
458		-0.087	-0.584	-0.421	-0.44	-0.25
459		-0.187	-0.219	-0.129	-0.203	-0.211
460		-0.253	-0.311	-0.405	-0.244	-0.237
461		0.395	0.476	0.381	0.424	0.331
462		-0.417	-0.668	-0.408	-0.564	-0.327
463		0.157	-1.783	-0.218	-0.132	-0.134
464	ARPC4	-0.295	-0.183	-0.262	-0.151	-0.155
465		-0.055	-0.698	-0.612	-0.542	0.053
466		0.16	0.592	0.084	0.232	0.204
467		0.036	-0.22	0.447	0.096	0.269
468		-0.157	-0.293	-0.122	-0.482	-0.343
469		-0.317	-0.036	-0.128	-0.408	-0.314
470		-0.748	-0.895	-0.473	-0.603	-0.223
471		-0.316	-0.728	-0.581	-0.436	-0.861
472		-0.145	-0.346	-0.483	-0.057	-0.493
473		-0.537	-0.322	-0.632	-1.316	-0.793
474		0.13	-0.234	-0.207	-0.22	0.056
475		-0.418	-0.452	-0.545	-0.213	0.055
476		-0.115	-0.155	-0.099	-0.117	-0.003
477		-0.17	-0.564	-0.424	-0.623	-0.319
478		0.36	0.19	0.313	0.148	0.022
479		0.069	-0.233	-0.159	-0.42	0.006
480		-0.432	-0.384	-0.447	-0.288	-0.362
481		-0.088	-0.213	0.333	0.081	-0.006
482		-0.087	-0.467	-0.379	-0.335	-0.172
483	C20orf18	0.182	-0.531	-0.128	-0.203	-0.088
